Taxon	
mgm4664918.3	
ABC transporters	131907	
ATP synthases	56853	
Acid stress	12701	
Adhesion	12976	
Alanine, serine, and glycine	226447	
Aminosugars	59275	
Anaerobic degradation of aromatic compounds	71517	
Arginine; urea cycle, polyamines	257527	
Aromatic amino acids and derivatives	234186	
Bacterial cytostatics, differentiation factors and antibiotics	7850	
Bacteriocins, ribosomally synthesized antibacterial peptides	1941	
Biologically active compounds in metazoan cell defence and differentiation	33582	
Biosynthesis of galactoglycans and related lipopolysacharides	131021	
Biosynthesis of phenylpropanoids	5747	
Biotin	132886	
Branched-chain amino acids	466528	
CO2 fixation	282232	
CRISPRs and associated hypotheticals	2704	
CRISPs	6010	
Capsular and extracellular polysacchrides	305390	
Carbohydrates	23139	
Carotenoid biosynthesis	20087	
Catabolism of an unknown compound	6203	
Cell Division	99153	
Cell wall of Mycobacteria	112045	
Central carbohydrate metabolism	1061438	
Chemotaxis, response regulators	1990	
Choline bitartrate degradation, putative	17984	
Chromosome Replication	17862	
Clustering-based subsystems	107940	
Coenzyme A	58654	
Coenzyme B	245	
Coenzyme F420	16021	
Coenzyme M	2049	
Cold shock	7964	
Cytochrome biogenesis	82127	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	9418	
DNA metabolism	557	
DNA polymerase III epsilon cluster	13723	
DNA recombination	23291	
DNA repair	428895	
DNA replication	380081	
DNA uptake, competence	20997	
Dessication stress	91	
Detection	74688	
Detoxification	40327	
Di- and oligosaccharides	401717	
Electron accepting reactions	230630	
Electron donating reactions	468236	
Electron transport and photophosphorylation	248	
Fatty acid metabolic cluster	211537	
Fatty acids	401708	
Fermentation	330590	
Flagella protein?	7147	
Flagellar motility in Prokaryota	169230	
Folate and pterines	754934	
Gene Transfer Agent (GTA)	936	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	220029	
Glycoside hydrolases	9365	
Gram-Negative cell wall components	208462	
Gram-Positive cell wall components	35414	
Heat shock	118286	
Histidine Metabolism	94178	
Hypothetical Related to Dihydroorate Dehydrogenase	6324	
Hypothetical associated with RecF	3007	
Hypothetical in Lysine biosynthetic cluster	17235	
Hypothetical lipase related to Phosphatidate metabolism	11070	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	23270	
Inorganic sulfur assimilation	84096	
Invasion and intracellular resistance	1012	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	56135	
Isoprenoids	169314	
Light-harvesting complexes	37	
Lipid-derived mediators	822	
Lipoic acid	13597	
Lysine Biosynthesis	3882	
Lysine, threonine, methionine, and cysteine	661323	
Metabolism of central aromatic intermediates	153042	
Methylamine utilization	73985	
Molybdopterin oxidoreductase	27441	
Monosaccharides	448610	
NAD and NADP	97877	
Nucleotidyl-phosphate metabolic cluster	70822	
One-carbon Metabolism	483722	
Organic acids	222063	
Organic sulfur assimilation	90547	
Osmotic stress	61935	
Oxidative stress	238041	
Pathogenicity islands	56025	
Peripheral pathways for catabolism of aromatic compounds	251769	
Periplasmic Stress	19146	
Phages, Prophages	191425	
Phosphate metabolism	26852	
Phospholipids	162478	
Plant Alkaloids	4763	
Plant Hormones	61094	
Plant Octadecanoids	106	
Plant-Prokaryote DOE project	1636226	
Plasmid related functions	3576	
Polysaccharides	159574	
Probably GTP or GMP signaling related	42813	
Probably Pyrimidine biosynthesis-related	11633	
Probably Ybbk-related hypothetical membrane proteins	6411	
Probably organic hydroperoxide resistance related hypothetical protein	5565	
Programmed Cell Death and Toxin-antitoxin Systems	22395	
Proline and 4-hydroxyproline	75349	
Proteasome related clusters	567	
Protein and nucleoprotein secretion system, Type IV	39034	
Protein biosynthesis	891707	
Protein degradation	276258	
Protein export?	53574	
Protein folding	162758	
Protein processing and modification	271065	
Protein secretion system, Type I	648	
Protein secretion system, Type II	72977	
Protein secretion system, Type III	2829	
Protein secretion system, Type V	1288	
Protein secretion system, Type VI	67078	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	717	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	4793	
Protein translocation across cytoplasmic membrane	85423	
Proteolytic pathway	3009	
Purines	301845	
Putative GGDEF domain protein related to agglutinin secretion	760	
Putative Isoquinoline 1-oxidoreductase subunit	36641	
Putative asociate of RNA polymerase sigma-54 factor rpoN	59934	
Putrescine/GABA utilization cluster-temporal,to add to SSs	16964	
Pyridoxine	78878	
Pyrimidines	236630	
Pyruvate kinase associated cluster	15156	
Quinone cofactors	84423	
Quorum sensing and biofilm formation	19247	
RNA processing and modification	527278	
Recombination related cluster	8410	
Regulation of virulence	50606	
Related to Menaquinone-cytochrome C reductase 	1769	
Resistance to antibiotics and toxic compounds	561114	
Reverse electron transport	1244	
Riboflavin, FMN, FAD	38783	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	30846	
Ribosome-related cluster	41035	
Sarcosine oxidase	8354	
Selenoproteins	89358	
Shiga toxin cluster	16817	
Siderophores	11095	
Signal transduction in Eukaryotes	52	
Social motility and nonflagellar swimming in bacteria	470	
Sodium Ion-Coupled Energetics	5737	
Spore DNA protection	94	
Sugar Phosphotransferase Systems, PTS	11153	
Sugar alcohols	133555	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	41591	
Tetrapyrroles	155130	
Three hypotheticals linked to lipoprotein biosynthesis	9086	
TldD cluster	23032	
Toxins and superantigens	2792	
Transcription	242585	
Translation	32911	
Transposable elements	30040	
Triacylglycerols	2174	
Tricarboxylate transporter	5074	
Two related proteases	30657	
Uni- Sym- and Antiporters	10270	
alpha-proteobacterial cluster of hypotheticals	6668	
proteosome related	20905	
recX and regulatory cluster	10268	
tRNA sulfuration	15814	

