Taxon	
mgm4637839.3	
ABC transporters	24954	
ATP synthases	9455	
Acid stress	2276	
Adhesion	2136	
Alanine, serine, and glycine	37754	
Aminosugars	9510	
Anaerobic degradation of aromatic compounds	12910	
Arginine; urea cycle, polyamines	43469	
Aromatic amino acids and derivatives	39697	
Bacterial cytostatics, differentiation factors and antibiotics	1167	
Bacteriocins, ribosomally synthesized antibacterial peptides	321	
Biologically active compounds in metazoan cell defence and differentiation	6652	
Biosynthesis of galactoglycans and related lipopolysacharides	23114	
Biosynthesis of phenylpropanoids	1179	
Biotin	23526	
Branched-chain amino acids	80424	
CO2 fixation	48705	
CRISPRs and associated hypotheticals	483	
CRISPs	995	
Capsular and extracellular polysacchrides	52967	
Carbohydrates	4288	
Carotenoid biosynthesis	3516	
Catabolism of an unknown compound	1017	
Cell Division	16412	
Cell wall of Mycobacteria	20420	
Central carbohydrate metabolism	182116	
Chemotaxis, response regulators	311	
Choline bitartrate degradation, putative	3091	
Chromosome Replication	3207	
Clustering-based subsystems	18278	
Coenzyme A	9983	
Coenzyme B	41	
Coenzyme F420	2839	
Coenzyme M	396	
Cold shock	1165	
Cytochrome biogenesis	13872	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	1716	
DNA metabolism	99	
DNA polymerase III epsilon cluster	2305	
DNA recombination	3934	
DNA repair	74262	
DNA replication	65535	
DNA uptake, competence	3429	
Dessication stress	15	
Detection	12630	
Detoxification	6971	
Di- and oligosaccharides	69812	
Electron accepting reactions	40855	
Electron donating reactions	80646	
Electron transport and photophosphorylation	57	
Fatty acid metabolic cluster	37188	
Fatty acids	71191	
Fermentation	58950	
Flagella protein?	1288	
Flagellar motility in Prokaryota	28879	
Folate and pterines	128514	
Gene Transfer Agent (GTA)	230	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	37583	
Glycoside hydrolases	1793	
Gram-Negative cell wall components	36844	
Gram-Positive cell wall components	6040	
Heat shock	19621	
Histidine Metabolism	15473	
Hypothetical Related to Dihydroorate Dehydrogenase	1003	
Hypothetical associated with RecF	502	
Hypothetical in Lysine biosynthetic cluster	3031	
Hypothetical lipase related to Phosphatidate metabolism	1827	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	3774	
Inorganic sulfur assimilation	14505	
Invasion and intracellular resistance	142	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	9560	
Isoprenoids	28898	
Light-harvesting complexes	10	
Lipid-derived mediators	161	
Lipoic acid	2217	
Lysine Biosynthesis	662	
Lysine, threonine, methionine, and cysteine	113298	
Metabolism of central aromatic intermediates	27870	
Methylamine utilization	13099	
Molybdopterin oxidoreductase	4704	
Monosaccharides	78447	
NAD and NADP	16511	
Nucleotidyl-phosphate metabolic cluster	14923	
One-carbon Metabolism	83893	
Organic acids	38860	
Organic sulfur assimilation	16756	
Osmotic stress	11165	
Oxidative stress	41769	
Pathogenicity islands	9263	
Peripheral pathways for catabolism of aromatic compounds	45299	
Periplasmic Stress	3432	
Phages, Prophages	35623	
Phosphate metabolism	4435	
Phospholipids	27963	
Plant Alkaloids	851	
Plant Hormones	10435	
Plant Octadecanoids	13	
Plant-Prokaryote DOE project	285009	
Plasmid related functions	626	
Polysaccharides	28113	
Probably GTP or GMP signaling related	7058	
Probably Pyrimidine biosynthesis-related	2006	
Probably Ybbk-related hypothetical membrane proteins	1173	
Probably organic hydroperoxide resistance related hypothetical protein	884	
Programmed Cell Death and Toxin-antitoxin Systems	3686	
Proline and 4-hydroxyproline	12930	
Proteasome related clusters	105	
Protein and nucleoprotein secretion system, Type IV	7014	
Protein biosynthesis	145138	
Protein degradation	46690	
Protein export?	8816	
Protein folding	27771	
Protein processing and modification	46470	
Protein secretion system, Type I	82	
Protein secretion system, Type II	12881	
Protein secretion system, Type III	456	
Protein secretion system, Type V	182	
Protein secretion system, Type VI	11496	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	124	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	778	
Protein translocation across cytoplasmic membrane	14463	
Proteolytic pathway	565	
Purines	50291	
Putative GGDEF domain protein related to agglutinin secretion	138	
Putative Isoquinoline 1-oxidoreductase subunit	7329	
Putative asociate of RNA polymerase sigma-54 factor rpoN	10237	
Putrescine/GABA utilization cluster-temporal,to add to SSs	2838	
Pyridoxine	13697	
Pyrimidines	40315	
Pyruvate kinase associated cluster	2703	
Quinone cofactors	14646	
Quorum sensing and biofilm formation	3074	
RNA processing and modification	88125	
Recombination related cluster	1467	
Regulation of virulence	8691	
Related to Menaquinone-cytochrome C reductase 	334	
Resistance to antibiotics and toxic compounds	99067	
Reverse electron transport	130	
Riboflavin, FMN, FAD	6558	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	5244	
Ribosome-related cluster	6626	
Sarcosine oxidase	1676	
Selenoproteins	15377	
Shiga toxin cluster	2821	
Siderophores	1609	
Signal transduction in Eukaryotes	11	
Social motility and nonflagellar swimming in bacteria	87	
Sodium Ion-Coupled Energetics	893	
Spore DNA protection	9	
Sugar Phosphotransferase Systems, PTS	1807	
Sugar alcohols	24041	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	8476	
Tetrapyrroles	26847	
Three hypotheticals linked to lipoprotein biosynthesis	1580	
TldD cluster	3817	
Toxins and superantigens	535	
Transcription	40638	
Translation	5308	
Transposable elements	5666	
Triacylglycerols	389	
Tricarboxylate transporter	944	
Two related proteases	5152	
Uni- Sym- and Antiporters	1895	
alpha-proteobacterial cluster of hypotheticals	1361	
proteosome related	3420	
recX and regulatory cluster	1713	
tRNA sulfuration	2678	

