Taxon	
mgm4664890.3	
ABC transporters	20172	
ATP synthases	4629	
Acid stress	1133	
Adhesion	962	
Alanine, serine, and glycine	23318	
Aminosugars	5456	
Anaerobic degradation of aromatic compounds	6517	
Arginine; urea cycle, polyamines	26396	
Aromatic amino acids and derivatives	20414	
Bacterial cytostatics, differentiation factors and antibiotics	770	
Bacteriocins, ribosomally synthesized antibacterial peptides	283	
Biologically active compounds in metazoan cell defence and differentiation	2389	
Biosynthesis of galactoglycans and related lipopolysacharides	12311	
Biosynthesis of phenylpropanoids	459	
Biotin	13104	
Branched-chain amino acids	45432	
CO2 fixation	26033	
CRISPRs and associated hypotheticals	109	
CRISPs	216	
Capsular and extracellular polysacchrides	28007	
Carbohydrates	1946	
Carotenoid biosynthesis	963	
Catabolism of an unknown compound	1096	
Cell Division	9874	
Cell wall of Mycobacteria	9727	
Central carbohydrate metabolism	90361	
Chemotaxis, response regulators	223	
Choline bitartrate degradation, putative	1566	
Chromosome Replication	781	
Clustering-based subsystems	11170	
Coenzyme A	5379	
Coenzyme B	13	
Coenzyme F420	1554	
Coenzyme M	234	
Cold shock	615	
Cytochrome biogenesis	7817	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	1385	
DNA metabolism	113	
DNA polymerase III epsilon cluster	1311	
DNA recombination	2398	
DNA repair	44648	
DNA replication	39983	
DNA uptake, competence	2051	
Dessication stress	6	
Detection	7063	
Detoxification	4588	
Di- and oligosaccharides	30279	
Electron accepting reactions	16097	
Electron donating reactions	35266	
Electron transport and photophosphorylation	17	
Fatty acid metabolic cluster	19553	
Fatty acids	37535	
Fermentation	24410	
Flagella protein?	281	
Flagellar motility in Prokaryota	10809	
Folate and pterines	75251	
Gene Transfer Agent (GTA)	353	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	22205	
Glycoside hydrolases	925	
Gram-Negative cell wall components	16029	
Gram-Positive cell wall components	3237	
Heat shock	11112	
Histidine Metabolism	8926	
Hypothetical Related to Dihydroorate Dehydrogenase	364	
Hypothetical associated with RecF	418	
Hypothetical in Lysine biosynthetic cluster	1723	
Hypothetical lipase related to Phosphatidate metabolism	1040	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	2210	
Inorganic sulfur assimilation	8820	
Invasion and intracellular resistance	172	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	4984	
Isoprenoids	15678	
Light-harvesting complexes	2	
Lipid-derived mediators	83	
Lipoic acid	1298	
Lysine Biosynthesis	389	
Lysine, threonine, methionine, and cysteine	57621	
Metabolism of central aromatic intermediates	12867	
Methylamine utilization	7282	
Molybdopterin oxidoreductase	1754	
Monosaccharides	38645	
NAD and NADP	9737	
Nucleotidyl-phosphate metabolic cluster	8261	
One-carbon Metabolism	45455	
Organic acids	20748	
Organic sulfur assimilation	7969	
Osmotic stress	7784	
Oxidative stress	22038	
Pathogenicity islands	6050	
Peripheral pathways for catabolism of aromatic compounds	22699	
Periplasmic Stress	1481	
Phages, Prophages	17253	
Phosphate metabolism	2610	
Phospholipids	14091	
Plant Alkaloids	350	
Plant Hormones	4794	
Plant Octadecanoids	13	
Plant-Prokaryote DOE project	155032	
Plasmid related functions	202	
Polysaccharides	10029	
Probably GTP or GMP signaling related	4063	
Probably Pyrimidine biosynthesis-related	1118	
Probably Ybbk-related hypothetical membrane proteins	756	
Probably organic hydroperoxide resistance related hypothetical protein	507	
Programmed Cell Death and Toxin-antitoxin Systems	931	
Proline and 4-hydroxyproline	7553	
Proteasome related clusters	30	
Protein and nucleoprotein secretion system, Type IV	3162	
Protein biosynthesis	85961	
Protein degradation	26448	
Protein export?	5752	
Protein folding	14405	
Protein processing and modification	23011	
Protein secretion system, Type I	365	
Protein secretion system, Type II	6651	
Protein secretion system, Type III	332	
Protein secretion system, Type V	52	
Protein secretion system, Type VI	5195	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	32	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	469	
Protein translocation across cytoplasmic membrane	8716	
Proteolytic pathway	41	
Purines	30093	
Putative GGDEF domain protein related to agglutinin secretion	132	
Putative Isoquinoline 1-oxidoreductase subunit	2767	
Putative asociate of RNA polymerase sigma-54 factor rpoN	6444	
Putrescine/GABA utilization cluster-temporal,to add to SSs	2057	
Pyridoxine	8665	
Pyrimidines	22847	
Pyruvate kinase associated cluster	1707	
Quinone cofactors	8072	
Quorum sensing and biofilm formation	1843	
RNA processing and modification	50081	
Recombination related cluster	701	
Regulation of virulence	5349	
Related to Menaquinone-cytochrome C reductase 	195	
Resistance to antibiotics and toxic compounds	37772	
Reverse electron transport	81	
Riboflavin, FMN, FAD	4123	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	3427	
Ribosome-related cluster	3628	
Sarcosine oxidase	1121	
Selenoproteins	8023	
Shiga toxin cluster	1848	
Siderophores	2831	
Social motility and nonflagellar swimming in bacteria	49	
Sodium Ion-Coupled Energetics	253	
Spore DNA protection	2	
Sugar Phosphotransferase Systems, PTS	854	
Sugar alcohols	13353	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	3121	
Tetrapyrroles	13119	
Three hypotheticals linked to lipoprotein biosynthesis	747	
TldD cluster	1764	
Toxins and superantigens	215	
Transcription	23520	
Translation	2934	
Transposable elements	2706	
Triacylglycerols	275	
Tricarboxylate transporter	3289	
Two related proteases	3365	
Uni- Sym- and Antiporters	1551	
alpha-proteobacterial cluster of hypotheticals	577	
