Taxon	
mgm4637816.3	
ABC transporters	47007	
ATP synthases	11299	
Acid stress	2479	
Adhesion	2110	
Alanine, serine, and glycine	54519	
Aminosugars	12739	
Anaerobic degradation of aromatic compounds	15362	
Arginine; urea cycle, polyamines	60410	
Aromatic amino acids and derivatives	49487	
Bacterial cytostatics, differentiation factors and antibiotics	1760	
Bacteriocins, ribosomally synthesized antibacterial peptides	630	
Biologically active compounds in metazoan cell defence and differentiation	5418	
Biosynthesis of galactoglycans and related lipopolysacharides	29660	
Biosynthesis of phenylpropanoids	1432	
Biotin	30314	
Branched-chain amino acids	105685	
CO2 fixation	63082	
CRISPRs and associated hypotheticals	562	
CRISPs	961	
Capsular and extracellular polysacchrides	63783	
Carbohydrates	5510	
Carotenoid biosynthesis	3009	
Catabolism of an unknown compound	2572	
Cell Division	22979	
Cell wall of Mycobacteria	22882	
Central carbohydrate metabolism	219418	
Chemotaxis, response regulators	465	
Choline bitartrate degradation, putative	3513	
Chromosome Replication	1895	
Clustering-based subsystems	26484	
Coenzyme A	12730	
Coenzyme B	17	
Coenzyme F420	4041	
Coenzyme M	856	
Cold shock	1630	
Cytochrome biogenesis	18864	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	3476	
DNA metabolism	277	
DNA polymerase III epsilon cluster	3186	
DNA recombination	5638	
DNA repair	105600	
DNA replication	93995	
DNA uptake, competence	5226	
Dessication stress	11	
Detection	16353	
Detoxification	10959	
Di- and oligosaccharides	76880	
Electron accepting reactions	39876	
Electron donating reactions	86394	
Electron transport and photophosphorylation	145	
Fatty acid metabolic cluster	45512	
Fatty acids	84854	
Fermentation	58307	
Flagella protein?	732	
Flagellar motility in Prokaryota	25735	
Folate and pterines	176223	
Gene Transfer Agent (GTA)	637	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	51104	
Glycoside hydrolases	2360	
Gram-Negative cell wall components	36449	
Gram-Positive cell wall components	7192	
Heat shock	26534	
Histidine Metabolism	22111	
Hypothetical Related to Dihydroorate Dehydrogenase	1024	
Hypothetical associated with RecF	980	
Hypothetical in Lysine biosynthetic cluster	4155	
Hypothetical lipase related to Phosphatidate metabolism	2443	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	5280	
Inorganic sulfur assimilation	21177	
Invasion and intracellular resistance	331	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	12431	
Isoprenoids	37756	
Light-harvesting complexes	27	
Lipid-derived mediators	177	
Lipoic acid	3208	
Lysine Biosynthesis	791	
Lysine, threonine, methionine, and cysteine	135942	
Metabolism of central aromatic intermediates	31488	
Methylamine utilization	17595	
Molybdopterin oxidoreductase	3899	
Monosaccharides	92586	
NAD and NADP	23532	
Nucleotidyl-phosphate metabolic cluster	20734	
One-carbon Metabolism	105861	
Organic acids	48430	
Organic sulfur assimilation	19485	
Osmotic stress	17015	
Oxidative stress	52406	
Pathogenicity islands	14119	
Peripheral pathways for catabolism of aromatic compounds	52399	
Periplasmic Stress	3238	
Phages, Prophages	43348	
Phosphate metabolism	5640	
Phospholipids	34284	
Plant Alkaloids	1005	
Plant Hormones	11234	
Plant Octadecanoids	16	
Plant-Prokaryote DOE project	372441	
Plasmid related functions	601	
Polysaccharides	24847	
Probably GTP or GMP signaling related	9459	
Probably Pyrimidine biosynthesis-related	2680	
Probably Ybbk-related hypothetical membrane proteins	1690	
Probably organic hydroperoxide resistance related hypothetical protein	1354	
Programmed Cell Death and Toxin-antitoxin Systems	2635	
Proline and 4-hydroxyproline	18149	
Proteasome related clusters	58	
Protein and nucleoprotein secretion system, Type IV	8055	
Protein biosynthesis	206002	
Protein degradation	60646	
Protein export?	12785	
Protein folding	33428	
Protein processing and modification	54001	
Protein secretion system, Type I	561	
Protein secretion system, Type II	15045	
Protein secretion system, Type III	641	
Protein secretion system, Type V	141	
Protein secretion system, Type VI	11217	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	72	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	887	
Protein translocation across cytoplasmic membrane	19765	
Proteolytic pathway	86	
Purines	70813	
Putative GGDEF domain protein related to agglutinin secretion	274	
Putative Isoquinoline 1-oxidoreductase subunit	6373	
Putative asociate of RNA polymerase sigma-54 factor rpoN	16459	
Putrescine/GABA utilization cluster-temporal,to add to SSs	4919	
Pyridoxine	20543	
Pyrimidines	53681	
Pyruvate kinase associated cluster	4034	
Quinone cofactors	19368	
Quorum sensing and biofilm formation	4317	
RNA processing and modification	117099	
Recombination related cluster	1513	
Regulation of virulence	12490	
Related to Menaquinone-cytochrome C reductase 	453	
Resistance to antibiotics and toxic compounds	93438	
Reverse electron transport	192	
Riboflavin, FMN, FAD	9804	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	7787	
Ribosome-related cluster	8592	
Sarcosine oxidase	2723	
Selenoproteins	19533	
Shiga toxin cluster	4224	
Siderophores	4611	
Signal transduction in Eukaryotes	2	
Social motility and nonflagellar swimming in bacteria	144	
Sodium Ion-Coupled Energetics	503	
Spore DNA protection	3	
Sugar Phosphotransferase Systems, PTS	2346	
Sugar alcohols	32929	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	7126	
Tetrapyrroles	33148	
Three hypotheticals linked to lipoprotein biosynthesis	1962	
TldD cluster	4274	
Toxins and superantigens	388	
Transcription	56421	
Translation	6971	
Transposable elements	6547	
Triacylglycerols	559	
Tricarboxylate transporter	5325	
Two related proteases	8271	
Uni- Sym- and Antiporters	3646	
alpha-proteobacterial cluster of hypotheticals	1351	
proteosome related	6452	
recX and regulatory cluster	2093	
tRNA sulfuration	3252	

