Taxon	
mgm4637825.3	
ABC transporters	40882	
ATP synthases	9606	
Acid stress	2406	
Adhesion	1948	
Alanine, serine, and glycine	47030	
Aminosugars	10976	
Anaerobic degradation of aromatic compounds	13070	
Arginine; urea cycle, polyamines	52712	
Aromatic amino acids and derivatives	41148	
Bacterial cytostatics, differentiation factors and antibiotics	1436	
Bacteriocins, ribosomally synthesized antibacterial peptides	606	
Biologically active compounds in metazoan cell defence and differentiation	5595	
Biosynthesis of galactoglycans and related lipopolysacharides	24717	
Biosynthesis of phenylpropanoids	1176	
Biotin	25832	
Branched-chain amino acids	89656	
CO2 fixation	52953	
CRISPRs and associated hypotheticals	258	
CRISPs	523	
Capsular and extracellular polysacchrides	57997	
Carbohydrates	4541	
Carotenoid biosynthesis	1836	
Catabolism of an unknown compound	2116	
Cell Division	20059	
Cell wall of Mycobacteria	19309	
Central carbohydrate metabolism	186301	
Chemotaxis, response regulators	406	
Choline bitartrate degradation, putative	3079	
Chromosome Replication	1484	
Clustering-based subsystems	22219	
Coenzyme A	10868	
Coenzyme B	33	
Coenzyme F420	3029	
Coenzyme M	646	
Cold shock	1300	
Cytochrome biogenesis	16078	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	2953	
DNA metabolism	231	
DNA polymerase III epsilon cluster	2565	
DNA recombination	4916	
DNA repair	88561	
DNA replication	80329	
DNA uptake, competence	4364	
Dessication stress	14	
Detection	13909	
Detoxification	8729	
Di- and oligosaccharides	62118	
Electron accepting reactions	33759	
Electron donating reactions	73632	
Electron transport and photophosphorylation	92	
Fatty acid metabolic cluster	39139	
Fatty acids	73760	
Fermentation	48553	
Flagella protein?	575	
Flagellar motility in Prokaryota	20888	
Folate and pterines	150166	
Gene Transfer Agent (GTA)	523	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	44759	
Glycoside hydrolases	1981	
Gram-Negative cell wall components	33847	
Gram-Positive cell wall components	6426	
Heat shock	22270	
Histidine Metabolism	17965	
Hypothetical Related to Dihydroorate Dehydrogenase	887	
Hypothetical associated with RecF	687	
Hypothetical in Lysine biosynthetic cluster	3273	
Hypothetical lipase related to Phosphatidate metabolism	2073	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	4419	
Inorganic sulfur assimilation	17648	
Invasion and intracellular resistance	430	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	10152	
Isoprenoids	30568	
Lipid-derived mediators	159	
Lipoic acid	2833	
Lysine Biosynthesis	614	
Lysine, threonine, methionine, and cysteine	114752	
Metabolism of central aromatic intermediates	25726	
Methylamine utilization	14349	
Molybdopterin oxidoreductase	3850	
Monosaccharides	77594	
NAD and NADP	19759	
Nucleotidyl-phosphate metabolic cluster	18482	
One-carbon Metabolism	92371	
Organic acids	42200	
Organic sulfur assimilation	16911	
Osmotic stress	15676	
Oxidative stress	43613	
Pathogenicity islands	12600	
Peripheral pathways for catabolism of aromatic compounds	44568	
Periplasmic Stress	3007	
Phages, Prophages	35270	
Phosphate metabolism	5035	
Phospholipids	28647	
Plant Alkaloids	840	
Plant Hormones	9751	
Plant Octadecanoids	20	
Plant-Prokaryote DOE project	313245	
Plasmid related functions	415	
Polysaccharides	21111	
Probably GTP or GMP signaling related	7982	
Probably Pyrimidine biosynthesis-related	2295	
Probably Ybbk-related hypothetical membrane proteins	1497	
Probably organic hydroperoxide resistance related hypothetical protein	966	
Programmed Cell Death and Toxin-antitoxin Systems	1944	
Proline and 4-hydroxyproline	14892	
Proteasome related clusters	77	
Protein and nucleoprotein secretion system, Type IV	6736	
Protein biosynthesis	176914	
Protein degradation	53940	
Protein export?	11152	
Protein folding	29696	
Protein processing and modification	47174	
Protein secretion system, Type I	620	
Protein secretion system, Type II	13389	
Protein secretion system, Type III	562	
Protein secretion system, Type V	127	
Protein secretion system, Type VI	10361	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	41	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	899	
Protein translocation across cytoplasmic membrane	17485	
Proteolytic pathway	46	
Purines	59869	
Putative GGDEF domain protein related to agglutinin secretion	292	
Putative Isoquinoline 1-oxidoreductase subunit	5759	
Putative asociate of RNA polymerase sigma-54 factor rpoN	11686	
Putrescine/GABA utilization cluster-temporal,to add to SSs	3923	
Pyridoxine	17331	
Pyrimidines	46308	
Pyruvate kinase associated cluster	3386	
Quinone cofactors	16549	
Quorum sensing and biofilm formation	3628	
RNA processing and modification	100922	
Recombination related cluster	1494	
Regulation of virulence	10798	
Related to Menaquinone-cytochrome C reductase 	416	
Resistance to antibiotics and toxic compounds	78481	
Reverse electron transport	143	
Riboflavin, FMN, FAD	8145	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	6882	
Ribosome-related cluster	7227	
Sarcosine oxidase	2057	
Selenoproteins	16506	
Shiga toxin cluster	3605	
Siderophores	5676	
Signal transduction in Eukaryotes	3	
Social motility and nonflagellar swimming in bacteria	97	
Sodium Ion-Coupled Energetics	544	
Spore DNA protection	7	
Sugar Phosphotransferase Systems, PTS	1849	
Sugar alcohols	26754	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	7051	
