Taxon	
mgm4637821.3	
ABC transporters	41416	
ATP synthases	9360	
Acid stress	2289	
Adhesion	1850	
Alanine, serine, and glycine	46465	
Aminosugars	10825	
Anaerobic degradation of aromatic compounds	13027	
Arginine; urea cycle, polyamines	52670	
Aromatic amino acids and derivatives	40892	
Bacterial cytostatics, differentiation factors and antibiotics	1356	
Bacteriocins, ribosomally synthesized antibacterial peptides	583	
Biologically active compounds in metazoan cell defence and differentiation	5106	
Biosynthesis of galactoglycans and related lipopolysacharides	25498	
Biosynthesis of phenylpropanoids	1156	
Biotin	25451	
Branched-chain amino acids	89016	
CO2 fixation	52799	
CRISPRs and associated hypotheticals	268	
CRISPs	518	
Capsular and extracellular polysacchrides	57034	
Carbohydrates	4478	
Carotenoid biosynthesis	1821	
Catabolism of an unknown compound	2015	
Cell Division	19688	
Cell wall of Mycobacteria	19102	
Central carbohydrate metabolism	183341	
Chemotaxis, response regulators	454	
Choline bitartrate degradation, putative	3179	
Chromosome Replication	1600	
Clustering-based subsystems	22450	
Coenzyme A	10608	
Coenzyme B	30	
Coenzyme F420	3011	
Coenzyme M	653	
Cold shock	1244	
Cytochrome biogenesis	15940	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	2986	
DNA metabolism	223	
DNA polymerase III epsilon cluster	2470	
DNA recombination	4859	
DNA repair	87933	
DNA replication	78857	
DNA uptake, competence	4270	
Dessication stress	11	
Detection	14007	
Detoxification	9009	
Di- and oligosaccharides	61514	
Electron accepting reactions	32695	
Electron donating reactions	72506	
Electron transport and photophosphorylation	53	
Fatty acid metabolic cluster	38794	
Fatty acids	73580	
Fermentation	49118	
Flagella protein?	596	
Flagellar motility in Prokaryota	20645	
Folate and pterines	149514	
Gene Transfer Agent (GTA)	460	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	44750	
Glycoside hydrolases	2006	
Gram-Negative cell wall components	32902	
Gram-Positive cell wall components	6430	
Heat shock	22102	
Histidine Metabolism	17640	
Hypothetical Related to Dihydroorate Dehydrogenase	819	
Hypothetical associated with RecF	689	
Hypothetical in Lysine biosynthetic cluster	3222	
Hypothetical lipase related to Phosphatidate metabolism	2008	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	4298	
Inorganic sulfur assimilation	17561	
Invasion and intracellular resistance	436	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	9981	
Isoprenoids	30570	
Light-harvesting complexes	3	
Lipid-derived mediators	208	
Lipoic acid	2751	
Lysine Biosynthesis	632	
Lysine, threonine, methionine, and cysteine	113719	
