Taxon	
mgm4664912.3	
ABC transporters	30193	
ATP synthases	6761	
Acid stress	1318	
Adhesion	1270	
Alanine, serine, and glycine	33076	
Aminosugars	7265	
Anaerobic degradation of aromatic compounds	9456	
Arginine; urea cycle, polyamines	36522	
Aromatic amino acids and derivatives	29335	
Bacterial cytostatics, differentiation factors and antibiotics	991	
Bacteriocins, ribosomally synthesized antibacterial peptides	348	
Biologically active compounds in metazoan cell defence and differentiation	3727	
Biosynthesis of galactoglycans and related lipopolysacharides	16859	
Biosynthesis of phenylpropanoids	834	
Biotin	18344	
Branched-chain amino acids	64345	
CO2 fixation	38931	
CRISPRs and associated hypotheticals	256	
CRISPs	521	
Capsular and extracellular polysacchrides	38803	
Carbohydrates	3735	
Carotenoid biosynthesis	1683	
Catabolism of an unknown compound	1884	
Cell Division	13785	
Cell wall of Mycobacteria	13528	
Central carbohydrate metabolism	137417	
Chemotaxis, response regulators	301	
Choline bitartrate degradation, putative	1967	
Chromosome Replication	1168	
Clustering-based subsystems	16218	
Coenzyme A	7764	
Coenzyme B	17	
Coenzyme F420	2640	
Coenzyme M	457	
Cold shock	1097	
Cytochrome biogenesis	11813	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	2279	
DNA metabolism	117	
DNA polymerase III epsilon cluster	1786	
DNA recombination	3382	
DNA repair	62482	
DNA replication	55645	
DNA uptake, competence	3094	
Dessication stress	10	
Detection	9929	
Detoxification	6333	
Di- and oligosaccharides	45784	
Electron accepting reactions	24230	
Electron donating reactions	54164	
Electron transport and photophosphorylation	36	
Fatty acid metabolic cluster	26814	
Fatty acids	50360	
Fermentation	35634	
Flagella protein?	373	
Flagellar motility in Prokaryota	14334	
Folate and pterines	106850	
Gene Transfer Agent (GTA)	233	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	30600	
Glycoside hydrolases	1322	
Gram-Negative cell wall components	21108	
Gram-Positive cell wall components	4294	
Heat shock	15806	
Histidine Metabolism	12513	
Hypothetical Related to Dihydroorate Dehydrogenase	557	
Hypothetical associated with RecF	532	
Hypothetical in Lysine biosynthetic cluster	2255	
Hypothetical lipase related to Phosphatidate metabolism	1424	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	3128	
Inorganic sulfur assimilation	12955	
Invasion and intracellular resistance	156	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	7197	
Isoprenoids	21963	
Light-harvesting complexes	3	
Lipid-derived mediators	127	
Lipoic acid	2015	
Lysine Biosynthesis	458	
Lysine, threonine, methionine, and cysteine	80582	
Metabolism of central aromatic intermediates	18413	
Methylamine utilization	11006	
Molybdopterin oxidoreductase	2237	
Monosaccharides	52784	
NAD and NADP	13844	
Nucleotidyl-phosphate metabolic cluster	14204	
One-carbon Metabolism	64691	
Organic acids	29543	
Organic sulfur assimilation	11552	
Osmotic stress	10562	
Oxidative stress	31807	
Pathogenicity islands	9116	
Peripheral pathways for catabolism of aromatic compounds	31354	
Periplasmic Stress	1877	
Phages, Prophages	26545	
Phosphate metabolism	3780	
Phospholipids	20757	
Plant Alkaloids	476	
Plant Hormones	6646	
Plant Octadecanoids	12	
Plant-Prokaryote DOE project	221338	
Plasmid related functions	243	
Polysaccharides	15016	
Probably GTP or GMP signaling related	5755	
Probably Pyrimidine biosynthesis-related	1591	
Probably Ybbk-related hypothetical membrane proteins	946	
Probably organic hydroperoxide resistance related hypothetical protein	756	
Programmed Cell Death and Toxin-antitoxin Systems	1361	
Proline and 4-hydroxyproline	10666	
Proteasome related clusters	58	
Protein and nucleoprotein secretion system, Type IV	4767	
Protein biosynthesis	125396	
Protein degradation	36663	
Protein export?	8103	
Protein folding	20707	
Protein processing and modification	33564	
Protein secretion system, Type I	367	
Protein secretion system, Type II	8945	
Protein secretion system, Type III	354	
Protein secretion system, Type V	67	
Protein secretion system, Type VI	6702	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	41	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	515	
Protein translocation across cytoplasmic membrane	12754	
Proteolytic pathway	39	
Purines	43399	
Putative GGDEF domain protein related to agglutinin secretion	143	
Putative Isoquinoline 1-oxidoreductase subunit	3936	
Putative asociate of RNA polymerase sigma-54 factor rpoN	9471	
Putrescine/GABA utilization cluster-temporal,to add to SSs	3180	
Pyridoxine	12467	
Pyrimidines	32071	
Pyruvate kinase associated cluster	2249	
Quinone cofactors	11645	
Quorum sensing and biofilm formation	2821	
RNA processing and modification	68053	
Recombination related cluster	979	
Regulation of virulence	7441	
Related to Menaquinone-cytochrome C reductase 	320	
Resistance to antibiotics and toxic compounds	54342	
Reverse electron transport	120	
Riboflavin, FMN, FAD	5574	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	4832	
Ribosome-related cluster	5053	
