Taxon	
mgm4637824.3	
ABC transporters	92870	
ATP synthases	22479	
Acid stress	4923	
Adhesion	4167	
Alanine, serine, and glycine	108629	
Aminosugars	25049	
Anaerobic degradation of aromatic compounds	30483	
Arginine; urea cycle, polyamines	121500	
Aromatic amino acids and derivatives	96137	
Bacterial cytostatics, differentiation factors and antibiotics	3387	
Bacteriocins, ribosomally synthesized antibacterial peptides	1117	
Biologically active compounds in metazoan cell defence and differentiation	12065	
Biosynthesis of galactoglycans and related lipopolysacharides	56939	
Biosynthesis of phenylpropanoids	2606	
Biotin	59208	
Branched-chain amino acids	207885	
CO2 fixation	122349	
CRISPRs and associated hypotheticals	666	
CRISPs	1350	
Capsular and extracellular polysacchrides	131762	
Carbohydrates	10229	
Carotenoid biosynthesis	4281	
Catabolism of an unknown compound	5323	
Cell Division	46371	
Cell wall of Mycobacteria	44422	
Central carbohydrate metabolism	429378	
Chemotaxis, response regulators	908	
Choline bitartrate degradation, putative	7336	
Chromosome Replication	3298	
Clustering-based subsystems	51994	
Coenzyme A	25387	
Coenzyme B	81	
Coenzyme F420	7683	
Coenzyme M	1385	
Cold shock	3022	
Cytochrome biogenesis	37118	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	6674	
DNA metabolism	552	
DNA polymerase III epsilon cluster	6030	
DNA recombination	11432	
DNA repair	205155	
DNA replication	186796	
DNA uptake, competence	10240	
Dessication stress	39	
Detection	33290	
Detoxification	21262	
Di- and oligosaccharides	141237	
Electron accepting reactions	76324	
Electron donating reactions	165719	
Electron transport and photophosphorylation	191	
Fatty acid metabolic cluster	90849	
Fatty acids	169491	
Fermentation	112657	
Flagella protein?	1363	
Flagellar motility in Prokaryota	48809	
Folate and pterines	351293	
Gene Transfer Agent (GTA)	1259	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	101550	
Glycoside hydrolases	4518	
Gram-Negative cell wall components	74295	
Gram-Positive cell wall components	14429	
Heat shock	51607	
Histidine Metabolism	42782	
Hypothetical Related to Dihydroorate Dehydrogenase	1983	
Hypothetical associated with RecF	1818	
Hypothetical in Lysine biosynthetic cluster	7964	
Hypothetical lipase related to Phosphatidate metabolism	4905	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	10158	
Inorganic sulfur assimilation	41127	
Invasion and intracellular resistance	846	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	24312	
Isoprenoids	72495	
Light-harvesting complexes	21	
Lipid-derived mediators	420	
Lipoic acid	6696	
Lysine Biosynthesis	1670	
Lysine, threonine, methionine, and cysteine	266181	
Metabolism of central aromatic intermediates	58732	
Methylamine utilization	34220	
Molybdopterin oxidoreductase	7859	
Monosaccharides	178733	
NAD and NADP	46040	
Nucleotidyl-phosphate metabolic cluster	39926	
One-carbon Metabolism	213251	
Organic acids	96807	
Organic sulfur assimilation	37140	
Osmotic stress	35325	
Oxidative stress	102094	
Pathogenicity islands	28407	
Peripheral pathways for catabolism of aromatic compounds	102193	
Periplasmic Stress	6315	
Phages, Prophages	83656	
Phosphate metabolism	12016	
Phospholipids	67542	
Plant Alkaloids	1772	
Plant Hormones	22808	
Plant Octadecanoids	47	
Plant-Prokaryote DOE project	727189	
Plasmid related functions	879	
Polysaccharides	46918	
Probably GTP or GMP signaling related	18671	
Probably Pyrimidine biosynthesis-related	5215	
Probably Ybbk-related hypothetical membrane proteins	3312	
Probably organic hydroperoxide resistance related hypothetical protein	2313	
Programmed Cell Death and Toxin-antitoxin Systems	4700	
Proline and 4-hydroxyproline	35499	
Proteasome related clusters	201	
Protein and nucleoprotein secretion system, Type IV	15133	
Protein biosynthesis	414608	
Protein degradation	120620	
Protein export?	25488	
Protein folding	66761	
Protein processing and modification	109482	
Protein secretion system, Type I	1439	
Protein secretion system, Type II	29060	
Protein secretion system, Type III	1091	
Protein secretion system, Type V	306	
Protein secretion system, Type VI	22905	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	136	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	1936	
Protein translocation across cytoplasmic membrane	39788	
Proteolytic pathway	101	
Purines	142471	
Putative GGDEF domain protein related to agglutinin secretion	554	
Putative Isoquinoline 1-oxidoreductase subunit	12221	
Putative asociate of RNA polymerase sigma-54 factor rpoN	28093	
Putrescine/GABA utilization cluster-temporal,to add to SSs	9547	
Pyridoxine	40772	
Pyrimidines	108719	
Pyruvate kinase associated cluster	7903	
Quinone cofactors	38503	
Quorum sensing and biofilm formation	8514	
RNA processing and modification	233663	
Recombination related cluster	3382	
Regulation of virulence	24887	
Related to Menaquinone-cytochrome C reductase 	981	
Resistance to antibiotics and toxic compounds	173480	
Reverse electron transport	285	
Riboflavin, FMN, FAD	19143	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	15997	
Ribosome-related cluster	17028	
Sarcosine oxidase	4965	
Selenoproteins	37587	
Shiga toxin cluster	8136	
Siderophores	11573	
Signal transduction in Eukaryotes	5	
Social motility and nonflagellar swimming in bacteria	219	
Sodium Ion-Coupled Energetics	1244	
Spore DNA protection	7	
Sugar Phosphotransferase Systems, PTS	4174	
Sugar alcohols	61815	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	15512	
Tetrapyrroles	63062	
Three hypotheticals linked to lipoprotein biosynthesis	3597	
TldD cluster	8373	
Toxins and superantigens	903	
Transcription	109875	
Translation	14063	
Transposable elements	12174	
Triacylglycerols	1179	
Tricarboxylate transporter	15506	
Two related proteases	16115	
Uni- Sym- and Antiporters	7277	
alpha-proteobacterial cluster of hypotheticals	2170	
proteosome related	11483	
recX and regulatory cluster	4382	
tRNA sulfuration	6211	

