Taxon	
mgm4637836.3	
ABC transporters	21434	
ATP synthases	8203	
Acid stress	1740	
Adhesion	1592	
Alanine, serine, and glycine	32476	
Aminosugars	7366	
Anaerobic degradation of aromatic compounds	10986	
Arginine; urea cycle, polyamines	35892	
Aromatic amino acids and derivatives	32815	
Bacterial cytostatics, differentiation factors and antibiotics	1104	
Bacteriocins, ribosomally synthesized antibacterial peptides	243	
Biologically active compounds in metazoan cell defence and differentiation	4777	
Biosynthesis of galactoglycans and related lipopolysacharides	18758	
Biosynthesis of phenylpropanoids	838	
Biotin	19940	
Branched-chain amino acids	68067	
CO2 fixation	39951	
CRISPRs and associated hypotheticals	402	
CRISPs	870	
Capsular and extracellular polysacchrides	41816	
Carbohydrates	3275	
Carotenoid biosynthesis	2955	
Catabolism of an unknown compound	1030	
Cell Division	14069	
Cell wall of Mycobacteria	16306	
Central carbohydrate metabolism	152523	
Chemotaxis, response regulators	222	
Choline bitartrate degradation, putative	2362	
Chromosome Replication	2362	
Clustering-based subsystems	16200	
Coenzyme A	8151	
Coenzyme B	61	
Coenzyme F420	2654	
Coenzyme M	389	
Cold shock	978	
Cytochrome biogenesis	12272	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	1247	
DNA metabolism	70	
DNA polymerase III epsilon cluster	1838	
DNA recombination	3360	
DNA repair	61656	
DNA replication	54714	
DNA uptake, competence	2790	
Dessication stress	2	
Detection	10210	
Detoxification	5478	
Di- and oligosaccharides	52536	
Electron accepting reactions	32522	
Electron donating reactions	67133	
Electron transport and photophosphorylation	20	
Fatty acid metabolic cluster	29997	
Fatty acids	58286	
Fermentation	47489	
Flagella protein?	953	
Flagellar motility in Prokaryota	21026	
Folate and pterines	106106	
Gene Transfer Agent (GTA)	162	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	30689	
Glycoside hydrolases	1349	
Gram-Negative cell wall components	28413	
Gram-Positive cell wall components	4750	
Heat shock	16307	
Histidine Metabolism	13310	
Hypothetical Related to Dihydroorate Dehydrogenase	812	
Hypothetical associated with RecF	437	
Hypothetical in Lysine biosynthetic cluster	2562	
Hypothetical lipase related to Phosphatidate metabolism	1486	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	3313	
Inorganic sulfur assimilation	11883	
Invasion and intracellular resistance	131	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	7690	
Isoprenoids	24674	
Light-harvesting complexes	4	
Lipid-derived mediators	119	
Lipoic acid	1878	
Lysine Biosynthesis	618	
Lysine, threonine, methionine, and cysteine	92962	
Metabolism of central aromatic intermediates	23830	
Methylamine utilization	10427	
Molybdopterin oxidoreductase	3376	
Monosaccharides	56913	
NAD and NADP	13382	
Nucleotidyl-phosphate metabolic cluster	13586	
One-carbon Metabolism	71450	
Organic acids	32796	
Organic sulfur assimilation	12829	
Osmotic stress	8533	
Oxidative stress	33425	
Pathogenicity islands	8137	
Peripheral pathways for catabolism of aromatic compounds	38615	
Periplasmic Stress	2558	
Phages, Prophages	30180	
Phosphate metabolism	3512	
Phospholipids	22124	
Plant Alkaloids	633	
Plant Hormones	8617	
Plant Octadecanoids	21	
Plant-Prokaryote DOE project	232630	
Plasmid related functions	378	
Polysaccharides	21468	
Probably GTP or GMP signaling related	5567	
Probably Pyrimidine biosynthesis-related	1580	
Probably Ybbk-related hypothetical membrane proteins	987	
Probably organic hydroperoxide resistance related hypothetical protein	687	
Programmed Cell Death and Toxin-antitoxin Systems	3121	
Proline and 4-hydroxyproline	10710	
Proteasome related clusters	328	
Protein and nucleoprotein secretion system, Type IV	5485	
Protein biosynthesis	122110	
Protein degradation	38987	
Protein export?	7250	
Protein folding	23465	
Protein processing and modification	38847	
Protein secretion system, Type I	46	
Protein secretion system, Type II	10629	
Protein secretion system, Type III	296	
Protein secretion system, Type V	120	
Protein secretion system, Type VI	8936	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	52	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	528	
Protein translocation across cytoplasmic membrane	11662	
Proteolytic pathway	485	
Purines	42224	
Putative GGDEF domain protein related to agglutinin secretion	84	
Putative Isoquinoline 1-oxidoreductase subunit	6194	
Putative asociate of RNA polymerase sigma-54 factor rpoN	8925	
Putrescine/GABA utilization cluster-temporal,to add to SSs	2334	
Pyridoxine	11403	
Pyrimidines	33160	
Pyruvate kinase associated cluster	2207	
Quinone cofactors	12182	
Quorum sensing and biofilm formation	2760	
RNA processing and modification	72334	
Recombination related cluster	1083	
Regulation of virulence	6888	
Related to Menaquinone-cytochrome C reductase 	300	
Resistance to antibiotics and toxic compounds	75565	
Reverse electron transport	108	
Riboflavin, FMN, FAD	5300	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	4297	
Ribosome-related cluster	5423	
Sarcosine oxidase	1054	
Selenoproteins	12495	
Shiga toxin cluster	2336	
Siderophores	1457	
Signal transduction in Eukaryotes	6	
Social motility and nonflagellar swimming in bacteria	106	
Sodium Ion-Coupled Energetics	648	
Spore DNA protection	1	
Sugar Phosphotransferase Systems, PTS	1365	
Sugar alcohols	18584	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	5992	
Tetrapyrroles	23404	
Three hypotheticals linked to lipoprotein biosynthesis	1258	
TldD cluster	3051	
Toxins and superantigens	415	
Transcription	34331	
Translation	4430	
Transposable elements	4102	
Triacylglycerols	306	
Tricarboxylate transporter	793	
Two related proteases	4268	
Uni- Sym- and Antiporters	1547	
alpha-proteobacterial cluster of hypotheticals	1201	
proteosome related	3337	
recX and regulatory cluster	1435	
tRNA sulfuration	2279	

