Taxon	
mgm4637840.3	
ABC transporters	25393	
ATP synthases	8182	
Acid stress	1969	
Adhesion	1764	
Alanine, serine, and glycine	35476	
Aminosugars	9039	
Anaerobic degradation of aromatic compounds	11088	
Arginine; urea cycle, polyamines	42314	
Aromatic amino acids and derivatives	36640	
Bacterial cytostatics, differentiation factors and antibiotics	1214	
Bacteriocins, ribosomally synthesized antibacterial peptides	347	
Biologically active compounds in metazoan cell defence and differentiation	4753	
Biosynthesis of galactoglycans and related lipopolysacharides	20638	
Biosynthesis of phenylpropanoids	868	
Biotin	22668	
Branched-chain amino acids	73838	
CO2 fixation	43632	
CRISPRs and associated hypotheticals	284	
CRISPs	569	
Capsular and extracellular polysacchrides	43404	
Carbohydrates	3386	
Carotenoid biosynthesis	3458	
Catabolism of an unknown compound	1314	
Cell Division	15127	
Cell wall of Mycobacteria	17813	
Central carbohydrate metabolism	155244	
Chemotaxis, response regulators	363	
Choline bitartrate degradation, putative	2515	
Chromosome Replication	1981	
Clustering-based subsystems	16915	
Coenzyme A	8519	
Coenzyme B	15	
Coenzyme F420	2620	
Coenzyme M	357	
Cold shock	1036	
Cytochrome biogenesis	12633	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	1586	
DNA metabolism	189	
DNA polymerase III epsilon cluster	2261	
DNA recombination	3547	
DNA repair	69367	
DNA replication	62352	
DNA uptake, competence	3374	
Dessication stress	6	
Detection	11367	
Detoxification	7629	
Di- and oligosaccharides	55293	
Electron accepting reactions	33999	
Electron donating reactions	63339	
Electron transport and photophosphorylation	63	
Fatty acid metabolic cluster	33150	
Fatty acids	64782	
Fermentation	47898	
Flagella protein?	1042	
Flagellar motility in Prokaryota	24205	
Folate and pterines	117710	
Gene Transfer Agent (GTA)	245	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	33496	
Glycoside hydrolases	1432	
Gram-Negative cell wall components	29789	
Gram-Positive cell wall components	4870	
Heat shock	18098	
Histidine Metabolism	14763	
Hypothetical Related to Dihydroorate Dehydrogenase	892	
Hypothetical associated with RecF	693	
Hypothetical in Lysine biosynthetic cluster	3158	
Hypothetical lipase related to Phosphatidate metabolism	1691	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	3736	
Inorganic sulfur assimilation	14783	
Invasion and intracellular resistance	154	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	8371	
Isoprenoids	27890	
Light-harvesting complexes	6	
Lipid-derived mediators	197	
Lipoic acid	2132	
Lysine Biosynthesis	819	
Lysine, threonine, methionine, and cysteine	100941	
Metabolism of central aromatic intermediates	26629	
Methylamine utilization	12200	
Molybdopterin oxidoreductase	3161	
Monosaccharides	67541	
NAD and NADP	15276	
Nucleotidyl-phosphate metabolic cluster	11627	
One-carbon Metabolism	74694	
Organic acids	34596	
Organic sulfur assimilation	15444	
Osmotic stress	10637	
Oxidative stress	40069	
Pathogenicity islands	8394	
Peripheral pathways for catabolism of aromatic compounds	43552	
Periplasmic Stress	2668	
Phages, Prophages	29680	
Phosphate metabolism	3981	
Phospholipids	25594	
Plant Alkaloids	584	
Plant Hormones	9086	
Plant Octadecanoids	9	
Plant-Prokaryote DOE project	260871	
Plasmid related functions	703	
Polysaccharides	19625	
Probably GTP or GMP signaling related	6282	
Probably Pyrimidine biosynthesis-related	1641	
Probably Ybbk-related hypothetical membrane proteins	1048	
Probably organic hydroperoxide resistance related hypothetical protein	1083	
Programmed Cell Death and Toxin-antitoxin Systems	2376	
