Taxon	
mgm4637841.3	
ABC transporters	22039	
ATP synthases	6510	
Acid stress	1558	
Adhesion	1447	
Alanine, serine, and glycine	26797	
Aminosugars	6015	
Anaerobic degradation of aromatic compounds	8629	
Arginine; urea cycle, polyamines	33644	
Aromatic amino acids and derivatives	28367	
Bacterial cytostatics, differentiation factors and antibiotics	932	
Bacteriocins, ribosomally synthesized antibacterial peptides	277	
Biologically active compounds in metazoan cell defence and differentiation	4175	
Biosynthesis of galactoglycans and related lipopolysacharides	15794	
Biosynthesis of phenylpropanoids	682	
Biotin	17483	
Branched-chain amino acids	57412	
CO2 fixation	34094	
CRISPRs and associated hypotheticals	261	
CRISPs	523	
Capsular and extracellular polysacchrides	35017	
Carbohydrates	2534	
Carotenoid biosynthesis	2701	
Catabolism of an unknown compound	823	
Cell Division	11450	
Cell wall of Mycobacteria	13682	
Central carbohydrate metabolism	122536	
Chemotaxis, response regulators	289	
Choline bitartrate degradation, putative	1998	
Chromosome Replication	1596	
Clustering-based subsystems	13383	
Coenzyme A	6552	
Coenzyme B	21	
Coenzyme F420	2050	
Coenzyme M	343	
Cold shock	789	
Cytochrome biogenesis	9657	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	1207	
DNA metabolism	102	
DNA polymerase III epsilon cluster	1713	
DNA recombination	2821	
DNA repair	52689	
DNA replication	47536	
DNA uptake, competence	2593	
Dessication stress	9	
Detection	8386	
Detoxification	5515	
Di- and oligosaccharides	41931	
Electron accepting reactions	26829	
Electron donating reactions	52255	
Electron transport and photophosphorylation	30	
Fatty acid metabolic cluster	25824	
Fatty acids	50398	
Fermentation	37615	
Flagella protein?	874	
Flagellar motility in Prokaryota	19749	
Folate and pterines	91597	
Gene Transfer Agent (GTA)	163	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	26827	
Glycoside hydrolases	1143	
Gram-Negative cell wall components	25128	
Gram-Positive cell wall components	3835	
Heat shock	14225	
Histidine Metabolism	10980	
Hypothetical Related to Dihydroorate Dehydrogenase	638	
Hypothetical associated with RecF	438	
Hypothetical in Lysine biosynthetic cluster	2237	
Hypothetical lipase related to Phosphatidate metabolism	1190	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	2768	
Inorganic sulfur assimilation	10826	
Invasion and intracellular resistance	124	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	6173	
Isoprenoids	20395	
Light-harvesting complexes	4	
Lipid-derived mediators	135	
Lipoic acid	1688	
Lysine Biosynthesis	638	
Lysine, threonine, methionine, and cysteine	77125	
Metabolism of central aromatic intermediates	22234	
Methylamine utilization	9668	
Molybdopterin oxidoreductase	2900	
Monosaccharides	50319	
NAD and NADP	11599	
Nucleotidyl-phosphate metabolic cluster	10365	
One-carbon Metabolism	58898	
Organic acids	28109	
Organic sulfur assimilation	13448	
Osmotic stress	8540	
Oxidative stress	31068	
Pathogenicity islands	6852	
Peripheral pathways for catabolism of aromatic compounds	33841	
Periplasmic Stress	2229	
Phages, Prophages	22597	
Phosphate metabolism	2938	
Phospholipids	18921	
Plant Alkaloids	507	
Plant Hormones	6985	
Plant Octadecanoids	8	
Plant-Prokaryote DOE project	204287	
Plasmid related functions	473	
Polysaccharides	15755	
Probably GTP or GMP signaling related	4829	
Probably Pyrimidine biosynthesis-related	1315	
Probably Ybbk-related hypothetical membrane proteins	974	
Probably organic hydroperoxide resistance related hypothetical protein	751	
Programmed Cell Death and Toxin-antitoxin Systems	2042	
Proline and 4-hydroxyproline	9392	
Proteasome related clusters	30	
Protein and nucleoprotein secretion system, Type IV	4990	
Protein biosynthesis	104299	
Protein degradation	31797	
Protein export?	6490	
Protein folding	19655	
Protein processing and modification	32267	
Protein secretion system, Type I	94	
Protein secretion system, Type II	10040	
Protein secretion system, Type III	377	
Protein secretion system, Type V	104	
Protein secretion system, Type VI	7321	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	48	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	510	
Protein translocation across cytoplasmic membrane	10496	
Proteolytic pathway	237	
Purines	35957	
Putative GGDEF domain protein related to agglutinin secretion	85	
Putative Isoquinoline 1-oxidoreductase subunit	5639	
Putative asociate of RNA polymerase sigma-54 factor rpoN	7253	
Putrescine/GABA utilization cluster-temporal,to add to SSs	2685	
Pyridoxine	10217	
Pyrimidines	27715	
Pyruvate kinase associated cluster	2221	
