Taxon	
mgm4664866.3	
ABC transporters	42077	
ATP synthases	9353	
Acid stress	1815	
Adhesion	1733	
Alanine, serine, and glycine	45406	
Aminosugars	11575	
Anaerobic degradation of aromatic compounds	13657	
Arginine; urea cycle, polyamines	51180	
Aromatic amino acids and derivatives	39873	
Bacterial cytostatics, differentiation factors and antibiotics	1546	
Bacteriocins, ribosomally synthesized antibacterial peptides	506	
Biologically active compounds in metazoan cell defence and differentiation	5479	
Biosynthesis of galactoglycans and related lipopolysacharides	24441	
Biosynthesis of phenylpropanoids	1307	
Biotin	25966	
Branched-chain amino acids	89787	
CO2 fixation	54675	
CRISPRs and associated hypotheticals	491	
CRISPs	809	
Capsular and extracellular polysacchrides	54133	
Carbohydrates	5184	
Carotenoid biosynthesis	1923	
Catabolism of an unknown compound	2795	
Cell Division	19059	
Cell wall of Mycobacteria	19077	
Central carbohydrate metabolism	193238	
Chemotaxis, response regulators	339	
Choline bitartrate degradation, putative	2997	
Chromosome Replication	1677	
Clustering-based subsystems	22469	
Coenzyme A	10434	
Coenzyme B	23	
Coenzyme F420	3854	
Coenzyme M	671	
Cold shock	1761	
Cytochrome biogenesis	16927	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	3399	
DNA metabolism	197	
DNA polymerase III epsilon cluster	2495	
DNA recombination	4559	
DNA repair	86667	
DNA replication	76088	
DNA uptake, competence	4215	
Dessication stress	6	
Detection	14315	
Detoxification	9105	
Di- and oligosaccharides	68644	
Electron accepting reactions	34222	
Electron donating reactions	76956	
Electron transport and photophosphorylation	45	
Fatty acid metabolic cluster	38399	
Fatty acids	71970	
Fermentation	51061	
Flagella protein?	414	
Flagellar motility in Prokaryota	18595	
Folate and pterines	148343	
Gene Transfer Agent (GTA)	245	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	43355	
Glycoside hydrolases	1651	
Gram-Negative cell wall components	27382	
Gram-Positive cell wall components	5923	
Heat shock	20542	
Histidine Metabolism	18091	
Hypothetical Related to Dihydroorate Dehydrogenase	715	
Hypothetical associated with RecF	732	
Hypothetical in Lysine biosynthetic cluster	3050	
Hypothetical lipase related to Phosphatidate metabolism	1993	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	4093	
Inorganic sulfur assimilation	18536	
Invasion and intracellular resistance	305	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	10345	
Isoprenoids	30926	
Light-harvesting complexes	7	
Lipid-derived mediators	174	
Lipoic acid	2681	
Lysine Biosynthesis	562	
Lysine, threonine, methionine, and cysteine	112366	
Metabolism of central aromatic intermediates	25205	
Methylamine utilization	15197	
Molybdopterin oxidoreductase	2873	
Monosaccharides	80950	
NAD and NADP	19333	
