Taxon	
mgm4637835.3	
ABC transporters	31067	
ATP synthases	12317	
Acid stress	2544	
Adhesion	2493	
Alanine, serine, and glycine	49531	
Aminosugars	11242	
Anaerobic degradation of aromatic compounds	16318	
Arginine; urea cycle, polyamines	55901	
Aromatic amino acids and derivatives	49792	
Bacterial cytostatics, differentiation factors and antibiotics	1564	
Bacteriocins, ribosomally synthesized antibacterial peptides	392	
Biologically active compounds in metazoan cell defence and differentiation	6732	
Biosynthesis of galactoglycans and related lipopolysacharides	28628	
Biosynthesis of phenylpropanoids	1227	
Biotin	29998	
Branched-chain amino acids	103265	
CO2 fixation	61515	
CRISPRs and associated hypotheticals	651	
CRISPs	1277	
Capsular and extracellular polysacchrides	64617	
Carbohydrates	5224	
Carotenoid biosynthesis	4382	
Catabolism of an unknown compound	1523	
Cell Division	21469	
Cell wall of Mycobacteria	25012	
Central carbohydrate metabolism	232687	
Chemotaxis, response regulators	351	
Choline bitartrate degradation, putative	3853	
Chromosome Replication	3844	
Clustering-based subsystems	24070	
Coenzyme A	12500	
Coenzyme B	65	
Coenzyme F420	4026	
Coenzyme M	512	
Cold shock	1498	
Cytochrome biogenesis	18575	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	1991	
DNA metabolism	133	
DNA polymerase III epsilon cluster	2895	
DNA recombination	5006	
DNA repair	94251	
DNA replication	83248	
DNA uptake, competence	4480	
Dessication stress	1	
Detection	16052	
Detoxification	8454	
Di- and oligosaccharides	81596	
Electron accepting reactions	49437	
Electron donating reactions	99622	
Electron transport and photophosphorylation	60	
Fatty acid metabolic cluster	46612	
Fatty acids	89241	
Fermentation	73022	
Flagella protein?	1374	
Flagellar motility in Prokaryota	32881	
Folate and pterines	163237	
Gene Transfer Agent (GTA)	213	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	47065	
Glycoside hydrolases	1968	
Gram-Negative cell wall components	44374	
Gram-Positive cell wall components	7398	
Heat shock	25210	
Histidine Metabolism	20271	
Hypothetical Related to Dihydroorate Dehydrogenase	1259	
Hypothetical associated with RecF	673	
Hypothetical in Lysine biosynthetic cluster	3834	
Hypothetical lipase related to Phosphatidate metabolism	2370	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	4964	
Inorganic sulfur assimilation	17880	
Invasion and intracellular resistance	201	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	11844	
Isoprenoids	37093	
Light-harvesting complexes	7	
Lipid-derived mediators	203	
Lipoic acid	3088	
Lysine Biosynthesis	841	
Lysine, threonine, methionine, and cysteine	141591	
Metabolism of central aromatic intermediates	34437	
Methylamine utilization	16450	
Molybdopterin oxidoreductase	5715	
Monosaccharides	88589	
NAD and NADP	20266	
Nucleotidyl-phosphate metabolic cluster	19553	
One-carbon Metabolism	107347	
Organic acids	49293	
Organic sulfur assimilation	18498	
Osmotic stress	13231	
Oxidative stress	50753	
Pathogenicity islands	12433	
Peripheral pathways for catabolism of aromatic compounds	57292	
Periplasmic Stress	4129	
Phages, Prophages	45609	
Phosphate metabolism	5535	
Phospholipids	34624	
Plant Alkaloids	1003	
Plant Hormones	13307	
Plant Octadecanoids	19	
Plant-Prokaryote DOE project	355737	
Plasmid related functions	651	
Polysaccharides	34180	
Probably GTP or GMP signaling related	8797	
Probably Pyrimidine biosynthesis-related	2473	
Probably Ybbk-related hypothetical membrane proteins	1403	
Probably organic hydroperoxide resistance related hypothetical protein	1163	
Programmed Cell Death and Toxin-antitoxin Systems	4780	
Proline and 4-hydroxyproline	16486	
Proteasome related clusters	290	
Protein and nucleoprotein secretion system, Type IV	8250	
Protein biosynthesis	186178	
Protein degradation	59226	
Protein export?	11257	
Protein folding	35695	
Protein processing and modification	58869	
Protein secretion system, Type I	84	
Protein secretion system, Type II	15907	
Protein secretion system, Type III	567	
Protein secretion system, Type V	200	
Protein secretion system, Type VI	14072	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	54	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	950	
Protein translocation across cytoplasmic membrane	18107	
Proteolytic pathway	689	
Purines	64415	
Putative GGDEF domain protein related to agglutinin secretion	132	
Putative Isoquinoline 1-oxidoreductase subunit	8982	
Putative asociate of RNA polymerase sigma-54 factor rpoN	12913	
Putrescine/GABA utilization cluster-temporal,to add to SSs	3650	
Pyridoxine	17241	
Pyrimidines	50793	
Pyruvate kinase associated cluster	3245	
Quinone cofactors	18721	
Quorum sensing and biofilm formation	4113	
RNA processing and modification	111489	
Recombination related cluster	1845	
Regulation of virulence	10718	
Related to Menaquinone-cytochrome C reductase 	437	
Resistance to antibiotics and toxic compounds	116176	
Reverse electron transport	174	
Riboflavin, FMN, FAD	8245	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	6825	
Ribosome-related cluster	8544	
Sarcosine oxidase	1912	
Selenoproteins	19268	
Shiga toxin cluster	3652	
Siderophores	2032	
Signal transduction in Eukaryotes	10	
Social motility and nonflagellar swimming in bacteria	114	
Sodium Ion-Coupled Energetics	1041	
Spore DNA protection	5	
Sugar Phosphotransferase Systems, PTS	2143	
Sugar alcohols	28899	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	8605	
Tetrapyrroles	34551	
Three hypotheticals linked to lipoprotein biosynthesis	1993	
TldD cluster	4798	
Toxins and superantigens	653	
Transcription	51566	
Translation	6775	
Transposable elements	6623	
Triacylglycerols	471	
Tricarboxylate transporter	1014	
Two related proteases	6865	
Uni- Sym- and Antiporters	2206	
alpha-proteobacterial cluster of hypotheticals	1678	
proteosome related	4766	
recX and regulatory cluster	2256	
tRNA sulfuration	3396	

