Taxon	
mgm4637827.3	
ABC transporters	36664	
ATP synthases	8299	
Acid stress	1968	
Adhesion	1617	
Alanine, serine, and glycine	43254	
Aminosugars	9989	
Anaerobic degradation of aromatic compounds	12231	
Arginine; urea cycle, polyamines	48116	
Aromatic amino acids and derivatives	37269	
Bacterial cytostatics, differentiation factors and antibiotics	1299	
Bacteriocins, ribosomally synthesized antibacterial peptides	485	
Biologically active compounds in metazoan cell defence and differentiation	5311	
Biosynthesis of galactoglycans and related lipopolysacharides	23226	
Biosynthesis of phenylpropanoids	1234	
Biotin	23760	
Branched-chain amino acids	82779	
CO2 fixation	48970	
CRISPRs and associated hypotheticals	210	
CRISPs	462	
Capsular and extracellular polysacchrides	51564	
Carbohydrates	4402	
Carotenoid biosynthesis	1580	
Catabolism of an unknown compound	2290	
Cell Division	18130	
Cell wall of Mycobacteria	17668	
Central carbohydrate metabolism	170638	
Chemotaxis, response regulators	396	
Choline bitartrate degradation, putative	2791	
Chromosome Replication	1310	
Clustering-based subsystems	20839	
Coenzyme A	9542	
Coenzyme B	21	
Coenzyme F420	3094	
Coenzyme M	654	
Cold shock	1249	
Cytochrome biogenesis	14790	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	2903	
DNA metabolism	198	
DNA polymerase III epsilon cluster	2475	
DNA recombination	4493	
DNA repair	82145	
DNA replication	73556	
DNA uptake, competence	3991	
Dessication stress	4	
Detection	13215	
Detoxification	8329	
Di- and oligosaccharides	57815	
Electron accepting reactions	30507	
Electron donating reactions	66688	
Electron transport and photophosphorylation	89	
Fatty acid metabolic cluster	35869	
Fatty acids	67691	
Fermentation	45730	
Flagella protein?	525	
Flagellar motility in Prokaryota	18602	
Folate and pterines	139152	
Gene Transfer Agent (GTA)	453	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	40952	
Glycoside hydrolases	1761	
Gram-Negative cell wall components	28412	
Gram-Positive cell wall components	5786	
Heat shock	19851	
Histidine Metabolism	17069	
Hypothetical Related to Dihydroorate Dehydrogenase	786	
Hypothetical associated with RecF	686	
Hypothetical in Lysine biosynthetic cluster	3063	
Hypothetical lipase related to Phosphatidate metabolism	1931	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	3961	
Inorganic sulfur assimilation	16638	
Invasion and intracellular resistance	340	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	9244	
Isoprenoids	28150	
Light-harvesting complexes	9	
Lipid-derived mediators	150	
Lipoic acid	2518	
Lysine Biosynthesis	587	
Lysine, threonine, methionine, and cysteine	105348	
Metabolism of central aromatic intermediates	23386	
Methylamine utilization	13857	
Molybdopterin oxidoreductase	3027	
Monosaccharides	71825	
NAD and NADP	18190	
Nucleotidyl-phosphate metabolic cluster	15965	
One-carbon Metabolism	84082	
Organic acids	38467	
Organic sulfur assimilation	15484	
Osmotic stress	14239	
Oxidative stress	40049	
Pathogenicity islands	11196	
Peripheral pathways for catabolism of aromatic compounds	41708	
Periplasmic Stress	2396	
Phages, Prophages	33533	
Phosphate metabolism	4732	
Phospholipids	26929	
Plant Alkaloids	662	
Plant Hormones	8797	
Plant Octadecanoids	18	
