Taxon	
mgm4664865.3	
ABC transporters	21060	
ATP synthases	7423	
Acid stress	1628	
Adhesion	1603	
Alanine, serine, and glycine	29979	
Aminosugars	6539	
Anaerobic degradation of aromatic compounds	9723	
Arginine; urea cycle, polyamines	35017	
Aromatic amino acids and derivatives	30735	
Bacterial cytostatics, differentiation factors and antibiotics	930	
Bacteriocins, ribosomally synthesized antibacterial peptides	200	
Biologically active compounds in metazoan cell defence and differentiation	4164	
Biosynthesis of galactoglycans and related lipopolysacharides	16618	
Biosynthesis of phenylpropanoids	749	
Biotin	19410	
Branched-chain amino acids	64144	
CO2 fixation	37377	
CRISPRs and associated hypotheticals	302	
CRISPs	664	
Capsular and extracellular polysacchrides	38279	
Carbohydrates	2934	
Carotenoid biosynthesis	2846	
Catabolism of an unknown compound	936	
Cell Division	13263	
Cell wall of Mycobacteria	16045	
Central carbohydrate metabolism	139595	
Chemotaxis, response regulators	283	
Choline bitartrate degradation, putative	2401	
Chromosome Replication	1966	
Clustering-based subsystems	14374	
Coenzyme A	7323	
Coenzyme B	51	
Coenzyme F420	2434	
Coenzyme M	320	
Cold shock	935	
Cytochrome biogenesis	11357	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	1025	
DNA metabolism	100	
DNA polymerase III epsilon cluster	1807	
DNA recombination	3085	
DNA repair	56998	
DNA replication	51562	
DNA uptake, competence	2776	
Dessication stress	2	
Detection	9683	
Detoxification	5580	
Di- and oligosaccharides	46751	
Electron accepting reactions	29232	
Electron donating reactions	58848	
Electron transport and photophosphorylation	36	
Fatty acid metabolic cluster	28981	
Fatty acids	56582	
Fermentation	43014	
Flagella protein?	984	
Flagellar motility in Prokaryota	20714	
Folate and pterines	99939	
Gene Transfer Agent (GTA)	162	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	29270	
Glycoside hydrolases	1184	
Gram-Negative cell wall components	26507	
Gram-Positive cell wall components	4400	
Heat shock	15388	
Histidine Metabolism	12018	
Hypothetical Related to Dihydroorate Dehydrogenase	733	
Hypothetical associated with RecF	387	
Hypothetical in Lysine biosynthetic cluster	2456	
Hypothetical lipase related to Phosphatidate metabolism	1411	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	2950	
Inorganic sulfur assimilation	11460	
Invasion and intracellular resistance	136	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	7321	
Isoprenoids	23041	
Light-harvesting complexes	3	
Lipid-derived mediators	158	
Lipoic acid	1845	
Lysine Biosynthesis	620	
Lysine, threonine, methionine, and cysteine	85459	
Metabolism of central aromatic intermediates	22497	
Methylamine utilization	10477	
Molybdopterin oxidoreductase	3058	
Monosaccharides	52209	
NAD and NADP	12489	
Nucleotidyl-phosphate metabolic cluster	12256	
One-carbon Metabolism	66011	
Organic acids	30790	
Organic sulfur assimilation	12638	
Osmotic stress	8975	
Oxidative stress	32875	
Pathogenicity islands	7885	
Peripheral pathways for catabolism of aromatic compounds	36836	
Periplasmic Stress	2451	
Phages, Prophages	28430	
Phosphate metabolism	3411	
Phospholipids	21802	
Plant Alkaloids	503	
Plant Hormones	8032	
Plant Octadecanoids	16	
Plant-Prokaryote DOE project	219270	
Plasmid related functions	506	
Polysaccharides	19074	
Probably GTP or GMP signaling related	5351	
Probably Pyrimidine biosynthesis-related	1510	
Probably Ybbk-related hypothetical membrane proteins	904	
Probably organic hydroperoxide resistance related hypothetical protein	827	
Programmed Cell Death and Toxin-antitoxin Systems	2710	
Proline and 4-hydroxyproline	9901	
Proteasome related clusters	101	
Protein and nucleoprotein secretion system, Type IV	5572	
Protein biosynthesis	115679	
Protein degradation	36304	
Protein export?	7134	
Protein folding	21819	
Protein processing and modification	35806	
Protein secretion system, Type I	66	
Protein secretion system, Type II	10450	
Protein secretion system, Type III	398	
Protein secretion system, Type V	87	
Protein secretion system, Type VI	8112	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	38	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	525	
Protein translocation across cytoplasmic membrane	11495	
Proteolytic pathway	284	
Purines	39799	
Putative GGDEF domain protein related to agglutinin secretion	96	
Putative Isoquinoline 1-oxidoreductase subunit	5748	
Putative asociate of RNA polymerase sigma-54 factor rpoN	8110	
Putrescine/GABA utilization cluster-temporal,to add to SSs	2550	
Pyridoxine	10989	
Pyrimidines	31366	
Pyruvate kinase associated cluster	2280	
Quinone cofactors	11552	
Quorum sensing and biofilm formation	2299	
RNA processing and modification	67099	
Recombination related cluster	1016	
Regulation of virulence	6575	
Related to Menaquinone-cytochrome C reductase 	251	
Resistance to antibiotics and toxic compounds	72631	
Reverse electron transport	103	
Riboflavin, FMN, FAD	5089	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	4283	
Ribosome-related cluster	5143	
Sarcosine oxidase	1533	
Selenoproteins	11524	
Shiga toxin cluster	2213	
Siderophores	1641	
Signal transduction in Eukaryotes	6	
Social motility and nonflagellar swimming in bacteria	74	
Sodium Ion-Coupled Energetics	524	
Spore DNA protection	9	
Sugar Phosphotransferase Systems, PTS	1406	
Sugar alcohols	17366	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	5318	
Tetrapyrroles	22117	
Three hypotheticals linked to lipoprotein biosynthesis	1235	
TldD cluster	2887	
Toxins and superantigens	315	
Transcription	32803	
Translation	4202	
Transposable elements	3979	
Triacylglycerols	336	
Tricarboxylate transporter	1000	
Two related proteases	3961	
Uni- Sym- and Antiporters	1451	
alpha-proteobacterial cluster of hypotheticals	1263	
proteosome related	3002	
recX and regulatory cluster	1299	
tRNA sulfuration	2205	

