Taxon	
mgm4637837.3	
ABC transporters	45584	
ATP synthases	18259	
Acid stress	3888	
Adhesion	3981	
Alanine, serine, and glycine	71819	
Aminosugars	17489	
Anaerobic degradation of aromatic compounds	24215	
Arginine; urea cycle, polyamines	83064	
Aromatic amino acids and derivatives	75221	
Bacterial cytostatics, differentiation factors and antibiotics	2129	
Bacteriocins, ribosomally synthesized antibacterial peptides	605	
Biologically active compounds in metazoan cell defence and differentiation	10840	
Biosynthesis of galactoglycans and related lipopolysacharides	42950	
Biosynthesis of phenylpropanoids	1709	
Biotin	43740	
Branched-chain amino acids	150759	
CO2 fixation	91464	
CRISPRs and associated hypotheticals	835	
CRISPs	1865	
Capsular and extracellular polysacchrides	99488	
Carbohydrates	7498	
Carotenoid biosynthesis	6631	
Catabolism of an unknown compound	1898	
Cell Division	31539	
Cell wall of Mycobacteria	37054	
Central carbohydrate metabolism	344808	
Chemotaxis, response regulators	554	
Choline bitartrate degradation, putative	5998	
Chromosome Replication	5906	
Clustering-based subsystems	35343	
Coenzyme A	18387	
Coenzyme B	113	
Coenzyme F420	5487	
Coenzyme M	842	
Cold shock	2510	
Cytochrome biogenesis	27522	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	2962	
DNA metabolism	147	
DNA polymerase III epsilon cluster	4142	
DNA recombination	7344	
DNA repair	136676	
DNA replication	120687	
DNA uptake, competence	6523	
Dessication stress	3	
Detection	23195	
Detoxification	12191	
Di- and oligosaccharides	126210	
Electron accepting reactions	76418	
Electron donating reactions	155659	
Electron transport and photophosphorylation	47	
Fatty acid metabolic cluster	68501	
Fatty acids	132265	
Fermentation	109281	
Flagella protein?	2176	
Flagellar motility in Prokaryota	52247	
Folate and pterines	240852	
Gene Transfer Agent (GTA)	324	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	70876	
Glycoside hydrolases	3297	
Gram-Negative cell wall components	68690	
Gram-Positive cell wall components	11657	
Heat shock	37071	
Histidine Metabolism	29720	
Hypothetical Related to Dihydroorate Dehydrogenase	2069	
Hypothetical associated with RecF	841	
Hypothetical in Lysine biosynthetic cluster	5577	
Hypothetical lipase related to Phosphatidate metabolism	3456	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	7374	
Inorganic sulfur assimilation	26491	
Invasion and intracellular resistance	319	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	17790	
Isoprenoids	54416	
Light-harvesting complexes	4	
Lipid-derived mediators	259	
Lipoic acid	4288	
Lysine Biosynthesis	1252	
Lysine, threonine, methionine, and cysteine	212497	
Metabolism of central aromatic intermediates	51742	
Methylamine utilization	23942	
Molybdopterin oxidoreductase	8834	
Monosaccharides	139107	
NAD and NADP	30227	
Nucleotidyl-phosphate metabolic cluster	27115	
One-carbon Metabolism	158638	
Organic acids	73460	
Organic sulfur assimilation	28874	
Osmotic stress	19212	
Oxidative stress	75362	
Pathogenicity islands	18393	
Peripheral pathways for catabolism of aromatic compounds	84680	
Periplasmic Stress	6248	
Phages, Prophages	65440	
Phosphate metabolism	8410	
Phospholipids	50328	
Plant Alkaloids	1642	
Plant Hormones	19988	
Plant Octadecanoids	36	
Plant-Prokaryote DOE project	526298	
Plasmid related functions	913	
Polysaccharides	51705	
Probably GTP or GMP signaling related	12947	
Probably Pyrimidine biosynthesis-related	3696	
Probably Ybbk-related hypothetical membrane proteins	2200	
Probably organic hydroperoxide resistance related hypothetical protein	1688	
Programmed Cell Death and Toxin-antitoxin Systems	7521	
Proline and 4-hydroxyproline	24178	
Proteasome related clusters	453	
Protein and nucleoprotein secretion system, Type IV	12400	
Protein biosynthesis	278149	
Protein degradation	88696	
Protein export?	16377	
Protein folding	52714	
Protein processing and modification	88671	
Protein secretion system, Type I	140	
Protein secretion system, Type II	25400	
Protein secretion system, Type III	758	
Protein secretion system, Type V	273	
Protein secretion system, Type VI	20802	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	159	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	1457	
Protein translocation across cytoplasmic membrane	26777	
Proteolytic pathway	1192	
Purines	95898	
Putative GGDEF domain protein related to agglutinin secretion	219	
Putative Isoquinoline 1-oxidoreductase subunit	13769	
Putative asociate of RNA polymerase sigma-54 factor rpoN	18418	
Putrescine/GABA utilization cluster-temporal,to add to SSs	5139	
Pyridoxine	25060	
Pyrimidines	75733	
Pyruvate kinase associated cluster	4988	
Quinone cofactors	28030	
Quorum sensing and biofilm formation	6197	
RNA processing and modification	165090	
Recombination related cluster	2818	
Regulation of virulence	15854	
Related to Menaquinone-cytochrome C reductase 	699	
Resistance to antibiotics and toxic compounds	181778	
Reverse electron transport	368	
Riboflavin, FMN, FAD	11904	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	9732	
Ribosome-related cluster	12846	
Sarcosine oxidase	2506	
Selenoproteins	28744	
Shiga toxin cluster	5361	
Siderophores	3123	
Signal transduction in Eukaryotes	15	
Social motility and nonflagellar swimming in bacteria	164	
Sodium Ion-Coupled Energetics	1685	
Spore DNA protection	16	
Sugar Phosphotransferase Systems, PTS	3304	
Sugar alcohols	43030	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	13765	
Tetrapyrroles	52008	
Three hypotheticals linked to lipoprotein biosynthesis	2811	
TldD cluster	7210	
Toxins and superantigens	1067	
Transcription	78204	
Translation	10176	
Transposable elements	9855	
Triacylglycerols	695	
Tricarboxylate transporter	1835	
Two related proteases	9777	
Uni- Sym- and Antiporters	3384	
alpha-proteobacterial cluster of hypotheticals	2594	
proteosome related	6589	
recX and regulatory cluster	3237	
tRNA sulfuration	4952	

