Taxon	
mgm4664858.3	
ABC transporters	45237	
ATP synthases	10130	
Acid stress	2269	
Adhesion	2005	
Alanine, serine, and glycine	49446	
Aminosugars	10664	
Anaerobic degradation of aromatic compounds	13562	
Arginine; urea cycle, polyamines	53335	
Aromatic amino acids and derivatives	43944	
Bacterial cytostatics, differentiation factors and antibiotics	1319	
Bacteriocins, ribosomally synthesized antibacterial peptides	476	
Biologically active compounds in metazoan cell defence and differentiation	5065	
Biosynthesis of galactoglycans and related lipopolysacharides	25929	
Biosynthesis of phenylpropanoids	996	
Biotin	25577	
Branched-chain amino acids	95183	
CO2 fixation	56522	
CRISPRs and associated hypotheticals	846	
CRISPs	1544	
Capsular and extracellular polysacchrides	58847	
Carbohydrates	4887	
Carotenoid biosynthesis	2725	
Catabolism of an unknown compound	1373	
Cell Division	21202	
Cell wall of Mycobacteria	19956	
Central carbohydrate metabolism	202862	
Chemotaxis, response regulators	398	
Choline bitartrate degradation, putative	3398	
Chromosome Replication	1840	
Clustering-based subsystems	23505	
Coenzyme A	11584	
Coenzyme B	33	
Coenzyme F420	3363	
Coenzyme M	628	
Cold shock	1398	
Cytochrome biogenesis	17419	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	2650	
DNA metabolism	208	
DNA polymerase III epsilon cluster	2819	
DNA recombination	5299	
DNA repair	93166	
DNA replication	86567	
DNA uptake, competence	4596	
Dessication stress	12	
Detection	14270	
Detoxification	9576	
Di- and oligosaccharides	67541	
Electron accepting reactions	37798	
Electron donating reactions	78022	
Electron transport and photophosphorylation	109	
Fatty acid metabolic cluster	41204	
Fatty acids	76024	
Fermentation	52252	
Flagella protein?	805	
Flagellar motility in Prokaryota	23327	
Folate and pterines	162123	
Gene Transfer Agent (GTA)	905	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	46022	
Glycoside hydrolases	2050	
Gram-Negative cell wall components	35634	
Gram-Positive cell wall components	7114	
Heat shock	24278	
Histidine Metabolism	18392	
Hypothetical Related to Dihydroorate Dehydrogenase	857	
Hypothetical associated with RecF	761	
Hypothetical in Lysine biosynthetic cluster	3696	
Hypothetical lipase related to Phosphatidate metabolism	2063	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	4803	
Inorganic sulfur assimilation	17087	
Invasion and intracellular resistance	280	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	10931	
Isoprenoids	32835	
Light-harvesting complexes	2	
Lipid-derived mediators	180	
Lipoic acid	3126	
Lysine Biosynthesis	977	
Lysine, threonine, methionine, and cysteine	121631	
Metabolism of central aromatic intermediates	27088	
Methylamine utilization	16724	
Molybdopterin oxidoreductase	4298	
Monosaccharides	80601	
NAD and NADP	21353	
Nucleotidyl-phosphate metabolic cluster	17527	
One-carbon Metabolism	98050	
Organic acids	44899	
Organic sulfur assimilation	16656	
Osmotic stress	18408	
Oxidative stress	47840	
Pathogenicity islands	12629	
Peripheral pathways for catabolism of aromatic compounds	45124	
Periplasmic Stress	3323	
Phages, Prophages	41572	
