Taxon	
mgm4637845.3	
ABC transporters	35442	
ATP synthases	11609	
Acid stress	2909	
Adhesion	2473	
Alanine, serine, and glycine	49684	
Aminosugars	12684	
Anaerobic degradation of aromatic compounds	15475	
Arginine; urea cycle, polyamines	58807	
Aromatic amino acids and derivatives	50533	
Bacterial cytostatics, differentiation factors and antibiotics	1793	
Bacteriocins, ribosomally synthesized antibacterial peptides	460	
Biologically active compounds in metazoan cell defence and differentiation	6541	
Biosynthesis of galactoglycans and related lipopolysacharides	28564	
Biosynthesis of phenylpropanoids	1183	
Biotin	31900	
Branched-chain amino acids	103739	
CO2 fixation	60595	
CRISPRs and associated hypotheticals	400	
CRISPs	805	
Capsular and extracellular polysacchrides	61426	
Carbohydrates	4768	
Carotenoid biosynthesis	4504	
Catabolism of an unknown compound	2047	
Cell Division	20967	
Cell wall of Mycobacteria	24593	
Central carbohydrate metabolism	219703	
Chemotaxis, response regulators	492	
Choline bitartrate degradation, putative	3696	
Chromosome Replication	2703	
Clustering-based subsystems	23459	
Coenzyme A	11687	
Coenzyme B	44	
Coenzyme F420	3570	
Coenzyme M	606	
Cold shock	1588	
Cytochrome biogenesis	17782	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	2315	
DNA metabolism	212	
DNA polymerase III epsilon cluster	3098	
DNA recombination	5135	
DNA repair	97083	
DNA replication	88161	
DNA uptake, competence	4716	
Dessication stress	7	
Detection	15877	
Detoxification	10344	
Di- and oligosaccharides	79114	
Electron accepting reactions	47956	
Electron donating reactions	90798	
Electron transport and photophosphorylation	206	
Fatty acid metabolic cluster	45717	
Fatty acids	89820	
Fermentation	65867	
Flagella protein?	1485	
Flagellar motility in Prokaryota	34810	
Folate and pterines	164367	
Gene Transfer Agent (GTA)	397	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	46971	
Glycoside hydrolases	1920	
Gram-Negative cell wall components	40499	
Gram-Positive cell wall components	6946	
Heat shock	26267	
Histidine Metabolism	20120	
Hypothetical Related to Dihydroorate Dehydrogenase	1160	
Hypothetical associated with RecF	799	
Hypothetical in Lysine biosynthetic cluster	4350	
Hypothetical lipase related to Phosphatidate metabolism	2499	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	5082	
Inorganic sulfur assimilation	20826	
Invasion and intracellular resistance	228	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	11776	
Isoprenoids	38300	
Light-harvesting complexes	19	
Lipid-derived mediators	228	
Lipoic acid	3074	
Lysine Biosynthesis	986	
Lysine, threonine, methionine, and cysteine	142591	
Metabolism of central aromatic intermediates	35829	
Methylamine utilization	16969	
Molybdopterin oxidoreductase	4904	
Monosaccharides	91794	
NAD and NADP	21113	
Nucleotidyl-phosphate metabolic cluster	15833	
One-carbon Metabolism	104926	
Organic acids	47314	
Organic sulfur assimilation	20975	
Osmotic stress	14432	
Oxidative stress	55899	
Pathogenicity islands	12574	
Peripheral pathways for catabolism of aromatic compounds	59372	
Periplasmic Stress	3565	
Phages, Prophages	40863	
Phosphate metabolism	5506	
Phospholipids	34996	
Plant Alkaloids	910	
Plant Hormones	12559	
Plant Octadecanoids	22	
Plant-Prokaryote DOE project	359970	
Plasmid related functions	776	
Polysaccharides	28891	
Probably GTP or GMP signaling related	8793	
Probably Pyrimidine biosynthesis-related	2341	
Probably Ybbk-related hypothetical membrane proteins	1623	
Probably organic hydroperoxide resistance related hypothetical protein	1454	
Programmed Cell Death and Toxin-antitoxin Systems	3160	
Proline and 4-hydroxyproline	16859	
Proteasome related clusters	46	
Protein and nucleoprotein secretion system, Type IV	8588	
Protein biosynthesis	193524	
Protein degradation	58393	
Protein export?	12148	
Protein folding	35634	
Protein processing and modification	56365	
Protein secretion system, Type I	229	
Protein secretion system, Type II	15659	
Protein secretion system, Type III	668	
Protein secretion system, Type V	210	
Protein secretion system, Type VI	13680	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	106	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	924	
Protein translocation across cytoplasmic membrane	18942	
Proteolytic pathway	406	
Purines	64985	
Putative GGDEF domain protein related to agglutinin secretion	194	
Putative Isoquinoline 1-oxidoreductase subunit	7358	
Putative asociate of RNA polymerase sigma-54 factor rpoN	14619	
Putrescine/GABA utilization cluster-temporal,to add to SSs	4618	
Pyridoxine	18219	
Pyrimidines	50830	
Pyruvate kinase associated cluster	3748	
Quinone cofactors	18179	
Quorum sensing and biofilm formation	4187	
RNA processing and modification	111540	
Recombination related cluster	1536	
Regulation of virulence	11225	
Related to Menaquinone-cytochrome C reductase 	329	
Resistance to antibiotics and toxic compounds	108715	
Reverse electron transport	87	
Riboflavin, FMN, FAD	8595	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	6839	
Ribosome-related cluster	8511	
Sarcosine oxidase	2459	
Selenoproteins	18326	
Shiga toxin cluster	3943	
Siderophores	2838	
Signal transduction in Eukaryotes	10	
Social motility and nonflagellar swimming in bacteria	112	
Sodium Ion-Coupled Energetics	751	
Spore DNA protection	35	
Sugar Phosphotransferase Systems, PTS	2222	
Sugar alcohols	29969	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	8414	
Tetrapyrroles	34850	
Three hypotheticals linked to lipoprotein biosynthesis	2200	
TldD cluster	4735	
Toxins and superantigens	442	
Transcription	53499	
Translation	7053	
