Taxon	
mgm4637838.3	
ABC transporters	10728	
ATP synthases	4195	
Acid stress	968	
Adhesion	1002	
Alanine, serine, and glycine	17144	
Aminosugars	4553	
Anaerobic degradation of aromatic compounds	5947	
Arginine; urea cycle, polyamines	19739	
Aromatic amino acids and derivatives	17886	
Bacterial cytostatics, differentiation factors and antibiotics	653	
Bacteriocins, ribosomally synthesized antibacterial peptides	117	
Biologically active compounds in metazoan cell defence and differentiation	2451	
Biosynthesis of galactoglycans and related lipopolysacharides	10669	
Biosynthesis of phenylpropanoids	401	
Biotin	11157	
Branched-chain amino acids	37276	
CO2 fixation	22017	
CRISPRs and associated hypotheticals	200	
CRISPs	415	
Capsular and extracellular polysacchrides	23424	
Carbohydrates	1740	
Carotenoid biosynthesis	1568	
Catabolism of an unknown compound	549	
Cell Division	7440	
Cell wall of Mycobacteria	9404	
Central carbohydrate metabolism	83172	
Chemotaxis, response regulators	146	
Choline bitartrate degradation, putative	1373	
Chromosome Replication	1371	
Clustering-based subsystems	8488	
Coenzyme A	4423	
Coenzyme B	15	
Coenzyme F420	1472	
Coenzyme M	203	
Cold shock	557	
Cytochrome biogenesis	6760	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	722	
DNA metabolism	47	
DNA polymerase III epsilon cluster	1012	
DNA recombination	1745	
DNA repair	33640	
DNA replication	30222	
DNA uptake, competence	1646	
Dessication stress	6	
Detection	5729	
Detoxification	2943	
Di- and oligosaccharides	30807	
Electron accepting reactions	18096	
Electron donating reactions	36936	
Electron transport and photophosphorylation	16	
Fatty acid metabolic cluster	16964	
Fatty acids	33260	
Fermentation	26678	
Flagella protein?	496	
Flagellar motility in Prokaryota	12598	
Folate and pterines	58178	
Gene Transfer Agent (GTA)	80	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	17481	
Glycoside hydrolases	733	
Gram-Negative cell wall components	15995	
Gram-Positive cell wall components	2727	
Heat shock	8858	
Histidine Metabolism	7163	
Hypothetical Related to Dihydroorate Dehydrogenase	468	
Hypothetical associated with RecF	232	
Hypothetical in Lysine biosynthetic cluster	1374	
Hypothetical lipase related to Phosphatidate metabolism	854	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	1759	
Inorganic sulfur assimilation	6516	
Invasion and intracellular resistance	87	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	4291	
Isoprenoids	13380	
Light-harvesting complexes	1	
Lipid-derived mediators	54	
Lipoic acid	1001	
Lysine Biosynthesis	306	
Lysine, threonine, methionine, and cysteine	51218	
Metabolism of central aromatic intermediates	12432	
Methylamine utilization	5903	
Molybdopterin oxidoreductase	2137	
Monosaccharides	33529	
NAD and NADP	7175	
Nucleotidyl-phosphate metabolic cluster	6309	
One-carbon Metabolism	38128	
Organic acids	17552	
Organic sulfur assimilation	6725	
Osmotic stress	4824	
Oxidative stress	18451	
Pathogenicity islands	4173	
Peripheral pathways for catabolism of aromatic compounds	20988	
Periplasmic Stress	1436	
Phages, Prophages	16208	
Phosphate metabolism	2098	
Phospholipids	12655	
Plant Alkaloids	371	
Plant Hormones	4770	
Plant Octadecanoids	12	
Plant-Prokaryote DOE project	126957	
Plasmid related functions	211	
Polysaccharides	12716	
Probably GTP or GMP signaling related	3247	
Probably Pyrimidine biosynthesis-related	835	
Probably Ybbk-related hypothetical membrane proteins	536	
Probably organic hydroperoxide resistance related hypothetical protein	397	
Programmed Cell Death and Toxin-antitoxin Systems	1600	
Proline and 4-hydroxyproline	5717	
Proteasome related clusters	66	
Protein and nucleoprotein secretion system, Type IV	2935	
Protein biosynthesis	66082	
Protein degradation	21394	
Protein export?	4274	
Protein folding	12577	
Protein processing and modification	21096	
Protein secretion system, Type I	38	
Protein secretion system, Type II	5953	
Protein secretion system, Type III	194	
Protein secretion system, Type V	74	
Protein secretion system, Type VI	5174	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	35	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	373	
Protein translocation across cytoplasmic membrane	6539	
Proteolytic pathway	248	
Purines	22982	
Putative GGDEF domain protein related to agglutinin secretion	46	
Putative Isoquinoline 1-oxidoreductase subunit	3112	
Putative asociate of RNA polymerase sigma-54 factor rpoN	5086	
Putrescine/GABA utilization cluster-temporal,to add to SSs	1257	
Pyridoxine	6014	
Pyrimidines	18532	
Pyruvate kinase associated cluster	1183	
Quinone cofactors	6676	
Quorum sensing and biofilm formation	1330	
RNA processing and modification	39526	
Recombination related cluster	642	
Regulation of virulence	3947	
Related to Menaquinone-cytochrome C reductase 	150	
Resistance to antibiotics and toxic compounds	43509	
Reverse electron transport	60	
Riboflavin, FMN, FAD	2940	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	2408	
Ribosome-related cluster	3057	
Sarcosine oxidase	637	
Selenoproteins	7168	
Shiga toxin cluster	1325	
Siderophores	865	
Signal transduction in Eukaryotes	2	
Social motility and nonflagellar swimming in bacteria	54	
