Taxon	
mgm4637843.3	
ABC transporters	38333	
ATP synthases	12100	
Acid stress	2754	
Adhesion	2636	
Alanine, serine, and glycine	48893	
Aminosugars	11029	
Anaerobic degradation of aromatic compounds	15686	
Arginine; urea cycle, polyamines	58693	
Aromatic amino acids and derivatives	50867	
Bacterial cytostatics, differentiation factors and antibiotics	1615	
Bacteriocins, ribosomally synthesized antibacterial peptides	485	
Biologically active compounds in metazoan cell defence and differentiation	7382	
Biosynthesis of galactoglycans and related lipopolysacharides	28038	
Biosynthesis of phenylpropanoids	1178	
Biotin	31507	
Branched-chain amino acids	103357	
CO2 fixation	61368	
CRISPRs and associated hypotheticals	432	
CRISPs	913	
Capsular and extracellular polysacchrides	63180	
Carbohydrates	4725	
Carotenoid biosynthesis	4907	
Catabolism of an unknown compound	1495	
Cell Division	20876	
Cell wall of Mycobacteria	24859	
Central carbohydrate metabolism	222252	
Chemotaxis, response regulators	443	
Choline bitartrate degradation, putative	3809	
Chromosome Replication	2965	
Clustering-based subsystems	23234	
Coenzyme A	11625	
Coenzyme B	39	
Coenzyme F420	3658	
Coenzyme M	609	
Cold shock	1550	
Cytochrome biogenesis	17549	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	2018	
DNA metabolism	157	
DNA polymerase III epsilon cluster	2933	
DNA recombination	5083	
DNA repair	94974	
DNA replication	84656	
DNA uptake, competence	4569	
Dessication stress	4	
Detection	15284	
Detoxification	9838	
Di- and oligosaccharides	75713	
Electron accepting reactions	48661	
Electron donating reactions	94851	
Electron transport and photophosphorylation	61	
Fatty acid metabolic cluster	46247	
Fatty acids	90829	
Fermentation	67974	
Flagella protein?	1595	
Flagellar motility in Prokaryota	35056	
Folate and pterines	164250	
Gene Transfer Agent (GTA)	270	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	47992	
Glycoside hydrolases	1976	
Gram-Negative cell wall components	44026	
Gram-Positive cell wall components	7048	
Heat shock	25604	
Histidine Metabolism	19717	
Hypothetical Related to Dihydroorate Dehydrogenase	1311	
Hypothetical associated with RecF	750	
Hypothetical in Lysine biosynthetic cluster	4043	
Hypothetical lipase related to Phosphatidate metabolism	2253	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	5048	
Inorganic sulfur assimilation	19383	
Invasion and intracellular resistance	256	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	11603	
Isoprenoids	37108	
Light-harvesting complexes	5	
Lipid-derived mediators	217	
Lipoic acid	2825	
Lysine Biosynthesis	1051	
Lysine, threonine, methionine, and cysteine	139561	
Metabolism of central aromatic intermediates	39351	
Methylamine utilization	17570	
Molybdopterin oxidoreductase	5046	
Monosaccharides	88235	
NAD and NADP	20956	
Nucleotidyl-phosphate metabolic cluster	18892	
One-carbon Metabolism	107005	
Organic acids	50062	
Organic sulfur assimilation	23116	
Osmotic stress	14781	
Oxidative stress	56210	
Pathogenicity islands	12871	
Peripheral pathways for catabolism of aromatic compounds	61240	
Periplasmic Stress	3955	
Phages, Prophages	42652	
Phosphate metabolism	5458	
Phospholipids	34244	
Plant Alkaloids	896	
Plant Hormones	13088	
Plant Octadecanoids	33	
Plant-Prokaryote DOE project	362366	
Plasmid related functions	790	
Polysaccharides	28484	
Probably GTP or GMP signaling related	8908	
Probably Pyrimidine biosynthesis-related	2396	
Probably Ybbk-related hypothetical membrane proteins	1790	
Probably organic hydroperoxide resistance related hypothetical protein	1304	
Programmed Cell Death and Toxin-antitoxin Systems	3899	
Proline and 4-hydroxyproline	16601	
Proteasome related clusters	81	
Protein and nucleoprotein secretion system, Type IV	8939	
Protein biosynthesis	191544	
Protein degradation	58205	
Protein export?	11645	
Protein folding	35417	
Protein processing and modification	58018	
Protein secretion system, Type I	143	
Protein secretion system, Type II	17596	
Protein secretion system, Type III	640	
Protein secretion system, Type V	176	
Protein secretion system, Type VI	13080	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	89	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	915	
Protein translocation across cytoplasmic membrane	18617	
Proteolytic pathway	487	
Purines	64605	
Putative GGDEF domain protein related to agglutinin secretion	151	
Putative Isoquinoline 1-oxidoreductase subunit	9970	
Putative asociate of RNA polymerase sigma-54 factor rpoN	13498	
Putrescine/GABA utilization cluster-temporal,to add to SSs	4582	
Pyridoxine	18691	
Pyrimidines	51111	
Pyruvate kinase associated cluster	3898	
Quinone cofactors	18964	
Quorum sensing and biofilm formation	3872	
RNA processing and modification	110886	
Recombination related cluster	1530	
Regulation of virulence	10799	
Related to Menaquinone-cytochrome C reductase 	369	
Resistance to antibiotics and toxic compounds	116918	
Reverse electron transport	86	
Riboflavin, FMN, FAD	8312	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	6699	
Ribosome-related cluster	8473	
Sarcosine oxidase	2597	
Selenoproteins	17877	
Shiga toxin cluster	3932	
Siderophores	2644	
Signal transduction in Eukaryotes	5	
