Subsystems.level3	mgm4637827.3
2-Ketogluconate_Utilization;Carbohydrates;Monosaccharides;2-Ketogluconate_Utilization	25
2-isocapryloyl-3R-hydroxymethyl-gamma-butyrolactone_and_other_bacterial_morphogens;Secondary Metabolism;Bacterial cytostatics, differentiation factors and antibiotics;2-isocapryloyl-3R-hydroxymethyl-gamma-butyrolactone_and_other_bacterial_morphogens	2
5-FCL-like_protein;Cofactors, Vitamins, Prosthetic Groups, Pigments;Folate and pterines;5-FCL-like_protein	9901
ATP-dependent_RNA_helicases,_bacterial;RNA Metabolism;RNA processing and modification;ATP-dependent_RNA_helicases,_bacterial	1
A_Gammaproteobacteria_Cluster_Relating_to_Translation;Clustering-based subsystems;Ribosome-related cluster;A_Gammaproteobacteria_Cluster_Relating_to_Translation	1832
Acetophenone_carboxylase_1;Metabolism of Aromatic Compounds;Anaerobic degradation of aromatic compounds;Acetophenone_carboxylase_1	18
Acid_resistance_mechanisms;Stress Response;Acid stress;Acid_resistance_mechanisms	391
Adhesins_in_Staphylococcus;Virulence, Disease and Defense;Adhesion;Adhesins_in_Staphylococcus	2
Agrobacterium_opine_transport;Membrane Transport;-;Agrobacterium_opine_transport	6
Alcaligin_Siderophore;Iron acquisition and metabolism;Siderophores;Alcaligin_Siderophore	2
Alkylphosphonate_utilization;Phosphorus Metabolism;-;Alkylphosphonate_utilization	55
Allantoin_Utilization;Nitrogen Metabolism;-;Allantoin_Utilization	398
Ammonia_assimilation;Nitrogen Metabolism;-;Ammonia_assimilation	10498
Anaerobic_Oxidative_Degradation_of_L-Ornithine;Amino Acids and Derivatives;Arginine; urea cycle, polyamines;Anaerobic_Oxidative_Degradation_of_L-Ornithine	10
Anaerobic_benzoate_metabolism;Metabolism of Aromatic Compounds;Anaerobic degradation of aromatic compounds;Anaerobic_benzoate_metabolism	1599
Anaerobic_respiratory_reductases;Respiration;Electron accepting reactions;Anaerobic_respiratory_reductases	74
Anaerobic_toluene_and_ethylbenzene_degradation;Metabolism of Aromatic Compounds;Anaerobic degradation of aromatic compounds;Anaerobic_toluene_and_ethylbenzene_degradation	18
Arginine_and_Ornithine_Degradation;Amino Acids and Derivatives;Arginine; urea cycle, polyamines;Arginine_and_Ornithine_Degradation	453
Aromatic_amino_acid_degradation;Amino Acids and Derivatives;Aromatic amino acids and derivatives;Aromatic_amino_acid_degradation	2
At1g10830;Miscellaneous;Plant-Prokaryote DOE project;At1g10830	1
At1g54520;Miscellaneous;Plant-Prokaryote DOE project;At1g54520	5
At1g69340_At2g40600;Miscellaneous;Plant-Prokaryote DOE project;At1g69340_At2g40600	1
At2g23840;Miscellaneous;Plant-Prokaryote DOE project;At2g23840	1832
At4g17370;Miscellaneous;Plant-Prokaryote DOE project;At4g17370	3
At5g37530;Miscellaneous;Plant-Prokaryote DOE project;At5g37530	1
Autoinducer_2_(AI-2)_transport_and_processing_(lsrACDBFGE_operon);Regulation and Cell signaling;Quorum sensing and biofilm formation;Autoinducer_2_(AI-2)_transport_and_processing_(lsrACDBFGE_operon)	9
Auxin_degradation;Secondary Metabolism;Plant Hormones;Auxin_degradation	1891
Bacterial_Cell_Division;Clustering-based subsystems;-;Bacterial_Cell_Division	6756
Bacterial_Chemotaxis;Motility and Chemotaxis;-;Bacterial_Chemotaxis	2
Bacterial_cyanide_production_and_tolerance_mechanisms;Virulence, Disease and Defense;-;Bacterial_cyanide_production_and_tolerance_mechanisms	9
Benzoate_transport_and_degradation_cluster;Metabolism of Aromatic Compounds;-;Benzoate_transport_and_degradation_cluster	33
Beta-Glucoside_Metabolism;Carbohydrates;Di- and oligosaccharides;Beta-Glucoside_Metabolism	3
Beta-lactamase;Virulence, Disease and Defense;Resistance to antibiotics and toxic compounds;Beta-lactamase	1
Beta-lactamase_cluster_in_Streptococcus;Clustering-based subsystems;Carbohydrates;Beta-lactamase_cluster_in_Streptococcus	105
Betaine_biosynthesis_from_glycine;Stress Response;Osmotic stress;Betaine_biosynthesis_from_glycine	1
Bilin_Biosynthesis;Cofactors, Vitamins, Prosthetic Groups, Pigments;Tetrapyrroles;Bilin_Biosynthesis	1
Biogenesis_of_cbb3-type_cytochrome_c_oxidases;Respiration;-;Biogenesis_of_cbb3-type_cytochrome_c_oxidases	27
Biotin_biosynthesis;Cofactors, Vitamins, Prosthetic Groups, Pigments;Biotin;Biotin_biosynthesis	545
Biotin_biosynthesis_Experimental;Miscellaneous;Plant-Prokaryote DOE project;Biotin_biosynthesis_Experimental	545
BlaR1_Family_Regulatory_Sensor-transducer_Disambiguation;Virulence, Disease and Defense;Resistance to antibiotics and toxic compounds;BlaR1_Family_Regulatory_Sensor-transducer_Disambiguation	1
Branched-Chain_Amino_Acid_Biosynthesis;Amino Acids and Derivatives;Branched-chain amino acids;Branched-Chain_Amino_Acid_Biosynthesis	1557
Branched_chain_amino_acid_degradation_regulons;Amino Acids and Derivatives;Branched-chain amino acids;Branched_chain_amino_acid_degradation_regulons	2737
Butanol_Biosynthesis;Carbohydrates;Fermentation;Butanol_Biosynthesis	105
CBSS-176299.4.peg.1996B;Clustering-based subsystems;-;CBSS-176299.4.peg.1996B	2501
CBSS-196164.1.peg.1690;Clustering-based subsystems;Cytochrome biogenesis;CBSS-196164.1.peg.1690	2612
CBSS-257314.1.peg.676;Clustering-based subsystems;Two related proteases;CBSS-257314.1.peg.676	2301
CBSS-262316.1.peg.2929;Clustering-based subsystems;Catabolism of an unknown compound;CBSS-262316.1.peg.2929	627
CBSS-288000.5.peg.1793;Clustering-based subsystems;Pyruvate kinase associated cluster;CBSS-288000.5.peg.1793	28
CBSS-288681.3.peg.1039;Clustering-based subsystems;-;CBSS-288681.3.peg.1039	1
CBSS-316273.3.peg.2378;Clustering-based subsystems;-;CBSS-316273.3.peg.2378	19
CBSS-342610.3.peg.1794;Clustering-based subsystems;-;CBSS-342610.3.peg.1794	1111
CBSS-393121.3.peg.2760;Clustering-based subsystems;Protein export?;CBSS-393121.3.peg.2760	1
CBSS-393130.3.peg.129;Clustering-based subsystems;Related to Menaquinone-cytochrome C reductase ;CBSS-393130.3.peg.129	323
CBSS-56780.10.peg.1536;Clustering-based subsystems;-;CBSS-56780.10.peg.1536	210
CBSS-83332.1.peg.3803;Clustering-based subsystems;-;CBSS-83332.1.peg.3803	2894
CO2_uptake,_carboxysome;Carbohydrates;CO2 fixation;CO2_uptake,_carboxysome	109
COG2078;Miscellaneous;Plant-Prokaryote DOE project;COG2078	321
COG2363;Miscellaneous;Plant-Prokaryote DOE project;COG2363	1554
COG3533;Miscellaneous;Plant-Prokaryote DOE project;COG3533	562
Calvin-Benson_cycle;Carbohydrates;CO2 fixation;Calvin-Benson_cycle	149
Carbon_Starvation;Stress Response;-;Carbon_Starvation	46
Carboxysome;Carbohydrates;CO2 fixation;Carboxysome	108
Catechol_branch_of_beta-ketoadipate_pathway;Metabolism of Aromatic Compounds;Metabolism of central aromatic intermediates;Catechol_branch_of_beta-ketoadipate_pathway	311
Cell_division-ribosomal_stress_proteins_cluster;Clustering-based subsystems;-;Cell_division-ribosomal_stress_proteins_cluster	9232
Chitin_and_N-acetylglucosamine_utilization;Carbohydrates;Aminosugars;Chitin_and_N-acetylglucosamine_utilization	1
Chlorophyll_Biosynthesis;Cofactors, Vitamins, Prosthetic Groups, Pigments;Tetrapyrroles;Chlorophyll_Biosynthesis	29
Cholesterol_catabolic_operon_in_Mycobacteria;Fatty Acids, Lipids, and Isoprenoids;-;Cholesterol_catabolic_operon_in_Mycobacteria	50
Chorismate_Synthesis;Amino Acids and Derivatives;Aromatic amino acids and derivatives;Chorismate_Synthesis	877
Citrate_Utilization_System_(CitAB,_CitH,_and_tctABC);Membrane Transport;-;Citrate_Utilization_System_(CitAB,_CitH,_and_tctABC)	265
