Subsystems.level3	mgm4637816.3
2-Ketogluconate_Utilization;Carbohydrates;Monosaccharides;2-Ketogluconate_Utilization	4
5-FCL-like_protein;Cofactors, Vitamins, Prosthetic Groups, Pigments;Folate and pterines;5-FCL-like_protein	13076
ABC_transporter_[iron.B12.siderophore.hemin];Iron acquisition and metabolism;-;ABC_transporter_[iron.B12.siderophore.hemin]	13
ATP-dependent_RNA_helicases,_bacterial;RNA Metabolism;RNA processing and modification;ATP-dependent_RNA_helicases,_bacterial	289
Acetone_Butanol_Ethanol_Synthesis;Carbohydrates;Fermentation;Acetone_Butanol_Ethanol_Synthesis	149
Acetyl-CoA_fermentation_to_Butyrate;Carbohydrates;Fermentation;Acetyl-CoA_fermentation_to_Butyrate	71
Acyclic_terpenes_utilization;Fatty Acids, Lipids, and Isoprenoids;Isoprenoids;Acyclic_terpenes_utilization	83
Acyl-CoA_thioesterase_II;Fatty Acids, Lipids, and Isoprenoids;Fatty acids;Acyl-CoA_thioesterase_II	32
Agrobacterium_opine_transport;Membrane Transport;-;Agrobacterium_opine_transport	2
Alkylphosphonate_utilization;Phosphorus Metabolism;-;Alkylphosphonate_utilization	277
Allantoin_Utilization;Nitrogen Metabolism;-;Allantoin_Utilization	567
Ammonia_assimilation;Nitrogen Metabolism;-;Ammonia_assimilation	13409
Anaerobic_respiratory_reductases;Respiration;Electron accepting reactions;Anaerobic_respiratory_reductases	41
Arginine_and_Ornithine_Degradation;Amino Acids and Derivatives;Arginine; urea cycle, polyamines;Arginine_and_Ornithine_Degradation	4
Aromatic_amino_acid_interconversions_with_aryl_acids;Amino Acids and Derivatives;Aromatic amino acids and derivatives;Aromatic_amino_acid_interconversions_with_aryl_acids	376
Arsenic_resistance;Virulence, Disease and Defense;Resistance to antibiotics and toxic compounds;Arsenic_resistance	149
At1g54520;Miscellaneous;Plant-Prokaryote DOE project;At1g54520	16
At4g10620_At3g57180_At3g47450;Miscellaneous;Plant-Prokaryote DOE project;At4g10620_At3g57180_At3g47450	1
At5g11840_At5g67370;Miscellaneous;Plant-Prokaryote DOE project;At5g11840_At5g67370	1
Autoinducer_2_(AI-2)_transport_and_processing_(lsrACDBFGE_operon);Regulation and Cell signaling;Quorum sensing and biofilm formation;Autoinducer_2_(AI-2)_transport_and_processing_(lsrACDBFGE_operon)	7
Auxin_biosynthesis;Secondary Metabolism;Plant Hormones;Auxin_biosynthesis	3090
Auxin_degradation;Secondary Metabolism;Plant Hormones;Auxin_degradation	2432
Bacterial_Cell_Division;Clustering-based subsystems;-;Bacterial_Cell_Division	13986
Bacterial_Cytoskeleton;Cell Division and Cell Cycle;-;Bacterial_Cytoskeleton	5534
Benzoate_degradation;Metabolism of Aromatic Compounds;Peripheral pathways for catabolism of aromatic compounds;Benzoate_degradation	7
Benzoate_transport_and_degradation_cluster;Metabolism of Aromatic Compounds;-;Benzoate_transport_and_degradation_cluster	802
Beta-lactamase_cluster_in_Streptococcus;Clustering-based subsystems;Carbohydrates;Beta-lactamase_cluster_in_Streptococcus	119
Bilin_Biosynthesis;Cofactors, Vitamins, Prosthetic Groups, Pigments;Tetrapyrroles;Bilin_Biosynthesis	1
Biogenesis_of_cbb3-type_cytochrome_c_oxidases;Respiration;-;Biogenesis_of_cbb3-type_cytochrome_c_oxidases	86
Biogenesis_of_cytochrome_c_oxidases;Respiration;-;Biogenesis_of_cytochrome_c_oxidases	161
Branched-Chain_Amino_Acid_Biosynthesis;Amino Acids and Derivatives;Branched-chain amino acids;Branched-Chain_Amino_Acid_Biosynthesis	5769
Branched_chain_amino_acid_degradation_regulons;Amino Acids and Derivatives;Branched-chain amino acids;Branched_chain_amino_acid_degradation_regulons	5568
Butanol_Biosynthesis;Carbohydrates;Fermentation;Butanol_Biosynthesis	119
CBSS-176299.4.peg.1996B;Clustering-based subsystems;-;CBSS-176299.4.peg.1996B	2784
CBSS-196164.1.peg.1690;Clustering-based subsystems;Cytochrome biogenesis;CBSS-196164.1.peg.1690	3191
CBSS-211586.1.peg.3133;Clustering-based subsystems;-;CBSS-211586.1.peg.3133	1
CBSS-214092.1.peg.3450;Clustering-based subsystems;-;CBSS-214092.1.peg.3450	1
CBSS-235.1.peg.567;Clustering-based subsystems;-;CBSS-235.1.peg.567	1
CBSS-257314.1.peg.676;Clustering-based subsystems;Two related proteases;CBSS-257314.1.peg.676	3005
CBSS-261594.1.peg.788;Clustering-based subsystems;recX and regulatory cluster;CBSS-261594.1.peg.788	8
CBSS-265072.7.peg.546;Clustering-based subsystems;Methylamine utilization;CBSS-265072.7.peg.546	10
CBSS-288000.5.peg.1793;Clustering-based subsystems;Pyruvate kinase associated cluster;CBSS-288000.5.peg.1793	67
CBSS-316273.3.peg.2378;Clustering-based subsystems;-;CBSS-316273.3.peg.2378	79
CBSS-316279.3.peg.746;Clustering-based subsystems;-;CBSS-316279.3.peg.746	1
CBSS-323097.3.peg.2594;Clustering-based subsystems;-;CBSS-323097.3.peg.2594	1
CBSS-326442.4.peg.1852;Clustering-based subsystems;Translation;CBSS-326442.4.peg.1852	3
CBSS-342610.3.peg.1794;Clustering-based subsystems;-;CBSS-342610.3.peg.1794	1451
CBSS-344610.3.peg.2335;Clustering-based subsystems;Choline bitartrate degradation, putative;CBSS-344610.3.peg.2335	780
CBSS-393121.3.peg.2760;Clustering-based subsystems;Protein export?;CBSS-393121.3.peg.2760	1
CBSS-393130.3.peg.129;Clustering-based subsystems;Related to Menaquinone-cytochrome C reductase ;CBSS-393130.3.peg.129	1
CBSS-52598.3.peg.2843;Clustering-based subsystems;alpha-proteobacterial cluster of hypotheticals;CBSS-52598.3.peg.2843	291
CBSS-56780.10.peg.1536;Clustering-based subsystems;-;CBSS-56780.10.peg.1536	260
CBSS-83332.1.peg.3803;Clustering-based subsystems;-;CBSS-83332.1.peg.3803	3448
CO2_uptake,_carboxysome;Carbohydrates;CO2 fixation;CO2_uptake,_carboxysome	218
COG0523;Miscellaneous;Plant-Prokaryote DOE project;COG0523	1411
COG1836;Miscellaneous;Plant-Prokaryote DOE project;COG1836	11
COG2302;Miscellaneous;Plant-Prokaryote DOE project;COG2302	2729
COG2363;Miscellaneous;Plant-Prokaryote DOE project;COG2363	2209
COG3533;Miscellaneous;Plant-Prokaryote DOE project;COG3533	708
CTP_synthase_(EC_6.3.4.2)_cluster;Clustering-based subsystems;-;CTP_synthase_(EC_6.3.4.2)_cluster	4039
Calvin-Benson_cycle;Carbohydrates;CO2 fixation;Calvin-Benson_cycle	574
Carbon_monoxide_dehydrogenase_maturation_factors;Respiration;-;Carbon_monoxide_dehydrogenase_maturation_factors	1
Carboxysome;Carbohydrates;CO2 fixation;Carboxysome	214
Catechol_branch_of_beta-ketoadipate_pathway;Metabolism of Aromatic Compounds;Metabolism of central aromatic intermediates;Catechol_branch_of_beta-ketoadipate_pathway	866
Cell_Division_Cluster;Clustering-based subsystems;Cell Division;Cell_Division_Cluster	2729
Cell_division-ribosomal_stress_proteins_cluster;Clustering-based subsystems;-;Cell_division-ribosomal_stress_proteins_cluster	11635
Central_meta-cleavage_pathway_of_aromatic_compound_degradation;Metabolism of Aromatic Compounds;Metabolism of central aromatic intermediates;Central_meta-cleavage_pathway_of_aromatic_compound_degradation	261
Chlorophyll_Biosynthesis;Cofactors, Vitamins, Prosthetic Groups, Pigments;Tetrapyrroles;Chlorophyll_Biosynthesis	89
Cholesterol_catabolic_operon_in_Mycobacteria;Fatty Acids, Lipids, and Isoprenoids;-;Cholesterol_catabolic_operon_in_Mycobacteria	33
Choline_Transport;Membrane Transport;-;Choline_Transport	20
Choline_and_Betaine_Uptake_and_Betaine_Biosynthesis;Stress Response;Osmotic stress;Choline_and_Betaine_Uptake_and_Betaine_Biosynthesis	1
Chorismate:_Intermediate_for_synthesis_of_Tryptophan,_PAPA_antibiotics,_PABA,_3-hydroxyanthranilate_and_more.;Amino Acids and Derivatives;Aromatic amino acids and derivatives;Chorismate:_Intermediate_for_synthesis_of_Tryptophan,_PAPA_antibiotics,_PABA,_3-hydroxyanthranilate_and_more.	4275
Chorismate_Synthesis;Amino Acids and Derivatives;Aromatic amino acids and derivatives;Chorismate_Synthesis	1246
Citrate_Utilization_System_(CitAB,_CitH,_and_tctABC);Membrane Transport;-;Citrate_Utilization_System_(CitAB,_CitH,_and_tctABC)	301
Clavulanic_acid_biosynthesis;Secondary Metabolism;Bacterial cytostatics, differentiation factors and antibiotics;Clavulanic_acid_biosynthesis	2
ClpAS_cluster;Clustering-based subsystems;-;ClpAS_cluster	2784
ClpS__and_metallo-protease_cluster_in_Cyanos_;Clustering-based subsystems;-;ClpS__and_metallo-protease_cluster_in_Cyanos_	1
Cluster-based_Subsystem_Grouping_Hypotheticals_-_perhaps_Proteosome_Related;Clustering-based subsystems;proteosome related;Cluster-based_Subsystem_Grouping_Hypotheticals_-_perhaps_Proteosome_Related	2006
Cluster_containing_CofD-like_protein_and_co-occuring_with_DNA_repair;Clustering-based subsystems;-;Cluster_containing_CofD-like_protein_and_co-occuring_with_DNA_repair	237
Coenzyme_A_Biosynthesis;Cofactors, Vitamins, Prosthetic Groups, Pigments;Coenzyme A;Coenzyme_A_Biosynthesis	2235
Coenzyme_B12_biosynthesis;Cofactors, Vitamins, Prosthetic Groups, Pigments;Tetrapyrroles;Coenzyme_B12_biosynthesis	2084
Coenzyme_F420-H2_dehydrogenase_(methanophenazine);Respiration;Electron donating reactions;Coenzyme_F420-H2_dehydrogenase_(methanophenazine)	3
Colanic_acid_biosynthesis;Cell Wall and Capsule;Capsular and extracellular polysacchrides;Colanic_acid_biosynthesis	1
Cold_shock,_CspA_family_of_proteins;Stress Response;Cold shock;Cold_shock,_CspA_family_of_proteins	92
Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate);Amino Acids and Derivatives;Aromatic amino acids and derivatives;Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate)	1246
Competence_or_DNA_damage-inducible_protein_CinA_and_related_protein_families;Miscellaneous;Plant-Prokaryote DOE project;Competence_or_DNA_damage-inducible_protein_CinA_and_related_protein_families	3005
Conjugative_transfer;Membrane Transport;Protein and nucleoprotein secretion system, Type IV;Conjugative_transfer	13
Conjugative_transfer_related_cluster;Clustering-based subsystems;-;Conjugative_transfer_related_cluster	12
Conserved_gene_cluster_possibly_involved_in_RNA_metabolism;Miscellaneous;Plant-Prokaryote DOE project;Conserved_gene_cluster_possibly_involved_in_RNA_metabolism	1
Creatine_and_Creatinine_Degradation;Amino Acids and Derivatives;-;Creatine_and_Creatinine_Degradation	2
Cyanate_hydrolysis;Nitrogen Metabolism;-;Cyanate_hydrolysis	344
Cyanobacterial_Circadian_Clock;Cell Division and Cell Cycle;-;Cyanobacterial_Circadian_Clock	2
Cysteine_Biosynthesis;Amino Acids and Derivatives;Lysine, threonine, methionine, and cysteine;Cysteine_Biosynthesis	3282
Cytochrome_B6-F_complex;Respiration;-;Cytochrome_B6-F_complex	15
D-Galacturonate_and_D-Glucuronate_Utilization;Carbohydrates;Monosaccharides;D-Galacturonate_and_D-Glucuronate_Utilization	114
D-allose_utilization;Carbohydrates;Monosaccharides;D-allose_utilization	2
D-galactarate,_D-glucarate_and_D-glycerate_catabolism;Carbohydrates;Monosaccharides;D-galactarate,_D-glucarate_and_D-glycerate_catabolism	555
DNA-replication;DNA Metabolism;DNA replication;DNA-replication	3005
DNA_repair,_UvrABC_system;DNA Metabolism;DNA repair;DNA_repair,_UvrABC_system	17191
DNA_repair,_bacterial;DNA Metabolism;DNA repair;DNA_repair,_bacterial	3005
DNA_repair,_bacterial_RecBCD_pathway;DNA Metabolism;DNA repair;DNA_repair,_bacterial_RecBCD_pathway	113
DNA_repair,_bacterial_RecFOR_pathway;DNA Metabolism;DNA repair;DNA_repair,_bacterial_RecFOR_pathway	3005
DNA_repair,_bacterial_UmuCD_system;DNA Metabolism;DNA repair;DNA_repair,_bacterial_UmuCD_system	3005
DNA_repair_and_recombination_eukaryotic;DNA Metabolism;DNA repair;DNA_repair_and_recombination_eukaryotic	1
DNA_structural_proteins,_bacterial;DNA Metabolism;-;DNA_structural_proteins,_bacterial	27
DNA_topoisomerases,_Type_II,_ATP-dependent;DNA Metabolism;DNA replication;DNA_topoisomerases,_Type_II,_ATP-dependent	1451
DedA_family_of_inner_membrane_proteins;Miscellaneous;-;DedA_family_of_inner_membrane_proteins	10
Dehydrogenase_complexes;Carbohydrates;Central carbohydrate metabolism;Dehydrogenase_complexes	4289
Denitrification;Nitrogen Metabolism;-;Denitrification	101
Deoxyribose_and_Deoxynucleoside_Catabolism;Carbohydrates;Monosaccharides;Deoxyribose_and_Deoxynucleoside_Catabolism	11
Dissimilatory_nitrite_reductase;Nitrogen Metabolism;-;Dissimilatory_nitrite_reductase	1
Dot-Icm_type_IV_secretion_system;Membrane Transport;Protein and nucleoprotein secretion system, Type IV;Dot-Icm_type_IV_secretion_system	5
ECF_class_transporters;Membrane Transport;-;ECF_class_transporters	6
ESAT-6_proteins_secretion_system_in_Actinobacteria;Membrane Transport;Protein translocation across cytoplasmic membrane;ESAT-6_proteins_secretion_system_in_Actinobacteria	35
Entner-Doudoroff_Pathway;Carbohydrates;Central carbohydrate metabolism;Entner-Doudoroff_Pathway	284
Erythritol_utilization;Carbohydrates;Sugar alcohols;Erythritol_utilization	75
Ethylmalonyl-CoA_pathway_of_C2_assimilation;Carbohydrates;Central carbohydrate metabolism;Ethylmalonyl-CoA_pathway_of_C2_assimilation	2591
Experimental-COG2515;Miscellaneous;Plant-Prokaryote DOE project;Experimental-COG2515	375
Experimental_-_Histidine_Degradation;Miscellaneous;Plant-Prokaryote DOE project;Experimental_-_Histidine_Degradation	7335
F0F1-type_ATP_synthase;Respiration;ATP synthases;F0F1-type_ATP_synthase	7334
Fatty_Acid_Biosynthesis_FASI;Fatty Acids, Lipids, and Isoprenoids;Fatty acids;Fatty_Acid_Biosynthesis_FASI	122
Fatty_Acid_Biosynthesis_FASII;Fatty Acids, Lipids, and Isoprenoids;Fatty acids;Fatty_Acid_Biosynthesis_FASII	381
Fatty_acid_metabolism_cluster;Fatty Acids, Lipids, and Isoprenoids;Fatty acids;Fatty_acid_metabolism_cluster	2
Fermentations:_Lactate;Carbohydrates;Fermentation;Fermentations:_Lactate	4589
Fermentations:_Mixed_acid;Carbohydrates;Fermentation;Fermentations:_Mixed_acid	119
Flagellum;Motility and Chemotaxis;Flagellar motility in Prokaryota;Flagellum	5105
Flavanone_biosynthesis;Secondary Metabolism;Biosynthesis of phenylpropanoids;Flavanone_biosynthesis	1
Folate_Biosynthesis;Cofactors, Vitamins, Prosthetic Groups, Pigments;Folate and pterines;Folate_Biosynthesis	693
Formate_dehydrogenase;Respiration;Electron donating reactions;Formate_dehydrogenase	2
Formate_hydrogenase;Respiration;-;Formate_hydrogenase	397
G3E_family_of_P-loop_GTPases_(metallocenter_biosynthesis);Protein Metabolism;Protein processing and modification;G3E_family_of_P-loop_GTPases_(metallocenter_biosynthesis)	9669
GABA_and_putrescine_metabolism_from_cluters;Clustering-based subsystems;Putrescine/GABA utilization cluster-temporal,to add to SSs;GABA_and_putrescine_metabolism_from_cluters	46
Galactosylceramide_and_Sulfatide_metabolism;Sulfur Metabolism;-;Galactosylceramide_and_Sulfatide_metabolism	101
Glutamate-mediated_methylamine_utilization_pathway;Clustering-based subsystems;Methylamine utilization;Glutamate-mediated_methylamine_utilization_pathway	13229
Glutamate_and_Aspartate_uptake_in_Bacteria;Amino Acids and Derivatives;Glutamine, glutamate, aspartate, asparagine; ammonia assimilation;Glutamate_and_Aspartate_uptake_in_Bacteria	128
Glutamine,_Glutamate,_Aspartate_and_Asparagine_Biosynthesis;Amino Acids and Derivatives;Glutamine, glutamate, aspartate, asparagine; ammonia assimilation;Glutamine,_Glutamate,_Aspartate_and_Asparagine_Biosynthesis	13414
Glutamine_synthetases;Amino Acids and Derivatives;Glutamine, glutamate, aspartate, asparagine; ammonia assimilation;Glutamine_synthetases	6143
Glutathione-dependent_pathway_of_formaldehyde_detoxification;Stress Response;Detoxification;Glutathione-dependent_pathway_of_formaldehyde_detoxification	1033
Glutathione:_Biosynthesis_and_gamma-glutamyl_cycle;Stress Response;Oxidative stress;Glutathione:_Biosynthesis_and_gamma-glutamyl_cycle	38
Glycerate_metabolism;Carbohydrates;Organic acids;Glycerate_metabolism	1345
Glycine_Biosynthesis;Amino Acids and Derivatives;Alanine, serine, and glycine;Glycine_Biosynthesis	3626
Glycine_and_Serine_Utilization;Amino Acids and Derivatives;Alanine, serine, and glycine;Glycine_and_Serine_Utilization	8416
Glycine_cleavage_system;Amino Acids and Derivatives;Alanine, serine, and glycine;Glycine_cleavage_system	2929
Glycogen_metabolism;Carbohydrates;Polysaccharides;Glycogen_metabolism	9582
Glycogen_metabolism_cluster;Clustering-based subsystems;-;Glycogen_metabolism_cluster	9580
Glycolysis_and_Gluconeogenesis;Carbohydrates;Central carbohydrate metabolism;Glycolysis_and_Gluconeogenesis	303
Glyoxylate_bypass;Carbohydrates;Central carbohydrate metabolism;Glyoxylate_bypass	11206
GroEL_GroES;Protein Metabolism;Protein folding;GroEL_GroES	7936
HMG_CoA_Synthesis;Amino Acids and Derivatives;Branched-chain amino acids;HMG_CoA_Synthesis	2989
Heat_shock_dnaK_gene_cluster_extended;Stress Response;Heat shock;Heat_shock_dnaK_gene_cluster_extended	11982
Heme,_hemin_uptake_and_utilization_systems_in_GramNegatives;Iron acquisition and metabolism;-;Heme,_hemin_uptake_and_utilization_systems_in_GramNegatives	2
Heme_and_Siroheme_Biosynthesis;Cofactors, Vitamins, Prosthetic Groups, Pigments;Tetrapyrroles;Heme_and_Siroheme_Biosynthesis	995
Heme_biosynthesis_orphans;Cofactors, Vitamins, Prosthetic Groups, Pigments;Tetrapyrroles;Heme_biosynthesis_orphans	1
Hemin_transport_system;Iron acquisition and metabolism;-;Hemin_transport_system	2
Heterocyst_formation_in_cyanobacteria;Cell Division and Cell Cycle;-;Heterocyst_formation_in_cyanobacteria	2
Histidine_Degradation;Amino Acids and Derivatives;Histidine Metabolism;Histidine_Degradation	3709
Hydrogenases;Respiration;Electron donating reactions;Hydrogenases	1165
