Subsystems.level3	mgm4637812.3
16S_rRNA_modification_within_P_site_of_ribosome;RNA Metabolism;RNA processing and modification;16S_rRNA_modification_within_P_site_of_ribosome	3
5-FCL-like_protein;Cofactors, Vitamins, Prosthetic Groups, Pigments;Folate and pterines;5-FCL-like_protein	9965
ATP-dependent_RNA_helicases,_bacterial;RNA Metabolism;RNA processing and modification;ATP-dependent_RNA_helicases,_bacterial	265
A_Gammaproteobacteria_Cluster_Relating_to_Translation;Clustering-based subsystems;Ribosome-related cluster;A_Gammaproteobacteria_Cluster_Relating_to_Translation	1820
Acetone_Butanol_Ethanol_Synthesis;Carbohydrates;Fermentation;Acetone_Butanol_Ethanol_Synthesis	52
Acetyl-CoA_fermentation_to_Butyrate;Carbohydrates;Fermentation;Acetyl-CoA_fermentation_to_Butyrate	3
Acid_resistance_mechanisms;Stress Response;Acid stress;Acid_resistance_mechanisms	1
Acyclic_terpenes_utilization;Fatty Acids, Lipids, and Isoprenoids;Isoprenoids;Acyclic_terpenes_utilization	69
Acyl-CoA_thioesterase_II;Fatty Acids, Lipids, and Isoprenoids;Fatty acids;Acyl-CoA_thioesterase_II	23
Agrobacterium_opine_transport;Membrane Transport;-;Agrobacterium_opine_transport	2
Alginate_metabolism;Cell Wall and Capsule;Capsular and extracellular polysacchrides;Alginate_metabolism	1
Alkylphosphonate_utilization;Phosphorus Metabolism;-;Alkylphosphonate_utilization	62
Allantoin_Utilization;Nitrogen Metabolism;-;Allantoin_Utilization	289
Ammonia_assimilation;Nitrogen Metabolism;-;Ammonia_assimilation	10012
Anaerobic_respiratory_reductases;Respiration;Electron accepting reactions;Anaerobic_respiratory_reductases	142
Archaeal_lipids;Fatty Acids, Lipids, and Isoprenoids;Isoprenoids;Archaeal_lipids	1
Archaeal_membrane_bound_hydrogenases;Respiration;Reverse electron transport;Archaeal_membrane_bound_hydrogenases	1
Arginine_Biosynthesis_extended;Amino Acids and Derivatives;Arginine; urea cycle, polyamines;Arginine_Biosynthesis_extended	2214
Arginine_and_Ornithine_Degradation;Amino Acids and Derivatives;Arginine; urea cycle, polyamines;Arginine_and_Ornithine_Degradation	425
Aromatic_amino_acid_interconversions_with_aryl_acids;Amino Acids and Derivatives;Aromatic amino acids and derivatives;Aromatic_amino_acid_interconversions_with_aryl_acids	267
Arsenic_resistance;Virulence, Disease and Defense;Resistance to antibiotics and toxic compounds;Arsenic_resistance	190
At2g23840;Miscellaneous;Plant-Prokaryote DOE project;At2g23840	1820
At5g48545_and_At3g56490_At1g31160;Miscellaneous;Plant-Prokaryote DOE project;At5g48545_and_At3g56490_At1g31160	1
Autoinducer_2_(AI-2)_transport_and_processing_(lsrACDBFGE_operon);Regulation and Cell signaling;Quorum sensing and biofilm formation;Autoinducer_2_(AI-2)_transport_and_processing_(lsrACDBFGE_operon)	9
Auxin_biosynthesis;Secondary Metabolism;Plant Hormones;Auxin_biosynthesis	2350
Auxin_degradation;Secondary Metabolism;Plant Hormones;Auxin_degradation	1862
Bacterial_Cell_Division;Clustering-based subsystems;-;Bacterial_Cell_Division	10200
Bacterial_Chemotaxis;Motility and Chemotaxis;-;Bacterial_Chemotaxis	172
Bacterial_Cytoskeleton;Cell Division and Cell Cycle;-;Bacterial_Cytoskeleton	4193
Bacterial_cyanide_production_and_tolerance_mechanisms;Virulence, Disease and Defense;-;Bacterial_cyanide_production_and_tolerance_mechanisms	597
Bacterial_signal_recognition_particle_(SRP);Membrane Transport;Protein translocation across cytoplasmic membrane;Bacterial_signal_recognition_particle_(SRP)	1
Benzoate_transport_and_degradation_cluster;Metabolism of Aromatic Compounds;-;Benzoate_transport_and_degradation_cluster	730
Beta-Glucoside_Metabolism;Carbohydrates;Di- and oligosaccharides;Beta-Glucoside_Metabolism	3
Beta-lactamase;Virulence, Disease and Defense;Resistance to antibiotics and toxic compounds;Beta-lactamase	2
