Subsystems.level3	mgm4637819.3
5-FCL-like_protein;Cofactors, Vitamins, Prosthetic Groups, Pigments;Folate and pterines;5-FCL-like_protein	14110
ATP-dependent_RNA_helicases,_bacterial;RNA Metabolism;RNA processing and modification;ATP-dependent_RNA_helicases,_bacterial	274
Acetone_Butanol_Ethanol_Synthesis;Carbohydrates;Fermentation;Acetone_Butanol_Ethanol_Synthesis	69
Acetophenone_carboxylase_1;Metabolism of Aromatic Compounds;Anaerobic degradation of aromatic compounds;Acetophenone_carboxylase_1	30
Acetyl-CoA_fermentation_to_Butyrate;Carbohydrates;Fermentation;Acetyl-CoA_fermentation_to_Butyrate	69
Acyclic_terpenes_utilization;Fatty Acids, Lipids, and Isoprenoids;Isoprenoids;Acyclic_terpenes_utilization	95
Acyl_Homoserine_Lactone_(AHL)_Autoinducer_Quorum_Sensing_;Regulation and Cell signaling;Quorum sensing and biofilm formation;Acyl_Homoserine_Lactone_(AHL)_Autoinducer_Quorum_Sensing_	2
Adhesion_of_Campylobacter;Virulence, Disease and Defense;Adhesion;Adhesion_of_Campylobacter	1
Alginate_metabolism;Cell Wall and Capsule;Capsular and extracellular polysacchrides;Alginate_metabolism	1
Alkanesulfonate_assimilation;Sulfur Metabolism;Organic sulfur assimilation;Alkanesulfonate_assimilation	2
Alkylphosphonate_utilization;Phosphorus Metabolism;-;Alkylphosphonate_utilization	185
Allantoin_Utilization;Nitrogen Metabolism;-;Allantoin_Utilization	618
Ammonia_assimilation;Nitrogen Metabolism;-;Ammonia_assimilation	14772
Anaerobic_Oxidative_Degradation_of_L-Ornithine;Amino Acids and Derivatives;Arginine; urea cycle, polyamines;Anaerobic_Oxidative_Degradation_of_L-Ornithine	5
Anaerobic_respiratory_reductases;Respiration;Electron accepting reactions;Anaerobic_respiratory_reductases	139
Anaerobic_toluene_and_ethylbenzene_degradation;Metabolism of Aromatic Compounds;Anaerobic degradation of aromatic compounds;Anaerobic_toluene_and_ethylbenzene_degradation	30
Arginine_Biosynthesis_extended;Amino Acids and Derivatives;Arginine; urea cycle, polyamines;Arginine_Biosynthesis_extended	11
Arginine_and_Ornithine_Degradation;Amino Acids and Derivatives;Arginine; urea cycle, polyamines;Arginine_and_Ornithine_Degradation	538
Aromatic_amino_acid_interconversions_with_aryl_acids;Amino Acids and Derivatives;Aromatic amino acids and derivatives;Aromatic_amino_acid_interconversions_with_aryl_acids	416
Arsenic_resistance;Virulence, Disease and Defense;Resistance to antibiotics and toxic compounds;Arsenic_resistance	5
At1g10830;Miscellaneous;Plant-Prokaryote DOE project;At1g10830	1
At1g24340;Miscellaneous;Plant-Prokaryote DOE project;At1g24340	31
At1g33290_At1g73170_At3g10420;Miscellaneous;Plant-Prokaryote DOE project;At1g33290_At1g73170_At3g10420	3
At2g44920_At1g12250;Miscellaneous;Plant-Prokaryote DOE project;At2g44920_At1g12250	1
At3g50560;Miscellaneous;Plant-Prokaryote DOE project;At3g50560	2
At5g11840_At5g67370;Miscellaneous;Plant-Prokaryote DOE project;At5g11840_At5g67370	2
At5g37530;Miscellaneous;Plant-Prokaryote DOE project;At5g37530	3
Auxin_biosynthesis;Secondary Metabolism;Plant Hormones;Auxin_biosynthesis	3491
Auxin_degradation;Secondary Metabolism;Plant Hormones;Auxin_degradation	2578
Bacterial_Cell_Division;Clustering-based subsystems;-;Bacterial_Cell_Division	9518
Bacterial_Chemotaxis;Motility and Chemotaxis;-;Bacterial_Chemotaxis	2
Bacterial_cyanide_production_and_tolerance_mechanisms;Virulence, Disease and Defense;-;Bacterial_cyanide_production_and_tolerance_mechanisms	1247
Bacterial_light-harvesting_proteins;Photosynthesis;Light-harvesting complexes;Bacterial_light-harvesting_proteins	1
Benzoate_transport_and_degradation_cluster;Metabolism of Aromatic Compounds;-;Benzoate_transport_and_degradation_cluster	906
Beta-Glucoside_Metabolism;Carbohydrates;Di- and oligosaccharides;Beta-Glucoside_Metabolism	1
Beta-lactamase_cluster_in_Streptococcus;Clustering-based subsystems;Carbohydrates;Beta-lactamase_cluster_in_Streptococcus	203
Bilin_Biosynthesis;Cofactors, Vitamins, Prosthetic Groups, Pigments;Tetrapyrroles;Bilin_Biosynthesis	3
Biogenesis_of_cbb3-type_cytochrome_c_oxidases;Respiration;-;Biogenesis_of_cbb3-type_cytochrome_c_oxidases	75
Biotin_biosynthesis_Experimental;Miscellaneous;Plant-Prokaryote DOE project;Biotin_biosynthesis_Experimental	1
Branched-Chain_Amino_Acid_Biosynthesis;Amino Acids and Derivatives;Branched-chain amino acids;Branched-Chain_Amino_Acid_Biosynthesis	6391
Branched_chain_amino_acid_degradation_regulons;Amino Acids and Derivatives;Branched-chain amino acids;Branched_chain_amino_acid_degradation_regulons	3765
Butanol_Biosynthesis;Carbohydrates;Fermentation;Butanol_Biosynthesis	203
CBSS-176299.4.peg.1292;Clustering-based subsystems;Probably GTP or GMP signaling related;CBSS-176299.4.peg.1292	40
CBSS-176299.4.peg.1996B;Clustering-based subsystems;-;CBSS-176299.4.peg.1996B	3068
CBSS-196164.1.peg.1690;Clustering-based subsystems;Cytochrome biogenesis;CBSS-196164.1.peg.1690	3998
CBSS-235.1.peg.567;Clustering-based subsystems;-;CBSS-235.1.peg.567	2
CBSS-257314.1.peg.676;Clustering-based subsystems;Two related proteases;CBSS-257314.1.peg.676	3350
CBSS-261594.1.peg.788;Clustering-based subsystems;recX and regulatory cluster;CBSS-261594.1.peg.788	14
CBSS-269482.1.peg.1294;Clustering-based subsystems;Probably organic hydroperoxide resistance related hypothetical protein;CBSS-269482.1.peg.1294	2
CBSS-288000.5.peg.1793;Clustering-based subsystems;Pyruvate kinase associated cluster;CBSS-288000.5.peg.1793	28
CBSS-316273.3.peg.2378;Clustering-based subsystems;-;CBSS-316273.3.peg.2378	48
CBSS-316273.3.peg.2709;Clustering-based subsystems;-;CBSS-316273.3.peg.2709	1
CBSS-316279.3.peg.746;Clustering-based subsystems;-;CBSS-316279.3.peg.746	2
CBSS-342610.3.peg.1794;Clustering-based subsystems;-;CBSS-342610.3.peg.1794	1472
CBSS-52598.3.peg.2843;Clustering-based subsystems;alpha-proteobacterial cluster of hypotheticals;CBSS-52598.3.peg.2843	245
CBSS-83332.1.peg.3803;Clustering-based subsystems;-;CBSS-83332.1.peg.3803	4041
CO2_uptake,_carboxysome;Carbohydrates;CO2 fixation;CO2_uptake,_carboxysome	216
COG0523;Miscellaneous;Plant-Prokaryote DOE project;COG0523	15
COG1836;Miscellaneous;Plant-Prokaryote DOE project;COG1836	4
COG2363;Miscellaneous;Plant-Prokaryote DOE project;COG2363	2443
CO_Dehydrogenase;Respiration;Electron donating reactions;CO_Dehydrogenase	58
CRISP_Cmr_Cluster;DNA Metabolism;CRISPs;CRISP_Cmr_Cluster	2
Calvin-Benson_cycle;Carbohydrates;CO2 fixation;Calvin-Benson_cycle	276
Carbon_monoxide_induced_hydrogenase;Respiration;-;Carbon_monoxide_induced_hydrogenase	1
Carboxysome;Carbohydrates;CO2 fixation;Carboxysome	214
Catechol_branch_of_beta-ketoadipate_pathway;Metabolism of Aromatic Compounds;Metabolism of central aromatic intermediates;Catechol_branch_of_beta-ketoadipate_pathway	474
Cell_division-ribosomal_stress_proteins_cluster;Clustering-based subsystems;-;Cell_division-ribosomal_stress_proteins_cluster	13121
Chlorophyll_Biosynthesis;Cofactors, Vitamins, Prosthetic Groups, Pigments;Tetrapyrroles;Chlorophyll_Biosynthesis	40
Cholesterol_catabolic_operon_in_Mycobacteria;Fatty Acids, Lipids, and Isoprenoids;-;Cholesterol_catabolic_operon_in_Mycobacteria	83
Choline_and_Betaine_Uptake_and_Betaine_Biosynthesis;Stress Response;Osmotic stress;Choline_and_Betaine_Uptake_and_Betaine_Biosynthesis	48
Chorismate:_Intermediate_for_synthesis_of_Tryptophan,_PAPA_antibiotics,_PABA,_3-hydroxyanthranilate_and_more.;Amino Acids and Derivatives;Aromatic amino acids and derivatives;Chorismate:_Intermediate_for_synthesis_of_Tryptophan,_PAPA_antibiotics,_PABA,_3-hydroxyanthranilate_and_more.	5040
Chorismate_Synthesis;Amino Acids and Derivatives;Aromatic amino acids and derivatives;Chorismate_Synthesis	1210
Citrate_Utilization_System_(CitAB,_CitH,_and_tctABC);Membrane Transport;-;Citrate_Utilization_System_(CitAB,_CitH,_and_tctABC)	386
ClpAS_cluster;Clustering-based subsystems;-;ClpAS_cluster	3068
Cluster-based_Subsystem_Grouping_Hypotheticals_-_perhaps_Proteosome_Related;Clustering-based subsystems;proteosome related;Cluster-based_Subsystem_Grouping_Hypotheticals_-_perhaps_Proteosome_Related	2495
Cluster_containing_CofD-like_protein_and_co-occuring_with_DNA_repair;Clustering-based subsystems;-;Cluster_containing_CofD-like_protein_and_co-occuring_with_DNA_repair	237
Coagulation_cascade;Regulation and Cell signaling;Proteolytic pathway;Coagulation_cascade	1
Coenzyme_A_Biosynthesis;Cofactors, Vitamins, Prosthetic Groups, Pigments;Coenzyme A;Coenzyme_A_Biosynthesis	2394
Coenzyme_B12_biosynthesis;Cofactors, Vitamins, Prosthetic Groups, Pigments;Tetrapyrroles;Coenzyme_B12_biosynthesis	615
Coenzyme_F420-H2_dehydrogenase_(methanophenazine);Respiration;Electron donating reactions;Coenzyme_F420-H2_dehydrogenase_(methanophenazine)	2
Colanic_acid_biosynthesis;Cell Wall and Capsule;Capsular and extracellular polysacchrides;Colanic_acid_biosynthesis	3
Cold_shock,_CspA_family_of_proteins;Stress Response;Cold shock;Cold_shock,_CspA_family_of_proteins	88
Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate);Amino Acids and Derivatives;Aromatic amino acids and derivatives;Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate)	1210
Competence_or_DNA_damage-inducible_protein_CinA_and_related_protein_families;Miscellaneous;Plant-Prokaryote DOE project;Competence_or_DNA_damage-inducible_protein_CinA_and_related_protein_families	3350
Conjugative_transfer;Membrane Transport;Protein and nucleoprotein secretion system, Type IV;Conjugative_transfer	18
Conjugative_transfer_related_cluster;Clustering-based subsystems;-;Conjugative_transfer_related_cluster	20
Conjugative_transposon,_Bacteroidales;Phages, Prophages, Transposable elements, Plasmids;Transposable elements;Conjugative_transposon,_Bacteroidales	54
Core_Oligosaccharide_Glycosylation_in_Pseudomonas;Cell Wall and Capsule;Gram-Negative cell wall components;Core_Oligosaccharide_Glycosylation_in_Pseudomonas	1
Cyanate_hydrolysis;Nitrogen Metabolism;-;Cyanate_hydrolysis	327
Cyanobacterial_Circadian_Clock;Cell Division and Cell Cycle;-;Cyanobacterial_Circadian_Clock	2
Cysteine_Biosynthesis;Amino Acids and Derivatives;Lysine, threonine, methionine, and cysteine;Cysteine_Biosynthesis	1368
Cytochrome_B6-F_complex;Respiration;-;Cytochrome_B6-F_complex	1
D-Galacturonate_and_D-Glucuronate_Utilization;Carbohydrates;Monosaccharides;D-Galacturonate_and_D-Glucuronate_Utilization	86
D-Tagatose_and_Galactitol_Utilization;Carbohydrates;Monosaccharides;D-Tagatose_and_Galactitol_Utilization	2
D-galactarate,_D-glucarate_and_D-glycerate_catabolism;Carbohydrates;Monosaccharides;D-galactarate,_D-glucarate_and_D-glycerate_catabolism	86
DNA-replication;DNA Metabolism;DNA replication;DNA-replication	3349
DNA_repair,_UvrABC_system;DNA Metabolism;DNA repair;DNA_repair,_UvrABC_system	19289
DNA_repair,_bacterial;DNA Metabolism;DNA repair;DNA_repair,_bacterial	3349
DNA_repair,_bacterial_RecBCD_pathway;DNA Metabolism;DNA repair;DNA_repair,_bacterial_RecBCD_pathway	125
DNA_repair,_bacterial_RecFOR_pathway;DNA Metabolism;DNA repair;DNA_repair,_bacterial_RecFOR_pathway	3349
DNA_repair,_bacterial_UmuCD_system;DNA Metabolism;DNA repair;DNA_repair,_bacterial_UmuCD_system	3349
DNA_repair_and_recombination_eukaryotic;DNA Metabolism;DNA repair;DNA_repair_and_recombination_eukaryotic	5
DNA_topoisomerases,_Type_II,_ATP-dependent;DNA Metabolism;DNA replication;DNA_topoisomerases,_Type_II,_ATP-dependent	1472
DedA_family_of_inner_membrane_proteins;Miscellaneous;-;DedA_family_of_inner_membrane_proteins	5
Dehydrogenase_complexes;Carbohydrates;Central carbohydrate metabolism;Dehydrogenase_complexes	4587
Denitrification;Nitrogen Metabolism;-;Denitrification	12
Deoxyribose_and_Deoxynucleoside_Catabolism;Carbohydrates;Monosaccharides;Deoxyribose_and_Deoxynucleoside_Catabolism	10
Dissimilatory_nitrite_reductase;Nitrogen Metabolism;-;Dissimilatory_nitrite_reductase	2
Dot-Icm_type_IV_secretion_system;Membrane Transport;Protein and nucleoprotein secretion system, Type IV;Dot-Icm_type_IV_secretion_system	2
ECF_class_transporters;Membrane Transport;-;ECF_class_transporters	5
ESAT-6_proteins_secretion_system_in_Actinobacteria;Membrane Transport;Protein translocation across cytoplasmic membrane;ESAT-6_proteins_secretion_system_in_Actinobacteria	36
Entner-Doudoroff_Pathway;Carbohydrates;Central carbohydrate metabolism;Entner-Doudoroff_Pathway	255
Erythritol_utilization;Carbohydrates;Sugar alcohols;Erythritol_utilization	25
Ethylmalonyl-CoA_pathway_of_C2_assimilation;Carbohydrates;Central carbohydrate metabolism;Ethylmalonyl-CoA_pathway_of_C2_assimilation	2733
Experimental-COG2515;Miscellaneous;Plant-Prokaryote DOE project;Experimental-COG2515	385
Experimental-Ubiquinone_BiosynthesisVDC;Miscellaneous;Plant-Prokaryote DOE project;Experimental-Ubiquinone_BiosynthesisVDC	3
Experimental_-_Histidine_Degradation;Miscellaneous;Plant-Prokaryote DOE project;Experimental_-_Histidine_Degradation	7987
F0F1-type_ATP_synthase;Respiration;ATP synthases;F0F1-type_ATP_synthase	8090
Fatty_Acid_Biosynthesis_FASI;Fatty Acids, Lipids, and Isoprenoids;Fatty acids;Fatty_Acid_Biosynthesis_FASI	83
Fatty_Acid_Biosynthesis_FASII;Fatty Acids, Lipids, and Isoprenoids;Fatty acids;Fatty_Acid_Biosynthesis_FASII	358
Fatty_acid_metabolism_cluster;Fatty Acids, Lipids, and Isoprenoids;Fatty acids;Fatty_acid_metabolism_cluster	3
Fermentations:_Lactate;Carbohydrates;Fermentation;Fermentations:_Lactate	5381
Fermentations:_Mixed_acid;Carbohydrates;Fermentation;Fermentations:_Mixed_acid	203
Flagellum;Motility and Chemotaxis;Flagellar motility in Prokaryota;Flagellum	5877
Folate_Biosynthesis;Cofactors, Vitamins, Prosthetic Groups, Pigments;Folate and pterines;Folate_Biosynthesis	741
Formate_dehydrogenase;Respiration;Electron donating reactions;Formate_dehydrogenase	1254
Formate_hydrogenase;Respiration;-;Formate_hydrogenase	1418
Fructose_and_Mannose_Inducible_PTS;Membrane Transport;Sugar Phosphotransferase Systems, PTS;Fructose_and_Mannose_Inducible_PTS	1
G3E_family_of_P-loop_GTPases_(metallocenter_biosynthesis);Protein Metabolism;Protein processing and modification;G3E_family_of_P-loop_GTPases_(metallocenter_biosynthesis)	10908
GABA_and_putrescine_metabolism_from_cluters;Clustering-based subsystems;Putrescine/GABA utilization cluster-temporal,to add to SSs;GABA_and_putrescine_metabolism_from_cluters	26
Gene_Transfer_Agent;Phages, Prophages, Transposable elements, Plasmids;Gene Transfer Agent (GTA);Gene_Transfer_Agent	18
Glutamate-mediated_methylamine_utilization_pathway;Clustering-based subsystems;Methylamine utilization;Glutamate-mediated_methylamine_utilization_pathway	14590
Glutamate_and_Aspartate_uptake_in_Bacteria;Amino Acids and Derivatives;Glutamine, glutamate, aspartate, asparagine; ammonia assimilation;Glutamate_and_Aspartate_uptake_in_Bacteria	151
Glutamine,_Glutamate,_Aspartate_and_Asparagine_Biosynthesis;Amino Acids and Derivatives;Glutamine, glutamate, aspartate, asparagine; ammonia assimilation;Glutamine,_Glutamate,_Aspartate_and_Asparagine_Biosynthesis	14771
Glutamine_synthetases;Amino Acids and Derivatives;Glutamine, glutamate, aspartate, asparagine; ammonia assimilation;Glutamine_synthetases	7066
Glutaredoxins;Stress Response;Oxidative stress;Glutaredoxins	110
Glutathione-dependent_pathway_of_formaldehyde_detoxification;Stress Response;Detoxification;Glutathione-dependent_pathway_of_formaldehyde_detoxification	857
Glutathione:_Biosynthesis_and_gamma-glutamyl_cycle;Stress Response;Oxidative stress;Glutathione:_Biosynthesis_and_gamma-glutamyl_cycle	32
Glutathione:_Redox_cycle;Stress Response;Oxidative stress;Glutathione:_Redox_cycle	110
Glycerate_metabolism;Carbohydrates;Organic acids;Glycerate_metabolism	618
Glycerol_and_Glycerol-3-phosphate_Uptake_and_Utilization;Carbohydrates;Sugar alcohols;Glycerol_and_Glycerol-3-phosphate_Uptake_and_Utilization	1
Glycine_Biosynthesis;Amino Acids and Derivatives;Alanine, serine, and glycine;Glycine_Biosynthesis	4012
Glycine_and_Serine_Utilization;Amino Acids and Derivatives;Alanine, serine, and glycine;Glycine_and_Serine_Utilization	7074
Glycine_cleavage_system;Amino Acids and Derivatives;Alanine, serine, and glycine;Glycine_cleavage_system	3057
Glycine_reductase,_sarcosine_reductase_and_betaine_reductase;Protein Metabolism;Selenoproteins;Glycine_reductase,_sarcosine_reductase_and_betaine_reductase	1
Glycogen_metabolism;Carbohydrates;Polysaccharides;Glycogen_metabolism	10546
Glycogen_metabolism_cluster;Clustering-based subsystems;-;Glycogen_metabolism_cluster	10546
Glyoxylate_bypass;Carbohydrates;Central carbohydrate metabolism;Glyoxylate_bypass	12411
GroEL_GroES;Protein Metabolism;Protein folding;GroEL_GroES	9348
H2:CoM-S-S-HTP_oxidoreductase;Respiration;Electron donating reactions;H2:CoM-S-S-HTP_oxidoreductase	4
HMG_CoA_Synthesis;Amino Acids and Derivatives;Branched-chain amino acids;HMG_CoA_Synthesis	3287
Heat_shock_dnaK_gene_cluster_extended;Stress Response;Heat shock;Heat_shock_dnaK_gene_cluster_extended	13418
