Subsystems.level3	mgm4637814.3
2-isocapryloyl-3R-hydroxymethyl-gamma-butyrolactone_and_other_bacterial_morphogens;Secondary Metabolism;Bacterial cytostatics, differentiation factors and antibiotics;2-isocapryloyl-3R-hydroxymethyl-gamma-butyrolactone_and_other_bacterial_morphogens	21
5-FCL-like_protein;Cofactors, Vitamins, Prosthetic Groups, Pigments;Folate and pterines;5-FCL-like_protein	7137
A_Gammaproteobacteria_Cluster_Relating_to_Translation;Clustering-based subsystems;Ribosome-related cluster;A_Gammaproteobacteria_Cluster_Relating_to_Translation	1321
A_Gram-positive_cluster_that_relates_ribosomal_protein_L28P_to_a_set_of_uncharacterized_proteins;Clustering-based subsystems;Ribosomal Protein L28P relates to a set of uncharacterized proteins;A_Gram-positive_cluster_that_relates_ribosomal_protein_L28P_to_a_set_of_uncharacterized_proteins	1
Acetone_Butanol_Ethanol_Synthesis;Carbohydrates;Fermentation;Acetone_Butanol_Ethanol_Synthesis	50
Acetophenone_carboxylase_1;Metabolism of Aromatic Compounds;Anaerobic degradation of aromatic compounds;Acetophenone_carboxylase_1	20
Acid_resistance_mechanisms;Stress Response;Acid stress;Acid_resistance_mechanisms	407
Acyclic_terpenes_utilization;Fatty Acids, Lipids, and Isoprenoids;Isoprenoids;Acyclic_terpenes_utilization	57
Acyl_Homoserine_Lactone_(AHL)_Autoinducer_Quorum_Sensing_;Regulation and Cell signaling;Quorum sensing and biofilm formation;Acyl_Homoserine_Lactone_(AHL)_Autoinducer_Quorum_Sensing_	2
Adenosyl_nucleosidases;Nucleosides and Nucleotides;-;Adenosyl_nucleosidases	1
Agrobacterium_opine_transport;Membrane Transport;-;Agrobacterium_opine_transport	1
Alginate_metabolism;Cell Wall and Capsule;Capsular and extracellular polysacchrides;Alginate_metabolism	3
Alkanesulfonate_assimilation;Sulfur Metabolism;Organic sulfur assimilation;Alkanesulfonate_assimilation	1
Alkylphosphonate_utilization;Phosphorus Metabolism;-;Alkylphosphonate_utilization	165
Allantoin_Utilization;Nitrogen Metabolism;-;Allantoin_Utilization	205
Ammonia_assimilation;Nitrogen Metabolism;-;Ammonia_assimilation	8601
Anaerobic_benzoate_metabolism;Metabolism of Aromatic Compounds;Anaerobic degradation of aromatic compounds;Anaerobic_benzoate_metabolism	1172
Anaerobic_respiratory_reductases;Respiration;Electron accepting reactions;Anaerobic_respiratory_reductases	107
Anaerobic_toluene_and_ethylbenzene_degradation;Metabolism of Aromatic Compounds;Anaerobic degradation of aromatic compounds;Anaerobic_toluene_and_ethylbenzene_degradation	20
Archaeal_Flagellum;Motility and Chemotaxis;Flagellar motility in Prokaryota;Archaeal_Flagellum	3
Arginine_Biosynthesis_extended;Amino Acids and Derivatives;Arginine; urea cycle, polyamines;Arginine_Biosynthesis_extended	1899
Arginine_and_Ornithine_Degradation;Amino Acids and Derivatives;Arginine; urea cycle, polyamines;Arginine_and_Ornithine_Degradation	492
Aromatic_amino_acid_degradation;Amino Acids and Derivatives;Aromatic amino acids and derivatives;Aromatic_amino_acid_degradation	1
At1g24340;Miscellaneous;Plant-Prokaryote DOE project;At1g24340	23
At1g33290_At1g73170_At3g10420;Miscellaneous;Plant-Prokaryote DOE project;At1g33290_At1g73170_At3g10420	109
At1g54520;Miscellaneous;Plant-Prokaryote DOE project;At1g54520	6
At2g23840;Miscellaneous;Plant-Prokaryote DOE project;At2g23840	1321
At5g11840_At5g67370;Miscellaneous;Plant-Prokaryote DOE project;At5g11840_At5g67370	1
At5g37530;Miscellaneous;Plant-Prokaryote DOE project;At5g37530	1
At5g48545_and_At3g56490_At1g31160;Miscellaneous;Plant-Prokaryote DOE project;At5g48545_and_At3g56490_At1g31160	2
Autoinducer_2_(AI-2)_transport_and_processing_(lsrACDBFGE_operon);Regulation and Cell signaling;Quorum sensing and biofilm formation;Autoinducer_2_(AI-2)_transport_and_processing_(lsrACDBFGE_operon)	9
Auxin_biosynthesis;Secondary Metabolism;Plant Hormones;Auxin_biosynthesis	1915
Auxin_degradation;Secondary Metabolism;Plant Hormones;Auxin_degradation	1720
Bacitracin_Stress_Response;Virulence, Disease and Defense;Bacteriocins, ribosomally synthesized antibacterial peptides;Bacitracin_Stress_Response	1
Bacterial_Cell_Division;Clustering-based subsystems;-;Bacterial_Cell_Division	7349
Bacterial_Chemotaxis;Motility and Chemotaxis;-;Bacterial_Chemotaxis	174
Bacterial_Cytoskeleton;Cell Division and Cell Cycle;-;Bacterial_Cytoskeleton	2029
Bacterial_cyanide_production_and_tolerance_mechanisms;Virulence, Disease and Defense;-;Bacterial_cyanide_production_and_tolerance_mechanisms	4
Benzoate_transport_and_degradation_cluster;Metabolism of Aromatic Compounds;-;Benzoate_transport_and_degradation_cluster	1
Beta-lactamase_cluster_in_Streptococcus;Clustering-based subsystems;Carbohydrates;Beta-lactamase_cluster_in_Streptococcus	190
Biofilm_Adhesin_Biosynthesis;Regulation and Cell signaling;Quorum sensing and biofilm formation;Biofilm_Adhesin_Biosynthesis	2
Biogenesis_of_cbb3-type_cytochrome_c_oxidases;Respiration;-;Biogenesis_of_cbb3-type_cytochrome_c_oxidases	47
Biotin_biosynthesis;Cofactors, Vitamins, Prosthetic Groups, Pigments;Biotin;Biotin_biosynthesis	1
Biotin_biosynthesis_Experimental;Miscellaneous;Plant-Prokaryote DOE project;Biotin_biosynthesis_Experimental	1
Branched-Chain_Amino_Acid_Biosynthesis;Amino Acids and Derivatives;Branched-chain amino acids;Branched-Chain_Amino_Acid_Biosynthesis	1443
Branched_chain_amino_acid_degradation_regulons;Amino Acids and Derivatives;Branched-chain amino acids;Branched_chain_amino_acid_degradation_regulons	2361
Butanol_Biosynthesis;Carbohydrates;Fermentation;Butanol_Biosynthesis	190
CBSS-176299.4.peg.1292;Clustering-based subsystems;Probably GTP or GMP signaling related;CBSS-176299.4.peg.1292	37
CBSS-176299.4.peg.1996B;Clustering-based subsystems;-;CBSS-176299.4.peg.1996B	2208
CBSS-196164.1.peg.1690;Clustering-based subsystems;Cytochrome biogenesis;CBSS-196164.1.peg.1690	2428
CBSS-196620.1.peg.2477;Clustering-based subsystems;-;CBSS-196620.1.peg.2477	3
CBSS-235.1.peg.567;Clustering-based subsystems;-;CBSS-235.1.peg.567	6
CBSS-257314.1.peg.676;Clustering-based subsystems;Two related proteases;CBSS-257314.1.peg.676	1754
CBSS-269799.3.peg.2220;Clustering-based subsystems;Molybdopterin oxidoreductase;CBSS-269799.3.peg.2220	1427
CBSS-269801.1.peg.1715;Clustering-based subsystems;-;CBSS-269801.1.peg.1715	2
CBSS-288000.5.peg.1793;Clustering-based subsystems;Pyruvate kinase associated cluster;CBSS-288000.5.peg.1793	31
CBSS-288681.3.peg.1039;Clustering-based subsystems;-;CBSS-288681.3.peg.1039	1
CBSS-316273.3.peg.2378;Clustering-based subsystems;-;CBSS-316273.3.peg.2378	69
CBSS-316273.3.peg.448;Clustering-based subsystems;-;CBSS-316273.3.peg.448	57
CBSS-316279.3.peg.746;Clustering-based subsystems;-;CBSS-316279.3.peg.746	1
CBSS-326442.4.peg.1852;Clustering-based subsystems;Translation;CBSS-326442.4.peg.1852	1
CBSS-350688.3.peg.1509;Clustering-based subsystems;-;CBSS-350688.3.peg.1509	1
CBSS-393130.3.peg.129;Clustering-based subsystems;Related to Menaquinone-cytochrome C reductase ;CBSS-393130.3.peg.129	313
CBSS-56780.10.peg.1536;Clustering-based subsystems;-;CBSS-56780.10.peg.1536	1129
CBSS-83332.1.peg.3803;Clustering-based subsystems;-;CBSS-83332.1.peg.3803	2106
CO2_uptake,_carboxysome;Carbohydrates;CO2 fixation;CO2_uptake,_carboxysome	154
COG2363;Miscellaneous;Plant-Prokaryote DOE project;COG2363	1690
COG3146_experimental;Miscellaneous;Plant-Prokaryote DOE project;COG3146_experimental	1
COG3533;Miscellaneous;Plant-Prokaryote DOE project;COG3533	395
CRISPRs;DNA Metabolism;CRISPs;CRISPRs	1
CTP_synthase_(EC_6.3.4.2)_cluster;Clustering-based subsystems;-;CTP_synthase_(EC_6.3.4.2)_cluster	2869
Calvin-Benson_cycle;Carbohydrates;CO2 fixation;Calvin-Benson_cycle	280
Carboxysome;Carbohydrates;CO2 fixation;Carboxysome	80
Carotenoids;Fatty Acids, Lipids, and Isoprenoids;Isoprenoids;Carotenoids	7
Catechol_branch_of_beta-ketoadipate_pathway;Metabolism of Aromatic Compounds;Metabolism of central aromatic intermediates;Catechol_branch_of_beta-ketoadipate_pathway	600
Cell_division-ribosomal_stress_proteins_cluster;Clustering-based subsystems;-;Cell_division-ribosomal_stress_proteins_cluster	7715
Chitin_and_N-acetylglucosamine_utilization;Carbohydrates;Aminosugars;Chitin_and_N-acetylglucosamine_utilization	3
Chlorobenzoate_degradation;Metabolism of Aromatic Compounds;Peripheral pathways for catabolism of aromatic compounds;Chlorobenzoate_degradation	6
Chlorophyll_Biosynthesis;Cofactors, Vitamins, Prosthetic Groups, Pigments;Tetrapyrroles;Chlorophyll_Biosynthesis	39
Cholesterol_catabolic_operon_in_Mycobacteria;Fatty Acids, Lipids, and Isoprenoids;-;Cholesterol_catabolic_operon_in_Mycobacteria	26
Choline_and_Betaine_Uptake_and_Betaine_Biosynthesis;Stress Response;Osmotic stress;Choline_and_Betaine_Uptake_and_Betaine_Biosynthesis	3
Chorismate:_Intermediate_for_synthesis_of_Tryptophan,_PAPA_antibiotics,_PABA,_3-hydroxyanthranilate_and_more.;Amino Acids and Derivatives;Aromatic amino acids and derivatives;Chorismate:_Intermediate_for_synthesis_of_Tryptophan,_PAPA_antibiotics,_PABA,_3-hydroxyanthranilate_and_more.	2512
Chorismate_Synthesis;Amino Acids and Derivatives;Aromatic amino acids and derivatives;Chorismate_Synthesis	609
Clavulanic_acid_biosynthesis;Secondary Metabolism;Bacterial cytostatics, differentiation factors and antibiotics;Clavulanic_acid_biosynthesis	1
ClpAS_cluster;Clustering-based subsystems;-;ClpAS_cluster	2208
ClpS__and_metallo-protease_cluster_in_Cyanos_;Clustering-based subsystems;-;ClpS__and_metallo-protease_cluster_in_Cyanos_	1
Cluster-based_Subsystem_Grouping_Hypotheticals_-_perhaps_Proteosome_Related;Clustering-based subsystems;proteosome related;Cluster-based_Subsystem_Grouping_Hypotheticals_-_perhaps_Proteosome_Related	284
Cluster_containing_CofD-like_protein_and_co-occuring_with_DNA_repair;Clustering-based subsystems;-;Cluster_containing_CofD-like_protein_and_co-occuring_with_DNA_repair	95
Cluster_with_phosphopentomutase_paralog;Clustering-based subsystems;-;Cluster_with_phosphopentomutase_paralog	1
Coagulation_cascade;Regulation and Cell signaling;Proteolytic pathway;Coagulation_cascade	2
Cobalt-zinc-cadmium_resistance;Virulence, Disease and Defense;Resistance to antibiotics and toxic compounds;Cobalt-zinc-cadmium_resistance	1
Coenzyme_A_Biosynthesis;Cofactors, Vitamins, Prosthetic Groups, Pigments;Coenzyme A;Coenzyme_A_Biosynthesis	1443
Coenzyme_B12_biosynthesis;Cofactors, Vitamins, Prosthetic Groups, Pigments;Tetrapyrroles;Coenzyme_B12_biosynthesis	520
Coenzyme_B_synthesis;Cofactors, Vitamins, Prosthetic Groups, Pigments;Coenzyme B;Coenzyme_B_synthesis	1
Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate);Amino Acids and Derivatives;Aromatic amino acids and derivatives;Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate)	608
Competence_or_DNA_damage-inducible_protein_CinA_and_related_protein_families;Miscellaneous;Plant-Prokaryote DOE project;Competence_or_DNA_damage-inducible_protein_CinA_and_related_protein_families	1752
Conjugative_transfer;Membrane Transport;Protein and nucleoprotein secretion system, Type IV;Conjugative_transfer	42
Conjugative_transfer_related_cluster;Clustering-based subsystems;-;Conjugative_transfer_related_cluster	11
Conjugative_transposon,_Bacteroidales;Phages, Prophages, Transposable elements, Plasmids;Transposable elements;Conjugative_transposon,_Bacteroidales	52
Control_of_cell_elongation_-_division_cycle_in_Bacilli;Cell Division and Cell Cycle;-;Control_of_cell_elongation_-_division_cycle_in_Bacilli	3
Core_Oligosaccharide_Glycosylation_in_Pseudomonas;Cell Wall and Capsule;Gram-Negative cell wall components;Core_Oligosaccharide_Glycosylation_in_Pseudomonas	1
Creatine_and_Creatinine_Degradation;Amino Acids and Derivatives;-;Creatine_and_Creatinine_Degradation	56
Cyanate_hydrolysis;Nitrogen Metabolism;-;Cyanate_hydrolysis	211
Cysteine_Biosynthesis;Amino Acids and Derivatives;Lysine, threonine, methionine, and cysteine;Cysteine_Biosynthesis	990
Cytochrome_B6-F_complex;Respiration;-;Cytochrome_B6-F_complex	7
D-Galacturonate_and_D-Glucuronate_Utilization;Carbohydrates;Monosaccharides;D-Galacturonate_and_D-Glucuronate_Utilization	43
D-allose_utilization;Carbohydrates;Monosaccharides;D-allose_utilization	1
D-galactarate,_D-glucarate_and_D-glycerate_catabolism;Carbohydrates;Monosaccharides;D-galactarate,_D-glucarate_and_D-glycerate_catabolism	376
D-galactonate_catabolism;Carbohydrates;Monosaccharides;D-galactonate_catabolism	3
D-gluconate_and_ketogluconates_metabolism;Carbohydrates;Monosaccharides;D-gluconate_and_ketogluconates_metabolism	1
DNA-binding_regulatory_proteins,_strays;Regulation and Cell signaling;-;DNA-binding_regulatory_proteins,_strays	1
DNA-replication;DNA Metabolism;DNA replication;DNA-replication	1752
DNA_phosphorothioation;DNA Metabolism;-;DNA_phosphorothioation	36
DNA_repair,_UvrABC_system;DNA Metabolism;DNA repair;DNA_repair,_UvrABC_system	11936
DNA_repair,_bacterial;DNA Metabolism;DNA repair;DNA_repair,_bacterial	1752
DNA_repair,_bacterial_DinG_and_relatives;DNA Metabolism;DNA repair;DNA_repair,_bacterial_DinG_and_relatives	1
DNA_repair,_bacterial_RecFOR_pathway;DNA Metabolism;DNA repair;DNA_repair,_bacterial_RecFOR_pathway	1752
DNA_repair,_bacterial_UmuCD_system;DNA Metabolism;DNA repair;DNA_repair,_bacterial_UmuCD_system	1752
DNA_structural_proteins,_bacterial;DNA Metabolism;-;DNA_structural_proteins,_bacterial	1
Dehydrogenase_complexes;Carbohydrates;Central carbohydrate metabolism;Dehydrogenase_complexes	2652
Denitrification;Nitrogen Metabolism;-;Denitrification	20
Deoxyribose_and_Deoxynucleoside_Catabolism;Carbohydrates;Monosaccharides;Deoxyribose_and_Deoxynucleoside_Catabolism	5
Dipicolinate_Synthesis;Dormancy and Sporulation;Spore DNA protection;Dipicolinate_Synthesis	1
Dot-Icm_type_IV_secretion_system;Membrane Transport;Protein and nucleoprotein secretion system, Type IV;Dot-Icm_type_IV_secretion_system	9
ECF_class_transporters;Membrane Transport;-;ECF_class_transporters	13
ESAT-6_proteins_secretion_system_in_Actinobacteria;Membrane Transport;Protein translocation across cytoplasmic membrane;ESAT-6_proteins_secretion_system_in_Actinobacteria	18
EcsAB_transporter_affecting_expression_and_secretion_of_secretory_preproteins;Membrane Transport;Protein translocation across cytoplasmic membrane;EcsAB_transporter_affecting_expression_and_secretion_of_secretory_preproteins	2
Ectoine_biosynthesis_and_regulation;Stress Response;Osmotic stress;Ectoine_biosynthesis_and_regulation	6
Entner-Doudoroff_Pathway;Carbohydrates;Central carbohydrate metabolism;Entner-Doudoroff_Pathway	173
Erythritol_utilization;Carbohydrates;Sugar alcohols;Erythritol_utilization	56
Ethylmalonyl-CoA_pathway_of_C2_assimilation;Carbohydrates;Central carbohydrate metabolism;Ethylmalonyl-CoA_pathway_of_C2_assimilation	1210
Experimental-COG2515;Miscellaneous;Plant-Prokaryote DOE project;Experimental-COG2515	184
Experimental-yggC;Miscellaneous;Plant-Prokaryote DOE project;Experimental-yggC	1
Experimental_-_Histidine_Degradation;Miscellaneous;Plant-Prokaryote DOE project;Experimental_-_Histidine_Degradation	4465
Extracellular_Polysaccharide_Biosynthesis_of_Streptococci;Cell Wall and Capsule;Capsular and extracellular polysacchrides;Extracellular_Polysaccharide_Biosynthesis_of_Streptococci	1
F0F1-type_ATP_synthase;Respiration;ATP synthases;F0F1-type_ATP_synthase	4682
F_plasmid_replication;Phages, Prophages, Transposable elements, Plasmids;Plasmid related functions;F_plasmid_replication	1
Fatty_Acid_Biosynthesis_FASI;Fatty Acids, Lipids, and Isoprenoids;Fatty acids;Fatty_Acid_Biosynthesis_FASI	73
Fatty_Acid_Biosynthesis_FASII;Fatty Acids, Lipids, and Isoprenoids;Fatty acids;Fatty_Acid_Biosynthesis_FASII	2960
Fermentations:_Lactate;Carbohydrates;Fermentation;Fermentations:_Lactate	2265
Fermentations:_Mixed_acid;Carbohydrates;Fermentation;Fermentations:_Mixed_acid	190
Flagellar_motility;Motility and Chemotaxis;Flagellar motility in Prokaryota;Flagellar_motility	171
Flagellum;Motility and Chemotaxis;Flagellar motility in Prokaryota;Flagellum	3512
Folate_Biosynthesis;Cofactors, Vitamins, Prosthetic Groups, Pigments;Folate and pterines;Folate_Biosynthesis	522
Formate_hydrogenase;Respiration;-;Formate_hydrogenase	994
G3E_family_of_P-loop_GTPases_(metallocenter_biosynthesis);Protein Metabolism;Protein processing and modification;G3E_family_of_P-loop_GTPases_(metallocenter_biosynthesis)	6789
GABA_and_putrescine_metabolism_from_cluters;Clustering-based subsystems;Putrescine/GABA utilization cluster-temporal,to add to SSs;GABA_and_putrescine_metabolism_from_cluters	16
Glutamate-mediated_methylamine_utilization_pathway;Clustering-based subsystems;Methylamine utilization;Glutamate-mediated_methylamine_utilization_pathway	8459
Glutamate_and_Aspartate_uptake_in_Bacteria;Amino Acids and Derivatives;Glutamine, glutamate, aspartate, asparagine; ammonia assimilation;Glutamate_and_Aspartate_uptake_in_Bacteria	87
Glutamate_dehydrogenases;Amino Acids and Derivatives;Glutamine, glutamate, aspartate, asparagine; ammonia assimilation;Glutamate_dehydrogenases	3
Glutamine,_Glutamate,_Aspartate_and_Asparagine_Biosynthesis;Amino Acids and Derivatives;Glutamine, glutamate, aspartate, asparagine; ammonia assimilation;Glutamine,_Glutamate,_Aspartate_and_Asparagine_Biosynthesis	8609
