Subsystems.level3	mgm4637830.3
5-FCL-like_protein;Cofactors, Vitamins, Prosthetic Groups, Pigments;Folate and pterines;5-FCL-like_protein	2091
ABC_transporter_of_unknown_substrate_X;Membrane Transport;ABC transporters;ABC_transporter_of_unknown_substrate_X	1
ATP-dependent_RNA_helicases,_bacterial;RNA Metabolism;RNA processing and modification;ATP-dependent_RNA_helicases,_bacterial	97
Acetone_Butanol_Ethanol_Synthesis;Carbohydrates;Fermentation;Acetone_Butanol_Ethanol_Synthesis	50
Acetyl-CoA_fermentation_to_Butyrate;Carbohydrates;Fermentation;Acetyl-CoA_fermentation_to_Butyrate	31
Acyclic_terpenes_utilization;Fatty Acids, Lipids, and Isoprenoids;Isoprenoids;Acyclic_terpenes_utilization	34
Adaptation_to_d-cysteine;Virulence, Disease and Defense;Resistance to antibiotics and toxic compounds;Adaptation_to_d-cysteine	1
Adhesion_of_Campylobacter;Virulence, Disease and Defense;Adhesion;Adhesion_of_Campylobacter	1
Alkylphosphonate_utilization;Phosphorus Metabolism;-;Alkylphosphonate_utilization	75
Allantoin_Utilization;Nitrogen Metabolism;-;Allantoin_Utilization	128
Ammonia_assimilation;Nitrogen Metabolism;-;Ammonia_assimilation	2298
Anaerobic_Oxidative_Degradation_of_L-Ornithine;Amino Acids and Derivatives;Arginine; urea cycle, polyamines;Anaerobic_Oxidative_Degradation_of_L-Ornithine	4
Anaerobic_respiratory_reductases;Respiration;Electron accepting reactions;Anaerobic_respiratory_reductases	42
Archaeal_membrane_bound_hydrogenases;Respiration;Reverse electron transport;Archaeal_membrane_bound_hydrogenases	1
Aromatic_amino_acid_degradation;Amino Acids and Derivatives;Aromatic amino acids and derivatives;Aromatic_amino_acid_degradation	12
Arsenic_resistance;Virulence, Disease and Defense;Resistance to antibiotics and toxic compounds;Arsenic_resistance	10
At1g10830;Miscellaneous;Plant-Prokaryote DOE project;At1g10830	1
At1g24340;Miscellaneous;Plant-Prokaryote DOE project;At1g24340	5
At1g54520;Miscellaneous;Plant-Prokaryote DOE project;At1g54520	1
