Subsystems.level3	mgm4637832.3
16S_rRNA_modification_within_P_site_of_ribosome;RNA Metabolism;RNA processing and modification;16S_rRNA_modification_within_P_site_of_ribosome	2
2-isocapryloyl-3R-hydroxymethyl-gamma-butyrolactone_and_other_bacterial_morphogens;Secondary Metabolism;Bacterial cytostatics, differentiation factors and antibiotics;2-isocapryloyl-3R-hydroxymethyl-gamma-butyrolactone_and_other_bacterial_morphogens	5
5-FCL-like_protein;Cofactors, Vitamins, Prosthetic Groups, Pigments;Folate and pterines;5-FCL-like_protein	9234
ATP-dependent_RNA_helicases,_bacterial;RNA Metabolism;RNA processing and modification;ATP-dependent_RNA_helicases,_bacterial	199
A_Gammaproteobacteria_Cluster_Relating_to_Translation;Clustering-based subsystems;Ribosome-related cluster;A_Gammaproteobacteria_Cluster_Relating_to_Translation	1604
Acetone_Butanol_Ethanol_Synthesis;Carbohydrates;Fermentation;Acetone_Butanol_Ethanol_Synthesis	67
Acetophenone_carboxylase_1;Metabolism of Aromatic Compounds;Anaerobic degradation of aromatic compounds;Acetophenone_carboxylase_1	1
Acetyl-CoA_fermentation_to_Butyrate;Carbohydrates;Fermentation;Acetyl-CoA_fermentation_to_Butyrate	9
Acyclic_terpenes_utilization;Fatty Acids, Lipids, and Isoprenoids;Isoprenoids;Acyclic_terpenes_utilization	53
Acyl-CoA_thioesterase_II;Fatty Acids, Lipids, and Isoprenoids;Fatty acids;Acyl-CoA_thioesterase_II	42
Acyl_Homoserine_Lactone_(AHL)_Autoinducer_Quorum_Sensing_;Regulation and Cell signaling;Quorum sensing and biofilm formation;Acyl_Homoserine_Lactone_(AHL)_Autoinducer_Quorum_Sensing_	1
Adhesion_of_Campylobacter;Virulence, Disease and Defense;Adhesion;Adhesion_of_Campylobacter	1
Agrobacterium_opine_transport;Membrane Transport;-;Agrobacterium_opine_transport	1
Alkanesulfonate_assimilation;Sulfur Metabolism;Organic sulfur assimilation;Alkanesulfonate_assimilation	4144
Alkylphosphonate_utilization;Phosphorus Metabolism;-;Alkylphosphonate_utilization	78
Allantoin_Utilization;Nitrogen Metabolism;-;Allantoin_Utilization	400
Ammonia_assimilation;Nitrogen Metabolism;-;Ammonia_assimilation	9298
