Subsystems.level3	mgm4637822.3
2-isocapryloyl-3R-hydroxymethyl-gamma-butyrolactone_and_other_bacterial_morphogens;Secondary Metabolism;Bacterial cytostatics, differentiation factors and antibiotics;2-isocapryloyl-3R-hydroxymethyl-gamma-butyrolactone_and_other_bacterial_morphogens	3
5-FCL-like_protein;Cofactors, Vitamins, Prosthetic Groups, Pigments;Folate and pterines;5-FCL-like_protein	8022
ABC_transporter_of_unknown_substrate_X;Membrane Transport;ABC transporters;ABC_transporter_of_unknown_substrate_X	2
Acetone_Butanol_Ethanol_Synthesis;Carbohydrates;Fermentation;Acetone_Butanol_Ethanol_Synthesis	51
Acyclic_terpenes_utilization;Fatty Acids, Lipids, and Isoprenoids;Isoprenoids;Acyclic_terpenes_utilization	84
Acyl-CoA_thioesterase_II;Fatty Acids, Lipids, and Isoprenoids;Fatty acids;Acyl-CoA_thioesterase_II	1
Acyl_Homoserine_Lactone_(AHL)_Autoinducer_Quorum_Sensing_;Regulation and Cell signaling;Quorum sensing and biofilm formation;Acyl_Homoserine_Lactone_(AHL)_Autoinducer_Quorum_Sensing_	3
Agrobacterium_opine_transport;Membrane Transport;-;Agrobacterium_opine_transport	1
Alginate_metabolism;Cell Wall and Capsule;Capsular and extracellular polysacchrides;Alginate_metabolism	1
Alkylphosphonate_utilization;Phosphorus Metabolism;-;Alkylphosphonate_utilization	136
Allantoin_Utilization;Nitrogen Metabolism;-;Allantoin_Utilization	302
Ammonia_assimilation;Nitrogen Metabolism;-;Ammonia_assimilation	5681
Anaerobic_respiratory_reductases;Respiration;Electron accepting reactions;Anaerobic_respiratory_reductases	106
Arsenic_resistance;Virulence, Disease and Defense;Resistance to antibiotics and toxic compounds;Arsenic_resistance	73
At3g50560;Miscellaneous;Plant-Prokaryote DOE project;At3g50560	1
Autoinducer_2_(AI-2)_transport_and_processing_(lsrACDBFGE_operon);Regulation and Cell signaling;Quorum sensing and biofilm formation;Autoinducer_2_(AI-2)_transport_and_processing_(lsrACDBFGE_operon)	17
Auxin_degradation;Secondary Metabolism;Plant Hormones;Auxin_degradation	1784
Bacterial_Cell_Division;Clustering-based subsystems;-;Bacterial_Cell_Division	2303
Bacterial_Cytoskeleton;Cell Division and Cell Cycle;-;Bacterial_Cytoskeleton	2303
Bacterial_cyanide_production_and_tolerance_mechanisms;Virulence, Disease and Defense;-;Bacterial_cyanide_production_and_tolerance_mechanisms	3
Benzoate_transport_and_degradation_cluster;Metabolism of Aromatic Compounds;-;Benzoate_transport_and_degradation_cluster	701
Beta-lactamase_cluster_in_Streptococcus;Clustering-based subsystems;Carbohydrates;Beta-lactamase_cluster_in_Streptococcus	80
Biogenesis_of_cbb3-type_cytochrome_c_oxidases;Respiration;-;Biogenesis_of_cbb3-type_cytochrome_c_oxidases	18
Branched-Chain_Amino_Acid_Biosynthesis;Amino Acids and Derivatives;Branched-chain amino acids;Branched-Chain_Amino_Acid_Biosynthesis	1635
Branched_chain_amino_acid_degradation_regulons;Amino Acids and Derivatives;Branched-chain amino acids;Branched_chain_amino_acid_degradation_regulons	2214
Butanol_Biosynthesis;Carbohydrates;Fermentation;Butanol_Biosynthesis	80
CBSS-176299.4.peg.1996B;Clustering-based subsystems;-;CBSS-176299.4.peg.1996B	2303
CBSS-196164.1.peg.1690;Clustering-based subsystems;Cytochrome biogenesis;CBSS-196164.1.peg.1690	2396
CBSS-211586.1.peg.3133;Clustering-based subsystems;-;CBSS-211586.1.peg.3133	2
CBSS-257314.1.peg.676;Clustering-based subsystems;Two related proteases;CBSS-257314.1.peg.676	1884
CBSS-262316.1.peg.2929;Clustering-based subsystems;Catabolism of an unknown compound;CBSS-262316.1.peg.2929	523
CBSS-269799.3.peg.2220;Clustering-based subsystems;Molybdopterin oxidoreductase;CBSS-269799.3.peg.2220	1364
CBSS-314269.3.peg.1840;Clustering-based subsystems;-;CBSS-314269.3.peg.1840	3
CBSS-316273.3.peg.2378;Clustering-based subsystems;-;CBSS-316273.3.peg.2378	30
CBSS-316273.3.peg.448;Clustering-based subsystems;-;CBSS-316273.3.peg.448	2
CBSS-350688.3.peg.1509;Clustering-based subsystems;-;CBSS-350688.3.peg.1509	1
CBSS-83332.1.peg.3803;Clustering-based subsystems;-;CBSS-83332.1.peg.3803	2628
CO2_uptake,_carboxysome;Carbohydrates;CO2 fixation;CO2_uptake,_carboxysome	91
COG0523;Miscellaneous;Plant-Prokaryote DOE project;COG0523	12
COG2363;Miscellaneous;Plant-Prokaryote DOE project;COG2363	1670
COG3533;Miscellaneous;Plant-Prokaryote DOE project;COG3533	880
CO_Dehydrogenase;Respiration;Electron donating reactions;CO_Dehydrogenase	3
Calvin-Benson_cycle;Carbohydrates;CO2 fixation;Calvin-Benson_cycle	89
Carboxysome;Carbohydrates;CO2 fixation;Carboxysome	89
Carotenoids;Fatty Acids, Lipids, and Isoprenoids;Isoprenoids;Carotenoids	8
Chitin_and_N-acetylglucosamine_utilization;Carbohydrates;Aminosugars;Chitin_and_N-acetylglucosamine_utilization	8
Chlorobenzoate_degradation;Metabolism of Aromatic Compounds;Peripheral pathways for catabolism of aromatic compounds;Chlorobenzoate_degradation	3
Chlorophyll_Biosynthesis;Cofactors, Vitamins, Prosthetic Groups, Pigments;Tetrapyrroles;Chlorophyll_Biosynthesis	8
Cholesterol_catabolic_operon_in_Mycobacteria;Fatty Acids, Lipids, and Isoprenoids;-;Cholesterol_catabolic_operon_in_Mycobacteria	51
Choline_and_Betaine_Uptake_and_Betaine_Biosynthesis;Stress Response;Osmotic stress;Choline_and_Betaine_Uptake_and_Betaine_Biosynthesis	13
Chorismate:_Intermediate_for_synthesis_of_Tryptophan,_PAPA_antibiotics,_PABA,_3-hydroxyanthranilate_and_more.;Amino Acids and Derivatives;Aromatic amino acids and derivatives;Chorismate:_Intermediate_for_synthesis_of_Tryptophan,_PAPA_antibiotics,_PABA,_3-hydroxyanthranilate_and_more.	798
Chorismate_Synthesis;Amino Acids and Derivatives;Aromatic amino acids and derivatives;Chorismate_Synthesis	712
Citrate_Utilization_System_(CitAB,_CitH,_and_tctABC);Membrane Transport;-;Citrate_Utilization_System_(CitAB,_CitH,_and_tctABC)	278
ClpAS_cluster;Clustering-based subsystems;-;ClpAS_cluster	2303
Cluster-based_Subsystem_Grouping_Hypotheticals_-_perhaps_Proteosome_Related;Clustering-based subsystems;proteosome related;Cluster-based_Subsystem_Grouping_Hypotheticals_-_perhaps_Proteosome_Related	1171
Cluster_containing_CofD-like_protein_and_co-occuring_with_DNA_repair;Clustering-based subsystems;-;Cluster_containing_CofD-like_protein_and_co-occuring_with_DNA_repair	109
Cluster_with_phosphopentomutase_paralog;Clustering-based subsystems;-;Cluster_with_phosphopentomutase_paralog	1
Coenzyme_A_Biosynthesis;Cofactors, Vitamins, Prosthetic Groups, Pigments;Coenzyme A;Coenzyme_A_Biosynthesis	1635
Coenzyme_B12_biosynthesis;Cofactors, Vitamins, Prosthetic Groups, Pigments;Tetrapyrroles;Coenzyme_B12_biosynthesis	407
Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate);Amino Acids and Derivatives;Aromatic amino acids and derivatives;Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate)	712
