Subsystems.level3	mgm4637828.3
5-FCL-like_protein;Cofactors, Vitamins, Prosthetic Groups, Pigments;Folate and pterines;5-FCL-like_protein	11444
ATP-dependent_RNA_helicases,_bacterial;RNA Metabolism;RNA processing and modification;ATP-dependent_RNA_helicases,_bacterial	229
A_Gammaproteobacteria_Cluster_Relating_to_Translation;Clustering-based subsystems;Ribosome-related cluster;A_Gammaproteobacteria_Cluster_Relating_to_Translation	2009
Acetone_Butanol_Ethanol_Synthesis;Carbohydrates;Fermentation;Acetone_Butanol_Ethanol_Synthesis	117
Acetophenone_carboxylase_1;Metabolism of Aromatic Compounds;Anaerobic degradation of aromatic compounds;Acetophenone_carboxylase_1	36
Acetyl-CoA_fermentation_to_Butyrate;Carbohydrates;Fermentation;Acetyl-CoA_fermentation_to_Butyrate	54
Acyclic_terpenes_utilization;Fatty Acids, Lipids, and Isoprenoids;Isoprenoids;Acyclic_terpenes_utilization	95
Acyl_Homoserine_Lactone_(AHL)_Autoinducer_Quorum_Sensing_;Regulation and Cell signaling;Quorum sensing and biofilm formation;Acyl_Homoserine_Lactone_(AHL)_Autoinducer_Quorum_Sensing_	1
Agrobacterium_opine_transport;Membrane Transport;-;Agrobacterium_opine_transport	1
Alginate_metabolism;Cell Wall and Capsule;Capsular and extracellular polysacchrides;Alginate_metabolism	1
Alkanesulfonate_assimilation;Sulfur Metabolism;Organic sulfur assimilation;Alkanesulfonate_assimilation	1
Alkylphosphonate_utilization;Phosphorus Metabolism;-;Alkylphosphonate_utilization	93
Allantoin_Utilization;Nitrogen Metabolism;-;Allantoin_Utilization	408
Ammonia_assimilation;Nitrogen Metabolism;-;Ammonia_assimilation	11411
Anaerobic_respiratory_reductases;Respiration;Electron accepting reactions;Anaerobic_respiratory_reductases	47
Anaerobic_toluene_and_ethylbenzene_degradation;Metabolism of Aromatic Compounds;Anaerobic degradation of aromatic compounds;Anaerobic_toluene_and_ethylbenzene_degradation	36
Arginine_Biosynthesis_extended;Amino Acids and Derivatives;Arginine; urea cycle, polyamines;Arginine_Biosynthesis_extended	2594
Arginine_and_Ornithine_Degradation;Amino Acids and Derivatives;Arginine; urea cycle, polyamines;Arginine_and_Ornithine_Degradation	537
Aromatic_amino_acid_interconversions_with_aryl_acids;Amino Acids and Derivatives;Aromatic amino acids and derivatives;Aromatic_amino_acid_interconversions_with_aryl_acids	329
At2g23840;Miscellaneous;Plant-Prokaryote DOE project;At2g23840	3854
At4g10620_At3g57180_At3g47450;Miscellaneous;Plant-Prokaryote DOE project;At4g10620_At3g57180_At3g47450	1
At4g17370;Miscellaneous;Plant-Prokaryote DOE project;At4g17370	8
Autoinducer_2_(AI-2)_transport_and_processing_(lsrACDBFGE_operon);Regulation and Cell signaling;Quorum sensing and biofilm formation;Autoinducer_2_(AI-2)_transport_and_processing_(lsrACDBFGE_operon)	16
Auxin_biosynthesis;Secondary Metabolism;Plant Hormones;Auxin_biosynthesis	2584
Auxin_degradation;Secondary Metabolism;Plant Hormones;Auxin_degradation	2041
Bacillus_biofilm_matrix_protein_component_TasA_and_homologs;Dormancy and Sporulation;-;Bacillus_biofilm_matrix_protein_component_TasA_and_homologs	1
Bacterial_Cell_Division;Clustering-based subsystems;-;Bacterial_Cell_Division	9679
Bacterial_Cytoskeleton;Cell Division and Cell Cycle;-;Bacterial_Cytoskeleton	2472
Bacterial_cyanide_production_and_tolerance_mechanisms;Virulence, Disease and Defense;-;Bacterial_cyanide_production_and_tolerance_mechanisms	797
Benzoate_transport_and_degradation_cluster;Metabolism of Aromatic Compounds;-;Benzoate_transport_and_degradation_cluster	828
Beta-Glucoside_Metabolism;Carbohydrates;Di- and oligosaccharides;Beta-Glucoside_Metabolism	1
Beta-lactamase_cluster_in_Streptococcus;Clustering-based subsystems;Carbohydrates;Beta-lactamase_cluster_in_Streptococcus	164
Bile_hydrolysis;Virulence, Disease and Defense;Resistance to antibiotics and toxic compounds;Bile_hydrolysis	21
Branched-Chain_Amino_Acid_Biosynthesis;Amino Acids and Derivatives;Branched-chain amino acids;Branched-Chain_Amino_Acid_Biosynthesis	9483
Branched_chain_amino_acid_degradation_regulons;Amino Acids and Derivatives;Branched-chain amino acids;Branched_chain_amino_acid_degradation_regulons	3472
Butanol_Biosynthesis;Carbohydrates;Fermentation;Butanol_Biosynthesis	164
CBSS-176299.4.peg.1996A;Clustering-based subsystems;-;CBSS-176299.4.peg.1996A	216
CBSS-176299.4.peg.1996B;Clustering-based subsystems;-;CBSS-176299.4.peg.1996B	2636
CBSS-196164.1.peg.1690;Clustering-based subsystems;Cytochrome biogenesis;CBSS-196164.1.peg.1690	2921
CBSS-203122.12.peg.188;Phages, Prophages, Transposable elements, Plasmids;Transposable elements;CBSS-203122.12.peg.188	3
CBSS-222523.1.peg.1311;Clustering-based subsystems;Nucleotidyl-phosphate metabolic cluster;CBSS-222523.1.peg.1311	1
CBSS-243265.1.peg.198;Clustering-based subsystems;Translation;CBSS-243265.1.peg.198	795
CBSS-257314.1.peg.676;Clustering-based subsystems;Two related proteases;CBSS-257314.1.peg.676	2348
CBSS-258594.1.peg.3339;Clustering-based subsystems;Biosynthesis of galactoglycans and related lipopolysacharides;CBSS-258594.1.peg.3339	6
CBSS-288000.5.peg.1793;Clustering-based subsystems;Pyruvate kinase associated cluster;CBSS-288000.5.peg.1793	36
CBSS-316273.3.peg.2378;Clustering-based subsystems;-;CBSS-316273.3.peg.2378	39
CBSS-316273.3.peg.2709;Clustering-based subsystems;-;CBSS-316273.3.peg.2709	1
CBSS-342610.3.peg.1794;Clustering-based subsystems;-;CBSS-342610.3.peg.1794	1592
CBSS-344610.3.peg.2335;Clustering-based subsystems;Choline bitartrate degradation, putative;CBSS-344610.3.peg.2335	802
CBSS-350688.3.peg.1509;Clustering-based subsystems;-;CBSS-350688.3.peg.1509	4
CBSS-393131.3.peg.612;Clustering-based subsystems;-;CBSS-393131.3.peg.612	795
CBSS-52598.3.peg.2843;Clustering-based subsystems;alpha-proteobacterial cluster of hypotheticals;CBSS-52598.3.peg.2843	82
CBSS-56780.10.peg.1536;Clustering-based subsystems;-;CBSS-56780.10.peg.1536	1448
CBSS-83332.1.peg.3803;Clustering-based subsystems;-;CBSS-83332.1.peg.3803	3224
CO2_uptake,_carboxysome;Carbohydrates;CO2 fixation;CO2_uptake,_carboxysome	134
COG1565;Miscellaneous;Plant-Prokaryote DOE project;COG1565	1
COG2363;Miscellaneous;Plant-Prokaryote DOE project;COG2363	1845
COG3146_experimental;Miscellaneous;Plant-Prokaryote DOE project;COG3146_experimental	1
COG3533;Miscellaneous;Plant-Prokaryote DOE project;COG3533	1126
CO_Dehydrogenase;Respiration;Electron donating reactions;CO_Dehydrogenase	37
CRISPRs;DNA Metabolism;CRISPs;CRISPRs	2
CTP_synthase_(EC_6.3.4.2)_cluster;Clustering-based subsystems;-;CTP_synthase_(EC_6.3.4.2)_cluster	3436
Calvin-Benson_cycle;Carbohydrates;CO2 fixation;Calvin-Benson_cycle	178
Capsular_Polysaccharide_(CPS)_of_Campylobacter;Cell Wall and Capsule;Capsular and extracellular polysacchrides;Capsular_Polysaccharide_(CPS)_of_Campylobacter	1
Capsular_Polysaccharides_Biosynthesis_and_Assembly;Cell Wall and Capsule;Capsular and extracellular polysacchrides;Capsular_Polysaccharides_Biosynthesis_and_Assembly	1
Carbon_monoxide_induced_hydrogenase;Respiration;-;Carbon_monoxide_induced_hydrogenase	1
Carboxysome;Carbohydrates;CO2 fixation;Carboxysome	134
Carnitine_Metabolism_in_Microorganisms;Fatty Acids, Lipids, and Isoprenoids;Fatty acids;Carnitine_Metabolism_in_Microorganisms	1
Carotenoids;Fatty Acids, Lipids, and Isoprenoids;Isoprenoids;Carotenoids	7
Catechol_branch_of_beta-ketoadipate_pathway;Metabolism of Aromatic Compounds;Metabolism of central aromatic intermediates;Catechol_branch_of_beta-ketoadipate_pathway	805
Cell_division-ribosomal_stress_proteins_cluster;Clustering-based subsystems;-;Cell_division-ribosomal_stress_proteins_cluster	10969
Chlorobenzoate_degradation;Metabolism of Aromatic Compounds;Peripheral pathways for catabolism of aromatic compounds;Chlorobenzoate_degradation	4
Chlorophyll_Biosynthesis;Cofactors, Vitamins, Prosthetic Groups, Pigments;Tetrapyrroles;Chlorophyll_Biosynthesis	53
Cholesterol_catabolic_operon_in_Mycobacteria;Fatty Acids, Lipids, and Isoprenoids;-;Cholesterol_catabolic_operon_in_Mycobacteria	34
Choline_Transport;Membrane Transport;-;Choline_Transport	22
Choline_and_Betaine_Uptake_and_Betaine_Biosynthesis;Stress Response;Osmotic stress;Choline_and_Betaine_Uptake_and_Betaine_Biosynthesis	3
Chorismate:_Intermediate_for_synthesis_of_Tryptophan,_PAPA_antibiotics,_PABA,_3-hydroxyanthranilate_and_more.;Amino Acids and Derivatives;Aromatic amino acids and derivatives;Chorismate:_Intermediate_for_synthesis_of_Tryptophan,_PAPA_antibiotics,_PABA,_3-hydroxyanthranilate_and_more.	3588
Chorismate_Synthesis;Amino Acids and Derivatives;Aromatic amino acids and derivatives;Chorismate_Synthesis	936
