Subsystems.level3	mgm4637815.3
4-Hydroxyphenylacetic_acid_catabolic_pathway;Metabolism of Aromatic Compounds;Metabolism of central aromatic intermediates;4-Hydroxyphenylacetic_acid_catabolic_pathway	46
5-FCL-like_protein;Cofactors, Vitamins, Prosthetic Groups, Pigments;Folate and pterines;5-FCL-like_protein	5272
ABC-type_iron_transport_system;Iron acquisition and metabolism;-;ABC-type_iron_transport_system	5
ABC_transporter_[iron.B12.siderophore.hemin];Iron acquisition and metabolism;-;ABC_transporter_[iron.B12.siderophore.hemin]	8
ATP-dependent_RNA_helicases,_bacterial;RNA Metabolism;RNA processing and modification;ATP-dependent_RNA_helicases,_bacterial	177
A_Gammaproteobacteria_Cluster_Relating_to_Translation;Clustering-based subsystems;Ribosome-related cluster;A_Gammaproteobacteria_Cluster_Relating_to_Translation	1137
Acetone_Butanol_Ethanol_Synthesis;Carbohydrates;Fermentation;Acetone_Butanol_Ethanol_Synthesis	81
Acetone_carboxylase;Carbohydrates;-;Acetone_carboxylase	18
Acetyl-CoA_fermentation_to_Butyrate;Carbohydrates;Fermentation;Acetyl-CoA_fermentation_to_Butyrate	78
Acid_resistance_mechanisms;Stress Response;Acid stress;Acid_resistance_mechanisms	203
Acyclic_terpenes_utilization;Fatty Acids, Lipids, and Isoprenoids;Isoprenoids;Acyclic_terpenes_utilization	41
Acyl-CoA_thioesterase_II;Fatty Acids, Lipids, and Isoprenoids;Fatty acids;Acyl-CoA_thioesterase_II	11
Alginate_metabolism;Cell Wall and Capsule;Capsular and extracellular polysacchrides;Alginate_metabolism	1
Alkylphosphonate_utilization;Phosphorus Metabolism;-;Alkylphosphonate_utilization	79
Allantoin_Utilization;Nitrogen Metabolism;-;Allantoin_Utilization	200
Ammonia_assimilation;Nitrogen Metabolism;-;Ammonia_assimilation	7939
Anaerobic_benzoate_metabolism;Metabolism of Aromatic Compounds;Anaerobic degradation of aromatic compounds;Anaerobic_benzoate_metabolism	949
Anaerobic_respiratory_reductases;Respiration;Electron accepting reactions;Anaerobic_respiratory_reductases	82
Anthrose_Biosynthesis;Cell Wall and Capsule;Gram-Positive cell wall components;Anthrose_Biosynthesis	1
Archaeal_Flagellum;Motility and Chemotaxis;Flagellar motility in Prokaryota;Archaeal_Flagellum	1
Archaeal_lipids;Fatty Acids, Lipids, and Isoprenoids;Isoprenoids;Archaeal_lipids	1
Arginine_Biosynthesis_extended;Amino Acids and Derivatives;Arginine; urea cycle, polyamines;Arginine_Biosynthesis_extended	1454
Aromatic_amino_acid_degradation;Amino Acids and Derivatives;Aromatic amino acids and derivatives;Aromatic_amino_acid_degradation	61
Arsenic_resistance;Virulence, Disease and Defense;Resistance to antibiotics and toxic compounds;Arsenic_resistance	11
At1g10830;Miscellaneous;Plant-Prokaryote DOE project;At1g10830	1
At1g54520;Miscellaneous;Plant-Prokaryote DOE project;At1g54520	5
At2g23840;Miscellaneous;Plant-Prokaryote DOE project;At2g23840	1137
At4g10620_At3g57180_At3g47450;Miscellaneous;Plant-Prokaryote DOE project;At4g10620_At3g57180_At3g47450	2
At5g04520_AT1G06240;Miscellaneous;Plant-Prokaryote DOE project;At5g04520_AT1G06240	13
At5g11840_At5g67370;Miscellaneous;Plant-Prokaryote DOE project;At5g11840_At5g67370	1
At5g38900;Miscellaneous;Plant-Prokaryote DOE project;At5g38900	3
Autoinducer_2_(AI-2)_transport_and_processing_(lsrACDBFGE_operon);Regulation and Cell signaling;Quorum sensing and biofilm formation;Autoinducer_2_(AI-2)_transport_and_processing_(lsrACDBFGE_operon)	6
Auxin_biosynthesis;Secondary Metabolism;Plant Hormones;Auxin_biosynthesis	1482
Auxin_degradation;Secondary Metabolism;Plant Hormones;Auxin_degradation	1215
Bacitracin_Stress_Response;Virulence, Disease and Defense;Bacteriocins, ribosomally synthesized antibacterial peptides;Bacitracin_Stress_Response	2
Bacterial_Cell_Division;Clustering-based subsystems;-;Bacterial_Cell_Division	7066
Bacterial_Cytoskeleton;Cell Division and Cell Cycle;-;Bacterial_Cytoskeleton	2776
Bacterial_cyanide_production_and_tolerance_mechanisms;Virulence, Disease and Defense;-;Bacterial_cyanide_production_and_tolerance_mechanisms	518
Bacterial_signal_recognition_particle_(SRP);Membrane Transport;Protein translocation across cytoplasmic membrane;Bacterial_signal_recognition_particle_(SRP)	1
Benzoate_catabolism;Metabolism of Aromatic Compounds;Peripheral pathways for catabolism of aromatic compounds;Benzoate_catabolism	9
Benzoate_degradation;Metabolism of Aromatic Compounds;Peripheral pathways for catabolism of aromatic compounds;Benzoate_degradation	9
Benzoate_transport_and_degradation_cluster;Metabolism of Aromatic Compounds;-;Benzoate_transport_and_degradation_cluster	519
Beta-Glucoside_Metabolism;Carbohydrates;Di- and oligosaccharides;Beta-Glucoside_Metabolism	70
Beta-lactamase_cluster_in_Streptococcus;Clustering-based subsystems;Carbohydrates;Beta-lactamase_cluster_in_Streptococcus	58
Biogenesis_of_cbb3-type_cytochrome_c_oxidases;Respiration;-;Biogenesis_of_cbb3-type_cytochrome_c_oxidases	35
Biotin_biosynthesis;Cofactors, Vitamins, Prosthetic Groups, Pigments;Biotin;Biotin_biosynthesis	413
Biotin_biosynthesis_Experimental;Miscellaneous;Plant-Prokaryote DOE project;Biotin_biosynthesis_Experimental	413
Biphenyl_Degradation;Metabolism of Aromatic Compounds;Peripheral pathways for catabolism of aromatic compounds;Biphenyl_Degradation	97
Branched-Chain_Amino_Acid_Biosynthesis;Amino Acids and Derivatives;Branched-chain amino acids;Branched-Chain_Amino_Acid_Biosynthesis	5332
Branched_chain_amino_acid_degradation_regulons;Amino Acids and Derivatives;Branched-chain amino acids;Branched_chain_amino_acid_degradation_regulons	2783
Butanol_Biosynthesis;Carbohydrates;Fermentation;Butanol_Biosynthesis	58
CBSS-101031.3.peg.1876;Clustering-based subsystems;-;CBSS-101031.3.peg.1876	1
CBSS-176280.1.peg.1561;Clustering-based subsystems;-;CBSS-176280.1.peg.1561	1
