Subsystems.level3	mgm4637824.3
2-isocapryloyl-3R-hydroxymethyl-gamma-butyrolactone_and_other_bacterial_morphogens;Secondary Metabolism;Bacterial cytostatics, differentiation factors and antibiotics;2-isocapryloyl-3R-hydroxymethyl-gamma-butyrolactone_and_other_bacterial_morphogens	1
5-FCL-like_protein;Cofactors, Vitamins, Prosthetic Groups, Pigments;Folate and pterines;5-FCL-like_protein	14383
Acetone_Butanol_Ethanol_Synthesis;Carbohydrates;Fermentation;Acetone_Butanol_Ethanol_Synthesis	152
Acetophenone_carboxylase_1;Metabolism of Aromatic Compounds;Anaerobic degradation of aromatic compounds;Acetophenone_carboxylase_1	19
Acetyl-CoA_fermentation_to_Butyrate;Carbohydrates;Fermentation;Acetyl-CoA_fermentation_to_Butyrate	150
Acyl_Homoserine_Lactone_(AHL)_Autoinducer_Quorum_Sensing_;Regulation and Cell signaling;Quorum sensing and biofilm formation;Acyl_Homoserine_Lactone_(AHL)_Autoinducer_Quorum_Sensing_	2
Adenosyl_nucleosidases;Nucleosides and Nucleotides;-;Adenosyl_nucleosidases	1
Alcaligin_Siderophore;Iron acquisition and metabolism;Siderophores;Alcaligin_Siderophore	2
Alkylphosphonate_utilization;Phosphorus Metabolism;-;Alkylphosphonate_utilization	329
Allantoin_Utilization;Nitrogen Metabolism;-;Allantoin_Utilization	860
Ammonia_assimilation;Nitrogen Metabolism;-;Ammonia_assimilation	313
Anaerobic_benzoate_metabolism;Metabolism of Aromatic Compounds;Anaerobic degradation of aromatic compounds;Anaerobic_benzoate_metabolism	1
Anaerobic_toluene_and_ethylbenzene_degradation;Metabolism of Aromatic Compounds;Anaerobic degradation of aromatic compounds;Anaerobic_toluene_and_ethylbenzene_degradation	19
Archaeal_membrane_bound_hydrogenases;Respiration;Reverse electron transport;Archaeal_membrane_bound_hydrogenases	1
Arsenic_resistance;Virulence, Disease and Defense;Resistance to antibiotics and toxic compounds;Arsenic_resistance	34
At1g54520;Miscellaneous;Plant-Prokaryote DOE project;At1g54520	5
At4g10620_At3g57180_At3g47450;Miscellaneous;Plant-Prokaryote DOE project;At4g10620_At3g57180_At3g47450	1
At5g48545_and_At3g56490_At1g31160;Miscellaneous;Plant-Prokaryote DOE project;At5g48545_and_At3g56490_At1g31160	3
Autoinducer_2_(AI-2)_transport_and_processing_(lsrACDBFGE_operon);Regulation and Cell signaling;Quorum sensing and biofilm formation;Autoinducer_2_(AI-2)_transport_and_processing_(lsrACDBFGE_operon)	30
Auxin_degradation;Secondary Metabolism;Plant Hormones;Auxin_degradation	4561
Bacterial_RNA-metabolizing_Zn-dependent_hydrolases;Clustering-based subsystems;-;Bacterial_RNA-metabolizing_Zn-dependent_hydrolases	1
Beta-lactamase_cluster_in_Streptococcus;Clustering-based subsystems;Carbohydrates;Beta-lactamase_cluster_in_Streptococcus	296
Bilin_Biosynthesis;Cofactors, Vitamins, Prosthetic Groups, Pigments;Tetrapyrroles;Bilin_Biosynthesis	2
Biogenesis_of_cbb3-type_cytochrome_c_oxidases;Respiration;-;Biogenesis_of_cbb3-type_cytochrome_c_oxidases	86
Biogenesis_of_cytochrome_c_oxidases;Respiration;-;Biogenesis_of_cytochrome_c_oxidases	1
Branched-Chain_Amino_Acid_Biosynthesis;Amino Acids and Derivatives;Branched-chain amino acids;Branched-Chain_Amino_Acid_Biosynthesis	4380
Branched_chain_amino_acid_degradation_regulons;Amino Acids and Derivatives;Branched-chain amino acids;Branched_chain_amino_acid_degradation_regulons	6923
Butanol_Biosynthesis;Carbohydrates;Fermentation;Butanol_Biosynthesis	298
CBSS-176280.1.peg.1561;Clustering-based subsystems;-;CBSS-176280.1.peg.1561	2
CBSS-176299.4.peg.1996B;Clustering-based subsystems;-;CBSS-176299.4.peg.1996B	5896
CBSS-196164.1.peg.1690;Clustering-based subsystems;Cytochrome biogenesis;CBSS-196164.1.peg.1690	6800
CBSS-257314.1.peg.676;Clustering-based subsystems;Two related proteases;CBSS-257314.1.peg.676	5531
CBSS-288000.5.peg.1793;Clustering-based subsystems;Pyruvate kinase associated cluster;CBSS-288000.5.peg.1793	76
CBSS-316273.3.peg.2378;Clustering-based subsystems;-;CBSS-316273.3.peg.2378	84
