Subsystems.level3	mgm4637820.3
5-FCL-like_protein;Cofactors, Vitamins, Prosthetic Groups, Pigments;Folate and pterines;5-FCL-like_protein	7712
ABC-type_iron_transport_system;Iron acquisition and metabolism;-;ABC-type_iron_transport_system	1
ATP-dependent_RNA_helicases,_bacterial;RNA Metabolism;RNA processing and modification;ATP-dependent_RNA_helicases,_bacterial	163
A_Gammaproteobacteria_Cluster_Relating_to_Translation;Clustering-based subsystems;Ribosome-related cluster;A_Gammaproteobacteria_Cluster_Relating_to_Translation	1338
Acetone_Butanol_Ethanol_Synthesis;Carbohydrates;Fermentation;Acetone_Butanol_Ethanol_Synthesis	73
Acetone_carboxylase;Carbohydrates;-;Acetone_carboxylase	35
Acetophenone_carboxylase_1;Metabolism of Aromatic Compounds;Anaerobic degradation of aromatic compounds;Acetophenone_carboxylase_1	97
Acid_resistance_mechanisms;Stress Response;Acid stress;Acid_resistance_mechanisms	255
Acyclic_terpenes_utilization;Fatty Acids, Lipids, and Isoprenoids;Isoprenoids;Acyclic_terpenes_utilization	35
Acyl-CoA_thioesterase_II;Fatty Acids, Lipids, and Isoprenoids;Fatty acids;Acyl-CoA_thioesterase_II	10
Acyl_Homoserine_Lactone_(AHL)_Autoinducer_Quorum_Sensing_;Regulation and Cell signaling;Quorum sensing and biofilm formation;Acyl_Homoserine_Lactone_(AHL)_Autoinducer_Quorum_Sensing_	4
Adhesion_of_Campylobacter;Virulence, Disease and Defense;Adhesion;Adhesion_of_Campylobacter	1
Agrobacterium_opine_transport;Membrane Transport;-;Agrobacterium_opine_transport	2
Alginate_metabolism;Cell Wall and Capsule;Capsular and extracellular polysacchrides;Alginate_metabolism	1
Alkylphosphonate_utilization;Phosphorus Metabolism;-;Alkylphosphonate_utilization	91
Allantoin_Utilization;Nitrogen Metabolism;-;Allantoin_Utilization	332
Ammonia_assimilation;Nitrogen Metabolism;-;Ammonia_assimilation	9715
Anaerobic_Oxidative_Degradation_of_L-Ornithine;Amino Acids and Derivatives;Arginine; urea cycle, polyamines;Anaerobic_Oxidative_Degradation_of_L-Ornithine	9
Anaerobic_benzoate_metabolism;Metabolism of Aromatic Compounds;Anaerobic degradation of aromatic compounds;Anaerobic_benzoate_metabolism	1372
Anaerobic_respiratory_reductases;Respiration;Electron accepting reactions;Anaerobic_respiratory_reductases	105
Anaerobic_toluene_and_ethylbenzene_degradation;Metabolism of Aromatic Compounds;Anaerobic degradation of aromatic compounds;Anaerobic_toluene_and_ethylbenzene_degradation	97
Archaeal_Flagellum;Motility and Chemotaxis;Flagellar motility in Prokaryota;Archaeal_Flagellum	2
Arginine_Biosynthesis_extended;Amino Acids and Derivatives;Arginine; urea cycle, polyamines;Arginine_Biosynthesis_extended	1516
Arginine_and_Ornithine_Degradation;Amino Acids and Derivatives;Arginine; urea cycle, polyamines;Arginine_and_Ornithine_Degradation	306
Aromatic_amino_acid_interconversions_with_aryl_acids;Amino Acids and Derivatives;Aromatic amino acids and derivatives;Aromatic_amino_acid_interconversions_with_aryl_acids	223
Arsenic_resistance;Virulence, Disease and Defense;Resistance to antibiotics and toxic compounds;Arsenic_resistance	11
At1g54520;Miscellaneous;Plant-Prokaryote DOE project;At1g54520	1
At2g23840;Miscellaneous;Plant-Prokaryote DOE project;At2g23840	1338
At4g10620_At3g57180_At3g47450;Miscellaneous;Plant-Prokaryote DOE project;At4g10620_At3g57180_At3g47450	1
At5g04520_AT1G06240;Miscellaneous;Plant-Prokaryote DOE project;At5g04520_AT1G06240	37
At5g48545_and_At3g56490_At1g31160;Miscellaneous;Plant-Prokaryote DOE project;At5g48545_and_At3g56490_At1g31160	1
Autoinducer_2_(AI-2)_transport_and_processing_(lsrACDBFGE_operon);Regulation and Cell signaling;Quorum sensing and biofilm formation;Autoinducer_2_(AI-2)_transport_and_processing_(lsrACDBFGE_operon)	1
Auxin_biosynthesis;Secondary Metabolism;Plant Hormones;Auxin_biosynthesis	1678
Auxin_degradation;Secondary Metabolism;Plant Hormones;Auxin_degradation	1317
Bacterial_Cell_Division;Clustering-based subsystems;-;Bacterial_Cell_Division	8450
Bacterial_Chemotaxis;Motility and Chemotaxis;-;Bacterial_Chemotaxis	110
