Subsystems.level3	mgm4637826.3
2-Ketogluconate_Utilization;Carbohydrates;Monosaccharides;2-Ketogluconate_Utilization	1
2-isocapryloyl-3R-hydroxymethyl-gamma-butyrolactone_and_other_bacterial_morphogens;Secondary Metabolism;Bacterial cytostatics, differentiation factors and antibiotics;2-isocapryloyl-3R-hydroxymethyl-gamma-butyrolactone_and_other_bacterial_morphogens	22
5-FCL-like_protein;Cofactors, Vitamins, Prosthetic Groups, Pigments;Folate and pterines;5-FCL-like_protein	4609
ATP-dependent_RNA_helicases,_bacterial;RNA Metabolism;RNA processing and modification;ATP-dependent_RNA_helicases,_bacterial	135
A_Gram-positive_cluster_that_relates_ribosomal_protein_L28P_to_a_set_of_uncharacterized_proteins;Clustering-based subsystems;Ribosomal Protein L28P relates to a set of uncharacterized proteins;A_Gram-positive_cluster_that_relates_ribosomal_protein_L28P_to_a_set_of_uncharacterized_proteins	1
Acetone_Butanol_Ethanol_Synthesis;Carbohydrates;Fermentation;Acetone_Butanol_Ethanol_Synthesis	48
Acetophenone_carboxylase_1;Metabolism of Aromatic Compounds;Anaerobic degradation of aromatic compounds;Acetophenone_carboxylase_1	17
Acetyl-CoA_fermentation_to_Butyrate;Carbohydrates;Fermentation;Acetyl-CoA_fermentation_to_Butyrate	25
Acyclic_terpenes_utilization;Fatty Acids, Lipids, and Isoprenoids;Isoprenoids;Acyclic_terpenes_utilization	38
Acyl-CoA_thioesterase_II;Fatty Acids, Lipids, and Isoprenoids;Fatty acids;Acyl-CoA_thioesterase_II	13
Adhesion_of_Campylobacter;Virulence, Disease and Defense;Adhesion;Adhesion_of_Campylobacter	1
Alginate_metabolism;Cell Wall and Capsule;Capsular and extracellular polysacchrides;Alginate_metabolism	1
Alkylphosphonate_utilization;Phosphorus Metabolism;-;Alkylphosphonate_utilization	27
Allantoin_Utilization;Nitrogen Metabolism;-;Allantoin_Utilization	190
Aminoglycoside_adenylyltransferases;Virulence, Disease and Defense;Resistance to antibiotics and toxic compounds;Aminoglycoside_adenylyltransferases	1
Ammonia_assimilation;Nitrogen Metabolism;-;Ammonia_assimilation	5521
Anaerobic_respiratory_reductases;Respiration;Electron accepting reactions;Anaerobic_respiratory_reductases	43
Anaerobic_toluene_and_ethylbenzene_degradation;Metabolism of Aromatic Compounds;Anaerobic degradation of aromatic compounds;Anaerobic_toluene_and_ethylbenzene_degradation	17
Arginine_and_Ornithine_Degradation;Amino Acids and Derivatives;Arginine; urea cycle, polyamines;Arginine_and_Ornithine_Degradation	307
Arsenic_resistance;Virulence, Disease and Defense;Resistance to antibiotics and toxic compounds;Arsenic_resistance	11
At1g33290_At1g73170_At3g10420;Miscellaneous;Plant-Prokaryote DOE project;At1g33290_At1g73170_At3g10420	1
At1g54520;Miscellaneous;Plant-Prokaryote DOE project;At1g54520	2
At5g37530;Miscellaneous;Plant-Prokaryote DOE project;At5g37530	2
Autoinducer_2_(AI-2)_transport_and_processing_(lsrACDBFGE_operon);Regulation and Cell signaling;Quorum sensing and biofilm formation;Autoinducer_2_(AI-2)_transport_and_processing_(lsrACDBFGE_operon)	9
Auxin_biosynthesis;Secondary Metabolism;Plant Hormones;Auxin_biosynthesis	1265
Auxin_degradation;Secondary Metabolism;Plant Hormones;Auxin_degradation	1156
Bacitracin_Stress_Response;Virulence, Disease and Defense;Bacteriocins, ribosomally synthesized antibacterial peptides;Bacitracin_Stress_Response	1
Bacterial_Chemotaxis;Motility and Chemotaxis;-;Bacterial_Chemotaxis	114
Bacterial_cyanide_production_and_tolerance_mechanisms;Virulence, Disease and Defense;-;Bacterial_cyanide_production_and_tolerance_mechanisms	379
Benzoate_transport_and_degradation_cluster;Metabolism of Aromatic Compounds;-;Benzoate_transport_and_degradation_cluster	23
Beta-Glucoside_Metabolism;Carbohydrates;Di- and oligosaccharides;Beta-Glucoside_Metabolism	51
Beta-lactamase;Virulence, Disease and Defense;Resistance to antibiotics and toxic compounds;Beta-lactamase	2
Beta-lactamase_cluster_in_Streptococcus;Clustering-based subsystems;Carbohydrates;Beta-lactamase_cluster_in_Streptococcus	85
Biogenesis_of_cbb3-type_cytochrome_c_oxidases;Respiration;-;Biogenesis_of_cbb3-type_cytochrome_c_oxidases	16
Biphenyl_Degradation;Metabolism of Aromatic Compounds;Peripheral pathways for catabolism of aromatic compounds;Biphenyl_Degradation	1
