Subsystems.level3	mgm4637810.3
2-Ketogluconate_Utilization;Carbohydrates;Monosaccharides;2-Ketogluconate_Utilization	14
5-FCL-like_protein;Cofactors, Vitamins, Prosthetic Groups, Pigments;Folate and pterines;5-FCL-like_protein	3961
A_Gammaproteobacteria_Cluster_Relating_to_Translation;Clustering-based subsystems;Ribosome-related cluster;A_Gammaproteobacteria_Cluster_Relating_to_Translation	898
Acetone_Butanol_Ethanol_Synthesis;Carbohydrates;Fermentation;Acetone_Butanol_Ethanol_Synthesis	26
Acetone_carboxylase;Carbohydrates;-;Acetone_carboxylase	13
Acetophenone_carboxylase_1;Metabolism of Aromatic Compounds;Anaerobic degradation of aromatic compounds;Acetophenone_carboxylase_1	39
Acetyl-CoA_fermentation_to_Butyrate;Carbohydrates;Fermentation;Acetyl-CoA_fermentation_to_Butyrate	26
Acyclic_terpenes_utilization;Fatty Acids, Lipids, and Isoprenoids;Isoprenoids;Acyclic_terpenes_utilization	21
Agrobacterium_opine_transport;Membrane Transport;-;Agrobacterium_opine_transport	3
Alginate_metabolism;Cell Wall and Capsule;Capsular and extracellular polysacchrides;Alginate_metabolism	1
Alkylphosphonate_utilization;Phosphorus Metabolism;-;Alkylphosphonate_utilization	63
Allantoin_Utilization;Nitrogen Metabolism;-;Allantoin_Utilization	160
Ammonia_assimilation;Nitrogen Metabolism;-;Ammonia_assimilation	4926
Anaerobic_benzoate_metabolism;Metabolism of Aromatic Compounds;Anaerobic degradation of aromatic compounds;Anaerobic_benzoate_metabolism	2
Anaerobic_respiratory_reductases;Respiration;Electron accepting reactions;Anaerobic_respiratory_reductases	30
Anaerobic_toluene_and_ethylbenzene_degradation;Metabolism of Aromatic Compounds;Anaerobic degradation of aromatic compounds;Anaerobic_toluene_and_ethylbenzene_degradation	39
Archaeal_membrane_bound_hydrogenases;Respiration;Reverse electron transport;Archaeal_membrane_bound_hydrogenases	1
Arginine_and_Ornithine_Degradation;Amino Acids and Derivatives;Arginine; urea cycle, polyamines;Arginine_and_Ornithine_Degradation	202
Aromatic_amino_acid_degradation;Amino Acids and Derivatives;Aromatic amino acids and derivatives;Aromatic_amino_acid_degradation	26
Arsenic_resistance;Virulence, Disease and Defense;Resistance to antibiotics and toxic compounds;Arsenic_resistance	84
At1g10830;Miscellaneous;Plant-Prokaryote DOE project;At1g10830	1
At1g33290_At1g73170_At3g10420;Miscellaneous;Plant-Prokaryote DOE project;At1g33290_At1g73170_At3g10420	76
At1g54520;Miscellaneous;Plant-Prokaryote DOE project;At1g54520	2
At2g23840;Miscellaneous;Plant-Prokaryote DOE project;At2g23840	898
At4g17370;Miscellaneous;Plant-Prokaryote DOE project;At4g17370	1
