Taxon	
mgm4637811.3	
ABC transporters	41839	
ATP synthases	9722	
Acid stress	2453	
Adhesion	1970	
Alanine, serine, and glycine	47269	
Aminosugars	10539	
Anaerobic degradation of aromatic compounds	13473	
Arginine; urea cycle, polyamines	54471	
Aromatic amino acids and derivatives	42671	
Bacterial cytostatics, differentiation factors and antibiotics	1386	
Bacteriocins, ribosomally synthesized antibacterial peptides	526	
Biologically active compounds in metazoan cell defence and differentiation	6090	
Biosynthesis of galactoglycans and related lipopolysacharides	25547	
Biosynthesis of phenylpropanoids	1031	
Biotin	26409	
Branched-chain amino acids	91759	
CO2 fixation	54340	
CRISPRs and associated hypotheticals	230	
CRISPs	502	
Capsular and extracellular polysacchrides	58951	
Carbohydrates	4251	
Carotenoid biosynthesis	1680	
Catabolism of an unknown compound	2142	
Cell Division	20110	
Cell wall of Mycobacteria	19429	
Central carbohydrate metabolism	187085	
Chemotaxis, response regulators	440	
Choline bitartrate degradation, putative	3320	
Chromosome Replication	1443	
Clustering-based subsystems	23171	
Coenzyme A	10989	
Coenzyme B	17	
Coenzyme F420	3169	
Coenzyme M	638	
Cold shock	1305	
Cytochrome biogenesis	16136	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	2915	
DNA metabolism	216	
DNA polymerase III epsilon cluster	2725	
DNA recombination	4873	
DNA repair	89694	
DNA replication	81529	
DNA uptake, competence	4297	
Dessication stress	6	
Detection	14265	
Detoxification	9479	
Di- and oligosaccharides	60760	
Electron accepting reactions	33346	
Electron donating reactions	72684	
Electron transport and photophosphorylation	63	
Fatty acid metabolic cluster	39761	
Fatty acids	75127	
Fermentation	49920	
Flagella protein?	632	
Flagellar motility in Prokaryota	21387	
Folate and pterines	156609	
Gene Transfer Agent (GTA)	632	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	46474	
Glycoside hydrolases	1905	
Gram-Negative cell wall components	34365	
Gram-Positive cell wall components	6521	
Heat shock	22668	
Histidine Metabolism	18220	
Hypothetical Related to Dihydroorate Dehydrogenase	853	
Hypothetical associated with RecF	754	
Hypothetical in Lysine biosynthetic cluster	3490	
Hypothetical lipase related to Phosphatidate metabolism	2212	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	4560	
Inorganic sulfur assimilation	18486	
Invasion and intracellular resistance	391	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	10397	
Isoprenoids	30932	
Light-harvesting complexes	11	
Lipid-derived mediators	184	
Lipoic acid	3009	
Lysine Biosynthesis	744	
Lysine, threonine, methionine, and cysteine	117068	
Metabolism of central aromatic intermediates	26348	
Methylamine utilization	15408	
Molybdopterin oxidoreductase	3952	
Monosaccharides	77287	
NAD and NADP	20236	
Nucleotidyl-phosphate metabolic cluster	17796	
One-carbon Metabolism	93749	
Organic acids	43214	
Organic sulfur assimilation	17369	
Osmotic stress	16305	
Oxidative stress	44838	
Pathogenicity islands	12278	
Peripheral pathways for catabolism of aromatic compounds	45577	
Periplasmic Stress	3106	
Phages, Prophages	35564	
Phosphate metabolism	5301	
Phospholipids	29630	
Plant Alkaloids	892	
Plant Hormones	10025	
Plant Octadecanoids	23	
Plant-Prokaryote DOE project	319386	
Plasmid related functions	396	
Polysaccharides	20713	
Probably GTP or GMP signaling related	7947	
Probably Pyrimidine biosynthesis-related	2338	
Probably Ybbk-related hypothetical membrane proteins	1441	
Probably organic hydroperoxide resistance related hypothetical protein	950	
Programmed Cell Death and Toxin-antitoxin Systems	2093	
Proline and 4-hydroxyproline	15264	
Proteasome related clusters	101	
Protein and nucleoprotein secretion system, Type IV	6469	
Protein biosynthesis	179110	
Protein degradation	53416	
Protein export?	11374	
Protein folding	29931	
Protein processing and modification	47382	
Protein secretion system, Type I	708	
Protein secretion system, Type II	13378	
Protein secretion system, Type III	589	
Protein secretion system, Type V	126	
Protein secretion system, Type VI	10950	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	61	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	1042	
Protein translocation across cytoplasmic membrane	17147	
Proteolytic pathway	61	
Purines	61689	
Putative GGDEF domain protein related to agglutinin secretion	283	
Putative Isoquinoline 1-oxidoreductase subunit	6004	
Putative asociate of RNA polymerase sigma-54 factor rpoN	12195	
Putrescine/GABA utilization cluster-temporal,to add to SSs	4205	
Pyridoxine	17545	
Pyrimidines	47791	
Pyruvate kinase associated cluster	3396	
Quinone cofactors	17017	
Quorum sensing and biofilm formation	3515	
RNA processing and modification	104049	
Recombination related cluster	1461	
Regulation of virulence	10827	
Related to Menaquinone-cytochrome C reductase 	470	
Resistance to antibiotics and toxic compounds	79462	
Reverse electron transport	152	
Riboflavin, FMN, FAD	8247	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	7188	
Ribosome-related cluster	7467	
Sarcosine oxidase	2279	
Selenoproteins	16425	
Shiga toxin cluster	3683	
Siderophores	5279	
Signal transduction in Eukaryotes	6	
Social motility and nonflagellar swimming in bacteria	60	
Sodium Ion-Coupled Energetics	596	
Sugar Phosphotransferase Systems, PTS	1917	
Sugar alcohols	27095	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	7847	
Tetrapyrroles	26952	
Three hypotheticals linked to lipoprotein biosynthesis	1553	
TldD cluster	3822	
Toxins and superantigens	480	
Transcription	46809	
Translation	6297	
Transposable elements	5382	
Triacylglycerols	528	
Tricarboxylate transporter	8738	
Two related proteases	6860	
Uni- Sym- and Antiporters	3965	
alpha-proteobacterial cluster of hypotheticals	1050	
proteosome related	4421	
recX and regulatory cluster	2002	
tRNA sulfuration	2697	

