Taxon	
mgm4664926.3	
ABC transporters	17682	
ATP synthases	7970	
Acid stress	1814	
Adhesion	1804	
Alanine, serine, and glycine	30029	
Aminosugars	8380	
Anaerobic degradation of aromatic compounds	9532	
Arginine; urea cycle, polyamines	34624	
Aromatic amino acids and derivatives	31026	
Bacterial cytostatics, differentiation factors and antibiotics	1045	
Bacteriocins, ribosomally synthesized antibacterial peptides	266	
Biologically active compounds in metazoan cell defence and differentiation	5052	
Biosynthesis of galactoglycans and related lipopolysacharides	18801	
Biosynthesis of phenylpropanoids	783	
Biotin	17963	
Branched-chain amino acids	62498	
CO2 fixation	37699	
CRISPRs and associated hypotheticals	396	
CRISPs	891	
Capsular and extracellular polysacchrides	42567	
Carbohydrates	3035	
Carotenoid biosynthesis	2683	
Catabolism of an unknown compound	666	
Cell Division	13211	
Cell wall of Mycobacteria	15218	
Central carbohydrate metabolism	143524	
Chemotaxis, response regulators	310	
Choline bitartrate degradation, putative	2482	
Chromosome Replication	2565	
Clustering-based subsystems	14251	
Coenzyme A	7962	
Coenzyme B	21	
Coenzyme F420	1903	
Coenzyme M	325	
Cold shock	1023	
Cytochrome biogenesis	11156	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	1321	
DNA metabolism	65	
DNA polymerase III epsilon cluster	1788	
DNA recombination	3114	
DNA repair	57155	
DNA replication	51367	
DNA uptake, competence	2825	
Dessication stress	3	
Detection	9990	
Detoxification	5186	
Di- and oligosaccharides	56514	
Electron accepting reactions	32616	
Electron donating reactions	63918	
Electron transport and photophosphorylation	29	
Fatty acid metabolic cluster	28576	
Fatty acids	53957	
Fermentation	45249	
Flagella protein?	1042	
Flagellar motility in Prokaryota	24683	
Folate and pterines	100869	
Gene Transfer Agent (GTA)	125	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	30390	
Glycoside hydrolases	1387	
Gram-Negative cell wall components	29793	
Gram-Positive cell wall components	4731	
Heat shock	15839	
Histidine Metabolism	12271	
Hypothetical Related to Dihydroorate Dehydrogenase	891	
Hypothetical associated with RecF	348	
Hypothetical in Lysine biosynthetic cluster	2292	
Hypothetical lipase related to Phosphatidate metabolism	1536	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	3089	
