Taxon	
mgm4664905.3	
ABC transporters	18800	
ATP synthases	4455	
Acid stress	1092	
Adhesion	1158	
Alanine, serine, and glycine	19975	
Aminosugars	4030	
Anaerobic degradation of aromatic compounds	7399	
Arginine; urea cycle, polyamines	25280	
Aromatic amino acids and derivatives	20288	
Bacterial cytostatics, differentiation factors and antibiotics	586	
Bacteriocins, ribosomally synthesized antibacterial peptides	232	
Biologically active compounds in metazoan cell defence and differentiation	2479	
Biosynthesis of galactoglycans and related lipopolysacharides	11930	
Biosynthesis of phenylpropanoids	754	
Biotin	14464	
Branched-chain amino acids	45997	
CO2 fixation	26600	
CRISPRs and associated hypotheticals	248	
CRISPs	598	
Capsular and extracellular polysacchrides	26670	
Carbohydrates	2323	
Carotenoid biosynthesis	2043	
Catabolism of an unknown compound	508	
Cell Division	7951	
Cell wall of Mycobacteria	11647	
Central carbohydrate metabolism	91578	
Chemotaxis, response regulators	222	
Choline bitartrate degradation, putative	1852	
Chromosome Replication	1236	
Clustering-based subsystems	10370	
Coenzyme A	4953	
Coenzyme B	18	
Coenzyme F420	1569	
Coenzyme M	320	
Cold shock	716	
Cytochrome biogenesis	6742	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	784	
DNA metabolism	77	
DNA polymerase III epsilon cluster	1161	
DNA recombination	2129	
DNA repair	38154	
DNA replication	33458	
DNA uptake, competence	1686	
Dessication stress	4	
Detection	6722	
Detoxification	4236	
Di- and oligosaccharides	29646	
Electron accepting reactions	21201	
Electron donating reactions	37472	
Electron transport and photophosphorylation	13	
Fatty acid metabolic cluster	20576	
Fatty acids	43007	
Fermentation	31550	
Flagella protein?	511	
Flagellar motility in Prokaryota	12936	
Folate and pterines	68573	
Gene Transfer Agent (GTA)	218	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	20666	
Glycoside hydrolases	1104	
Gram-Negative cell wall components	19512	
Gram-Positive cell wall components	2976	
Heat shock	10165	
Histidine Metabolism	7827	
Hypothetical Related to Dihydroorate Dehydrogenase	474	
Hypothetical associated with RecF	282	
Hypothetical in Lysine biosynthetic cluster	1651	
Hypothetical lipase related to Phosphatidate metabolism	901	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	1972	
