Taxon	
mgm4664891.3	
ABC transporters	32141	
ATP synthases	7540	
Acid stress	1458	
Adhesion	1230	
Alanine, serine, and glycine	36924	
Aminosugars	8775	
Anaerobic degradation of aromatic compounds	11249	
Arginine; urea cycle, polyamines	40801	
Aromatic amino acids and derivatives	31722	
Bacterial cytostatics, differentiation factors and antibiotics	1216	
Bacteriocins, ribosomally synthesized antibacterial peptides	359	
Biologically active compounds in metazoan cell defence and differentiation	5030	
Biosynthesis of galactoglycans and related lipopolysacharides	19056	
Biosynthesis of phenylpropanoids	1077	
Biotin	20438	
Branched-chain amino acids	72753	
CO2 fixation	45061	
CRISPRs and associated hypotheticals	364	
CRISPs	604	
Capsular and extracellular polysacchrides	42106	
Carbohydrates	4804	
Carotenoid biosynthesis	1567	
Catabolism of an unknown compound	2217	
Cell Division	15390	
Cell wall of Mycobacteria	14992	
Central carbohydrate metabolism	159047	
Chemotaxis, response regulators	295	
Choline bitartrate degradation, putative	2294	
Chromosome Replication	1455	
Clustering-based subsystems	18398	
Coenzyme A	8266	
Coenzyme B	11	
Coenzyme F420	3142	
Coenzyme M	486	
Cold shock	1397	
Cytochrome biogenesis	13634	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	2717	
DNA metabolism	140	
DNA polymerase III epsilon cluster	2100	
DNA recombination	3793	
DNA repair	71281	
DNA replication	61901	
DNA uptake, competence	3362	
Dessication stress	7	
Detection	11875	
Detoxification	7377	
Di- and oligosaccharides	55390	
Electron accepting reactions	27895	
Electron donating reactions	63006	
Electron transport and photophosphorylation	31	
Fatty acid metabolic cluster	30141	
Fatty acids	57095	
Fermentation	40890	
Flagella protein?	312	
Flagellar motility in Prokaryota	14379	
Folate and pterines	120000	
Gene Transfer Agent (GTA)	216	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	34564	
Glycoside hydrolases	1369	
Gram-Negative cell wall components	21906	
Gram-Positive cell wall components	4687	
Heat shock	17352	
Histidine Metabolism	14259	
Hypothetical Related to Dihydroorate Dehydrogenase	612	
Hypothetical associated with RecF	646	
Hypothetical in Lysine biosynthetic cluster	2273	
Hypothetical lipase related to Phosphatidate metabolism	1520	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	3577	
Inorganic sulfur assimilation	14549	
Invasion and intracellular resistance	203	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	8057	
Isoprenoids	24682	
Light-harvesting complexes	6	
Lipid-derived mediators	107	
Lipoic acid	2091	
Lysine Biosynthesis	478	
Lysine, threonine, methionine, and cysteine	90083	
Metabolism of central aromatic intermediates	20475	
Methylamine utilization	12370	
Molybdopterin oxidoreductase	2195	
Monosaccharides	64371	
NAD and NADP	15165	
Nucleotidyl-phosphate metabolic cluster	14508	
One-carbon Metabolism	72730	
Organic acids	33169	
Organic sulfur assimilation	13289	
Osmotic stress	12005	
Oxidative stress	35457	
Pathogenicity islands	10249	
Peripheral pathways for catabolism of aromatic compounds	35093	
Periplasmic Stress	1933	
Phages, Prophages	31420	
Phosphate metabolism	4161	
Phospholipids	22598	
Plant Alkaloids	475	
Plant Hormones	7289	
Plant Octadecanoids	18	
Plant-Prokaryote DOE project	244588	
Plasmid related functions	241	
Polysaccharides	17534	
Probably GTP or GMP signaling related	6278	
Probably Pyrimidine biosynthesis-related	1661	
Probably Ybbk-related hypothetical membrane proteins	1186	
Probably organic hydroperoxide resistance related hypothetical protein	874	
Programmed Cell Death and Toxin-antitoxin Systems	1665	
Proline and 4-hydroxyproline	12020	
Proteasome related clusters	27	
Protein and nucleoprotein secretion system, Type IV	5532	
Protein biosynthesis	140904	
Protein degradation	41362	
Protein export?	8957	
Protein folding	23084	
Protein processing and modification	36994	
Protein secretion system, Type I	369	
Protein secretion system, Type II	10013	
Protein secretion system, Type III	365	
Protein secretion system, Type V	44	
Protein secretion system, Type VI	7476	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	15	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	526	
Protein translocation across cytoplasmic membrane	13805	
Proteolytic pathway	57	
Purines	49323	
Putative GGDEF domain protein related to agglutinin secretion	162	
Putative Isoquinoline 1-oxidoreductase subunit	3567	
Putative asociate of RNA polymerase sigma-54 factor rpoN	12370	
Putrescine/GABA utilization cluster-temporal,to add to SSs	3360	
Pyridoxine	14445	
Pyrimidines	35943	
Pyruvate kinase associated cluster	2603	
Quinone cofactors	12816	
Quorum sensing and biofilm formation	3146	
RNA processing and modification	74834	
Recombination related cluster	959	
Regulation of virulence	8161	
Related to Menaquinone-cytochrome C reductase 	346	
Resistance to antibiotics and toxic compounds	59341	
Reverse electron transport	192	
Riboflavin, FMN, FAD	6751	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	5537	
Ribosome-related cluster	5673	
Sarcosine oxidase	1845	
Selenoproteins	14412	
Shiga toxin cluster	2528	
Siderophores	3701	
Signal transduction in Eukaryotes	1	
Social motility and nonflagellar swimming in bacteria	111	
Sodium Ion-Coupled Energetics	386	
Spore DNA protection	5	
Sugar Phosphotransferase Systems, PTS	1606	
Sugar alcohols	24189	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	6522	
Tetrapyrroles	21169	
Three hypotheticals linked to lipoprotein biosynthesis	1161	
TldD cluster	2596	
Toxins and superantigens	215	
Transcription	39496	
Translation	4306	
Transposable elements	4058	
Triacylglycerols	297	
Tricarboxylate transporter	3913	
Two related proteases	5957	
Uni- Sym- and Antiporters	2404	
alpha-proteobacterial cluster of hypotheticals	688	
proteosome related	5053	
recX and regulatory cluster	1398	
tRNA sulfuration	1971	

