Taxon	
mgm4637842.3	
ABC transporters	34140	
ATP synthases	10986	
Acid stress	2399	
Adhesion	2482	
Alanine, serine, and glycine	45765	
Aminosugars	11107	
Anaerobic degradation of aromatic compounds	14284	
Arginine; urea cycle, polyamines	54985	
Aromatic amino acids and derivatives	47307	
Bacterial cytostatics, differentiation factors and antibiotics	1607	
Bacteriocins, ribosomally synthesized antibacterial peptides	420	
Biologically active compounds in metazoan cell defence and differentiation	5166	
Biosynthesis of galactoglycans and related lipopolysacharides	25541	
Biosynthesis of phenylpropanoids	1009	
Biotin	28713	
Branched-chain amino acids	94977	
CO2 fixation	55174	
CRISPRs and associated hypotheticals	394	
CRISPs	882	
Capsular and extracellular polysacchrides	57183	
Carbohydrates	4150	
Carotenoid biosynthesis	4351	
Catabolism of an unknown compound	1525	
Cell Division	19637	
Cell wall of Mycobacteria	22666	
Central carbohydrate metabolism	200785	
Chemotaxis, response regulators	457	
Choline bitartrate degradation, putative	3544	
Chromosome Replication	2491	
Clustering-based subsystems	21911	
Coenzyme A	11142	
Coenzyme B	51	
Coenzyme F420	3560	
Coenzyme M	524	
Cold shock	1267	
Cytochrome biogenesis	16588	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	1783	
DNA metabolism	148	
DNA polymerase III epsilon cluster	2918	
DNA recombination	4878	
DNA repair	88328	
DNA replication	78735	
DNA uptake, competence	4212	
Dessication stress	12	
Detection	14470	
Detoxification	8983	
Di- and oligosaccharides	68276	
Electron accepting reactions	43607	
Electron donating reactions	84627	
Electron transport and photophosphorylation	118	
Fatty acid metabolic cluster	42903	
Fatty acids	83139	
Fermentation	61628	
Flagella protein?	1334	
Flagellar motility in Prokaryota	31729	
Folate and pterines	151593	
Gene Transfer Agent (GTA)	281	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	44784	
Glycoside hydrolases	1739	
Gram-Negative cell wall components	40212	
Gram-Positive cell wall components	6689	
Heat shock	23682	
Histidine Metabolism	19059	
Hypothetical Related to Dihydroorate Dehydrogenase	1134	
Hypothetical associated with RecF	746	
Hypothetical in Lysine biosynthetic cluster	4058	
Hypothetical lipase related to Phosphatidate metabolism	2191	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	4841	
Inorganic sulfur assimilation	18399	
Invasion and intracellular resistance	234	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	10743	
Isoprenoids	34642	
Light-harvesting complexes	7	
Lipid-derived mediators	186	
Lipoic acid	2705	
Lysine Biosynthesis	922	
Lysine, threonine, methionine, and cysteine	129269	
Metabolism of central aromatic intermediates	33595	
Methylamine utilization	16592	
Molybdopterin oxidoreductase	4490	
Monosaccharides	81191	
NAD and NADP	19524	
Nucleotidyl-phosphate metabolic cluster	14587	
One-carbon Metabolism	96808	
Organic acids	44616	
Organic sulfur assimilation	18773	
Osmotic stress	13976	
Oxidative stress	49705	
Pathogenicity islands	11492	
Peripheral pathways for catabolism of aromatic compounds	54187	
Periplasmic Stress	3371	
Phages, Prophages	36251	
Phosphate metabolism	5094	
Phospholipids	32134	
Plant Alkaloids	866	
Plant Hormones	11955	
Plant Octadecanoids	17	
Plant-Prokaryote DOE project	333444	
Plasmid related functions	799	
Polysaccharides	25379	
Probably GTP or GMP signaling related	8426	
Probably Pyrimidine biosynthesis-related	2158	
Probably Ybbk-related hypothetical membrane proteins	1418	
Probably organic hydroperoxide resistance related hypothetical protein	1240	
Programmed Cell Death and Toxin-antitoxin Systems	3318	
Proline and 4-hydroxyproline	15938	
Proteasome related clusters	113	
Protein and nucleoprotein secretion system, Type IV	7859	
Protein biosynthesis	177841	
Protein degradation	53578	
Protein export?	10745	
Protein folding	31931	
Protein processing and modification	52796	
Protein secretion system, Type I	155	
Protein secretion system, Type II	15324	
Protein secretion system, Type III	593	
Protein secretion system, Type V	152	
Protein secretion system, Type VI	12109	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	76	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	789	
Protein translocation across cytoplasmic membrane	17191	
Proteolytic pathway	374	
Purines	60436	
Putative GGDEF domain protein related to agglutinin secretion	197	
Putative Isoquinoline 1-oxidoreductase subunit	8251	
Putative asociate of RNA polymerase sigma-54 factor rpoN	12575	
Putrescine/GABA utilization cluster-temporal,to add to SSs	4459	
Pyridoxine	16730	
Pyrimidines	46802	
Pyruvate kinase associated cluster	3578	
Quinone cofactors	17862	
Quorum sensing and biofilm formation	3676	
RNA processing and modification	104096	
Recombination related cluster	1505	
Regulation of virulence	10281	
Related to Menaquinone-cytochrome C reductase 	378	
Resistance to antibiotics and toxic compounds	102398	
Reverse electron transport	89	
Riboflavin, FMN, FAD	7840	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	6354	
Ribosome-related cluster	7995	
Sarcosine oxidase	2783	
Selenoproteins	16675	
Shiga toxin cluster	3481	
Siderophores	2830	
Signal transduction in Eukaryotes	5	
Social motility and nonflagellar swimming in bacteria	130	
Sodium Ion-Coupled Energetics	737	
Spore DNA protection	32	
Sugar Phosphotransferase Systems, PTS	2058	
Sugar alcohols	27723	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	6422	
Tetrapyrroles	33198	
Three hypotheticals linked to lipoprotein biosynthesis	2045	
TldD cluster	4582	
Toxins and superantigens	438	
Transcription	48621	
Translation	6614	
Transposable elements	5604	
Triacylglycerols	557	
Tricarboxylate transporter	2007	
Two related proteases	5932	
Uni- Sym- and Antiporters	2364	
alpha-proteobacterial cluster of hypotheticals	1738	
proteosome related	4281	
recX and regulatory cluster	2126	
tRNA sulfuration	3247	

