Taxon	
mgm4664900.3	
ABC transporters	28220	
ATP synthases	6449	
Acid stress	1577	
Adhesion	1733	
Alanine, serine, and glycine	30700	
Aminosugars	5701	
Anaerobic degradation of aromatic compounds	10408	
Arginine; urea cycle, polyamines	39416	
Aromatic amino acids and derivatives	31698	
Bacterial cytostatics, differentiation factors and antibiotics	920	
Bacteriocins, ribosomally synthesized antibacterial peptides	287	
Biologically active compounds in metazoan cell defence and differentiation	2945	
Biosynthesis of galactoglycans and related lipopolysacharides	16737	
Biosynthesis of phenylpropanoids	945	
Biotin	20861	
Branched-chain amino acids	66291	
CO2 fixation	39078	
CRISPRs and associated hypotheticals	342	
CRISPs	741	
Capsular and extracellular polysacchrides	40532	
Carbohydrates	2768	
Carotenoid biosynthesis	3185	
Catabolism of an unknown compound	624	
Cell Division	12511	
Cell wall of Mycobacteria	16339	
Central carbohydrate metabolism	132977	
Chemotaxis, response regulators	336	
Choline bitartrate degradation, putative	2759	
Chromosome Replication	1596	
Clustering-based subsystems	15017	
Coenzyme A	7659	
Coenzyme B	20	
Coenzyme F420	2246	
Coenzyme M	441	
Cold shock	970	
Cytochrome biogenesis	10127	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	1188	
DNA metabolism	82	
DNA polymerase III epsilon cluster	1884	
DNA recombination	3206	
DNA repair	57570	
DNA replication	52441	
DNA uptake, competence	2819	
Dessication stress	6	
Detection	9442	
Detoxification	6667	
Di- and oligosaccharides	42471	
Electron accepting reactions	28199	
Electron donating reactions	53917	
Electron transport and photophosphorylation	18	
Fatty acid metabolic cluster	30067	
Fatty acids	60402	
Fermentation	41025	
Flagella protein?	915	
Flagellar motility in Prokaryota	21514	
Folate and pterines	103689	
Gene Transfer Agent (GTA)	220	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	31504	
Glycoside hydrolases	1297	
Gram-Negative cell wall components	30607	
Gram-Positive cell wall components	4725	
Heat shock	16077	
Histidine Metabolism	12451	
Hypothetical Related to Dihydroorate Dehydrogenase	752	
Hypothetical associated with RecF	401	
Hypothetical in Lysine biosynthetic cluster	2566	
Hypothetical lipase related to Phosphatidate metabolism	1407	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	3107	
Inorganic sulfur assimilation	12517	
Invasion and intracellular resistance	102	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	7189	
Isoprenoids	23392	
Light-harvesting complexes	1	
Lipid-derived mediators	138	
Lipoic acid	1906	
Lysine Biosynthesis	619	
Lysine, threonine, methionine, and cysteine	82733	
Metabolism of central aromatic intermediates	27229	
Methylamine utilization	11558	
Molybdopterin oxidoreductase	2947	
Monosaccharides	51320	
NAD and NADP	13325	
Nucleotidyl-phosphate metabolic cluster	12993	
One-carbon Metabolism	67660	
Organic acids	33433	
Organic sulfur assimilation	14509	
Osmotic stress	10623	
Oxidative stress	36590	
Pathogenicity islands	8370	
Peripheral pathways for catabolism of aromatic compounds	39871	
Periplasmic Stress	2659	
Phages, Prophages	25260	
Phosphate metabolism	3673	
Phospholipids	21667	
Plant Alkaloids	583	
Plant Hormones	7489	
Plant Octadecanoids	11	
Plant-Prokaryote DOE project	231231	
Plasmid related functions	729	
Polysaccharides	16534	
Probably GTP or GMP signaling related	5480	
Probably Pyrimidine biosynthesis-related	1690	
Probably Ybbk-related hypothetical membrane proteins	1074	
Probably organic hydroperoxide resistance related hypothetical protein	835	
Programmed Cell Death and Toxin-antitoxin Systems	2710	
Proline and 4-hydroxyproline	10262	
Proteasome related clusters	33	
Protein and nucleoprotein secretion system, Type IV	6281	
Protein biosynthesis	118752	
Protein degradation	35976	
Protein export?	7515	
Protein folding	22531	
Protein processing and modification	35151	
Protein secretion system, Type I	126	
Protein secretion system, Type II	12139	
Protein secretion system, Type III	455	
Protein secretion system, Type V	164	
Protein secretion system, Type VI	8084	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	49	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	631	
Protein translocation across cytoplasmic membrane	11909	
Proteolytic pathway	273	
Purines	40420	
Putative GGDEF domain protein related to agglutinin secretion	146	
Putative Isoquinoline 1-oxidoreductase subunit	9525	
Putative asociate of RNA polymerase sigma-54 factor rpoN	7749	
Putrescine/GABA utilization cluster-temporal,to add to SSs	3315	
Pyridoxine	11947	
Pyrimidines	32145	
Pyruvate kinase associated cluster	2515	
Quinone cofactors	12004	
Quorum sensing and biofilm formation	2201	
RNA processing and modification	69279	
Recombination related cluster	909	
Regulation of virulence	7029	
Related to Menaquinone-cytochrome C reductase 	194	
Resistance to antibiotics and toxic compounds	87911	
Reverse electron transport	53	
Riboflavin, FMN, FAD	5461	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	4072	
Ribosome-related cluster	5068	
Sarcosine oxidase	1933	
Selenoproteins	11314	
Shiga toxin cluster	2615	
Siderophores	2519	
Signal transduction in Eukaryotes	2	
Social motility and nonflagellar swimming in bacteria	54	
Sodium Ion-Coupled Energetics	262	
Spore DNA protection	1	
Sugar Phosphotransferase Systems, PTS	1248	
Sugar alcohols	16970	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	3158	
Tetrapyrroles	22685	
Three hypotheticals linked to lipoprotein biosynthesis	1425	
TldD cluster	2808	
Toxins and superantigens	263	
Transcription	33640	
Translation	4752	
Transposable elements	3705	
Triacylglycerols	471	
Tricarboxylate transporter	2128	
Two related proteases	3782	
Uni- Sym- and Antiporters	1438	
alpha-proteobacterial cluster of hypotheticals	1751	
proteosome related	1938	
recX and regulatory cluster	1290	
tRNA sulfuration	2183	

