Taxon	
mgm4664892.3	
ABC transporters	31183	
ATP synthases	8133	
Acid stress	2067	
Adhesion	2120	
Alanine, serine, and glycine	39627	
Aminosugars	7293	
Anaerobic degradation of aromatic compounds	13758	
Arginine; urea cycle, polyamines	51098	
Aromatic amino acids and derivatives	38161	
Bacterial cytostatics, differentiation factors and antibiotics	1017	
Bacteriocins, ribosomally synthesized antibacterial peptides	457	
Biologically active compounds in metazoan cell defence and differentiation	6858	
Biosynthesis of galactoglycans and related lipopolysacharides	22513	
Biosynthesis of phenylpropanoids	1304	
Biotin	25728	
Branched-chain amino acids	85512	
CO2 fixation	50860	
CRISPRs and associated hypotheticals	402	
CRISPs	874	
Capsular and extracellular polysacchrides	52245	
Carbohydrates	4110	
Carotenoid biosynthesis	3769	
Catabolism of an unknown compound	722	
Cell Division	16011	
Cell wall of Mycobacteria	21906	
Central carbohydrate metabolism	174956	
Chemotaxis, response regulators	460	
Choline bitartrate degradation, putative	3784	
Chromosome Replication	2488	
Clustering-based subsystems	18639	
Coenzyme A	9853	
Coenzyme B	27	
Coenzyme F420	2911	
Coenzyme M	427	
Cold shock	1274	
Cytochrome biogenesis	11888	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	1658	
DNA metabolism	93	
DNA polymerase III epsilon cluster	2133	
DNA recombination	3812	
DNA repair	69259	
DNA replication	62840	
DNA uptake, competence	3315	
Dessication stress	4	
Detection	12462	
Detoxification	8065	
Di- and oligosaccharides	54170	
Electron accepting reactions	36874	
Electron donating reactions	67184	
Electron transport and photophosphorylation	19	
Fatty acid metabolic cluster	39189	
Fatty acids	80011	
Fermentation	56699	
Flagella protein?	971	
Flagellar motility in Prokaryota	25678	
Folate and pterines	130622	
Gene Transfer Agent (GTA)	319	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	40241	
Glycoside hydrolases	2323	
Gram-Negative cell wall components	38505	
Gram-Positive cell wall components	5916	
Heat shock	19693	
Histidine Metabolism	15073	
Hypothetical Related to Dihydroorate Dehydrogenase	788	
Hypothetical associated with RecF	390	
Hypothetical in Lysine biosynthetic cluster	2938	
Hypothetical lipase related to Phosphatidate metabolism	1814	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	3496	
Inorganic sulfur assimilation	14851	
Invasion and intracellular resistance	96	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	9100	
Isoprenoids	29061	
Light-harvesting complexes	6	
Lipid-derived mediators	204	
Lipoic acid	2223	
Lysine Biosynthesis	766	
Lysine, threonine, methionine, and cysteine	106434	
Metabolism of central aromatic intermediates	35736	
Methylamine utilization	14441	
Molybdopterin oxidoreductase	3656	
Monosaccharides	65737	
NAD and NADP	15679	
Nucleotidyl-phosphate metabolic cluster	20875	
One-carbon Metabolism	85664	
Organic acids	43008	
Organic sulfur assimilation	20510	
Osmotic stress	16589	
Oxidative stress	45974	
Pathogenicity islands	10246	
Peripheral pathways for catabolism of aromatic compounds	52034	
Periplasmic Stress	3443	
Phages, Prophages	33745	
Phosphate metabolism	4915	
Phospholipids	29882	
Plant Alkaloids	793	
Plant Hormones	9284	
Plant Octadecanoids	24	
Plant-Prokaryote DOE project	290922	
Plasmid related functions	1277	
Polysaccharides	22639	
Probably GTP or GMP signaling related	6957	
Probably Pyrimidine biosynthesis-related	1950	
Probably Ybbk-related hypothetical membrane proteins	1343	
Probably organic hydroperoxide resistance related hypothetical protein	1145	
Programmed Cell Death and Toxin-antitoxin Systems	3996	
Proline and 4-hydroxyproline	12393	
Proteasome related clusters	17	
Protein and nucleoprotein secretion system, Type IV	8742	
Protein biosynthesis	145516	
Protein degradation	47954	
Protein export?	9488	
Protein folding	29460	
Protein processing and modification	43630	
Protein secretion system, Type I	144	
Protein secretion system, Type II	14856	
Protein secretion system, Type III	694	
Protein secretion system, Type V	262	
Protein secretion system, Type VI	11751	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	60	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	1025	
Protein translocation across cytoplasmic membrane	14957	
Proteolytic pathway	588	
Purines	51065	
Putative GGDEF domain protein related to agglutinin secretion	158	
Putative Isoquinoline 1-oxidoreductase subunit	13220	
Putative asociate of RNA polymerase sigma-54 factor rpoN	10882	
Putrescine/GABA utilization cluster-temporal,to add to SSs	4273	
Pyridoxine	14828	
Pyrimidines	41958	
Pyruvate kinase associated cluster	3014	
Quinone cofactors	15272	
Quorum sensing and biofilm formation	2930	
RNA processing and modification	86702	
Recombination related cluster	1203	
Regulation of virulence	9343	
Related to Menaquinone-cytochrome C reductase 	403	
Resistance to antibiotics and toxic compounds	122022	
Reverse electron transport	63	
Riboflavin, FMN, FAD	6724	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	5081	
Ribosome-related cluster	6338	
Sarcosine oxidase	2347	
Selenoproteins	15226	
Shiga toxin cluster	3193	
Siderophores	2220	
Signal transduction in Eukaryotes	6	
Social motility and nonflagellar swimming in bacteria	74	
Sodium Ion-Coupled Energetics	357	
Sugar Phosphotransferase Systems, PTS	1635	
Sugar alcohols	22277	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	8448	
Tetrapyrroles	26131	
Three hypotheticals linked to lipoprotein biosynthesis	1590	
TldD cluster	3834	
Toxins and superantigens	396	
Transcription	41918	
Translation	6269	
Transposable elements	4773	
Triacylglycerols	579	
Tricarboxylate transporter	2092	
Two related proteases	4886	
Uni- Sym- and Antiporters	1515	
alpha-proteobacterial cluster of hypotheticals	1620	
proteosome related	2223	
recX and regulatory cluster	1586	
tRNA sulfuration	2505	

