Taxon	
mgm4637864.3	
ABC transporters	43791	
ATP synthases	10745	
Acid stress	2475	
Adhesion	2198	
Alanine, serine, and glycine	52227	
Aminosugars	11692	
Anaerobic degradation of aromatic compounds	14346	
Arginine; urea cycle, polyamines	57765	
Aromatic amino acids and derivatives	46034	
Bacterial cytostatics, differentiation factors and antibiotics	1442	
Bacteriocins, ribosomally synthesized antibacterial peptides	488	
Biologically active compounds in metazoan cell defence and differentiation	5494	
Biosynthesis of galactoglycans and related lipopolysacharides	27852	
Biosynthesis of phenylpropanoids	1203	
Biotin	28233	
Branched-chain amino acids	99909	
CO2 fixation	58454	
CRISPRs and associated hypotheticals	227	
CRISPs	487	
Capsular and extracellular polysacchrides	62104	
Carbohydrates	4862	
Carotenoid biosynthesis	2289	
Catabolism of an unknown compound	2071	
Cell Division	21827	
Cell wall of Mycobacteria	20719	
Central carbohydrate metabolism	206772	
Chemotaxis, response regulators	475	
Choline bitartrate degradation, putative	3298	
Chromosome Replication	1945	
Clustering-based subsystems	25029	
Coenzyme A	11980	
Coenzyme B	40	
Coenzyme F420	3356	
Coenzyme M	699	
Cold shock	1501	
Cytochrome biogenesis	17435	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	2889	
DNA metabolism	270	
DNA polymerase III epsilon cluster	3031	
DNA recombination	5512	
DNA repair	98900	
DNA replication	90250	
DNA uptake, competence	4781	
Dessication stress	17	
Detection	15430	
Detoxification	10313	
Di- and oligosaccharides	70043	
Electron accepting reactions	37852	
Electron donating reactions	81223	
Electron transport and photophosphorylation	54	
Fatty acid metabolic cluster	42781	
Fatty acids	80605	
Fermentation	55145	
Flagella protein?	697	
Flagellar motility in Prokaryota	24529	
Folate and pterines	167474	
Gene Transfer Agent (GTA)	454	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	48304	
Glycoside hydrolases	2341	
Gram-Negative cell wall components	36668	
Gram-Positive cell wall components	7108	
Heat shock	24583	
Histidine Metabolism	19791	
Hypothetical Related to Dihydroorate Dehydrogenase	1059	
Hypothetical associated with RecF	893	
Hypothetical in Lysine biosynthetic cluster	3918	
Hypothetical lipase related to Phosphatidate metabolism	2256	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	5084	
Inorganic sulfur assimilation	19292	
Invasion and intracellular resistance	356	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	11663	
Isoprenoids	34317	
Light-harvesting complexes	10	
Lipid-derived mediators	211	
Lipoic acid	3093	
Lysine Biosynthesis	956	
Lysine, threonine, methionine, and cysteine	129021	
Metabolism of central aromatic intermediates	28584	
Methylamine utilization	15266	
Molybdopterin oxidoreductase	4339	
Monosaccharides	84152	
NAD and NADP	21966	
Nucleotidyl-phosphate metabolic cluster	18836	
One-carbon Metabolism	101425	
Organic acids	45940	
Organic sulfur assimilation	18946	
Osmotic stress	16613	
Oxidative stress	49497	
Pathogenicity islands	13484	
Peripheral pathways for catabolism of aromatic compounds	49065	
Periplasmic Stress	3247	
Phages, Prophages	37968	
Phosphate metabolism	5540	
Phospholipids	32020	
Plant Alkaloids	1016	
Plant Hormones	11085	
Plant Octadecanoids	29	
Plant-Prokaryote DOE project	348009	
Plasmid related functions	455	
Polysaccharides	23109	
Probably GTP or GMP signaling related	8979	
Probably Pyrimidine biosynthesis-related	2493	
Probably Ybbk-related hypothetical membrane proteins	1471	
Probably organic hydroperoxide resistance related hypothetical protein	1029	
Programmed Cell Death and Toxin-antitoxin Systems	1992	
Proline and 4-hydroxyproline	17095	
Proteasome related clusters	89	
Protein and nucleoprotein secretion system, Type IV	7193	
Protein biosynthesis	194836	
Protein degradation	57752	
Protein export?	12193	
Protein folding	31710	
Protein processing and modification	51239	
Protein secretion system, Type I	614	
Protein secretion system, Type II	14535	
Protein secretion system, Type III	554	
Protein secretion system, Type V	168	
Protein secretion system, Type VI	11230	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	39	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	1042	
Protein translocation across cytoplasmic membrane	18995	
Proteolytic pathway	75	
Purines	66058	
Putative GGDEF domain protein related to agglutinin secretion	295	
Putative Isoquinoline 1-oxidoreductase subunit	5947	
Putative asociate of RNA polymerase sigma-54 factor rpoN	13231	
Putrescine/GABA utilization cluster-temporal,to add to SSs	4436	
Pyridoxine	19134	
Pyrimidines	50310	
Pyruvate kinase associated cluster	3599	
Quinone cofactors	18517	
Quorum sensing and biofilm formation	3945	
RNA processing and modification	113182	
Recombination related cluster	1597	
Regulation of virulence	11631	
Related to Menaquinone-cytochrome C reductase 	403	
Resistance to antibiotics and toxic compounds	88564	
Reverse electron transport	157	
Riboflavin, FMN, FAD	8830	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	7532	
Ribosome-related cluster	8281	
Sarcosine oxidase	2159	
Selenoproteins	18327	
Shiga toxin cluster	4532	
Siderophores	4073	
Signal transduction in Eukaryotes	1	
Social motility and nonflagellar swimming in bacteria	118	
Sodium Ion-Coupled Energetics	556	
Spore DNA protection	1	
Sugar Phosphotransferase Systems, PTS	2161	
Sugar alcohols	29076	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	6806	
Tetrapyrroles	29481	
Three hypotheticals linked to lipoprotein biosynthesis	1964	
TldD cluster	4116	
Toxins and superantigens	429	
Transcription	51678	
Translation	6564	
Transposable elements	5969	
Triacylglycerols	578	
Tricarboxylate transporter	5696	
Two related proteases	7373	
Uni- Sym- and Antiporters	3861	
alpha-proteobacterial cluster of hypotheticals	1074	
proteosome related	5155	
recX and regulatory cluster	2094	
tRNA sulfuration	2873	

