Taxon	
mgm4664889.3	
ABC transporters	29382	
ATP synthases	6699	
Acid stress	1638	
Adhesion	1388	
Alanine, serine, and glycine	33244	
Aminosugars	7480	
Anaerobic degradation of aromatic compounds	9628	
Arginine; urea cycle, polyamines	38215	
Aromatic amino acids and derivatives	28901	
Bacterial cytostatics, differentiation factors and antibiotics	1038	
Bacteriocins, ribosomally synthesized antibacterial peptides	361	
Biologically active compounds in metazoan cell defence and differentiation	3579	
Biosynthesis of galactoglycans and related lipopolysacharides	16604	
Biosynthesis of phenylpropanoids	740	
Biotin	18558	
Branched-chain amino acids	65983	
CO2 fixation	38139	
CRISPRs and associated hypotheticals	154	
CRISPs	297	
Capsular and extracellular polysacchrides	40466	
Carbohydrates	3258	
Carotenoid biosynthesis	1271	
Catabolism of an unknown compound	1657	
Cell Division	14135	
Cell wall of Mycobacteria	13720	
Central carbohydrate metabolism	135674	
Chemotaxis, response regulators	313	
Choline bitartrate degradation, putative	2216	
Chromosome Replication	1129	
Clustering-based subsystems	15463	
Coenzyme A	7690	
Coenzyme B	7	
Coenzyme F420	2305	
Coenzyme M	380	
Cold shock	1011	
Cytochrome biogenesis	11442	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	2084	
DNA metabolism	158	
DNA polymerase III epsilon cluster	1786	
DNA recombination	3310	
DNA repair	63077	
DNA replication	57573	
DNA uptake, competence	3000	
Dessication stress	5	
Detection	10284	
Detoxification	6410	
Di- and oligosaccharides	44144	
Electron accepting reactions	23674	
Electron donating reactions	53051	
Electron transport and photophosphorylation	38	
Fatty acid metabolic cluster	28135	
Fatty acids	52950	
Fermentation	35204	
Flagella protein?	449	
Flagellar motility in Prokaryota	14509	
Folate and pterines	108281	
Gene Transfer Agent (GTA)	313	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	32095	
Glycoside hydrolases	1326	
Gram-Negative cell wall components	22823	
Gram-Positive cell wall components	4619	
Heat shock	16255	
Histidine Metabolism	12572	
Hypothetical Related to Dihydroorate Dehydrogenase	600	
Hypothetical associated with RecF	529	
Hypothetical in Lysine biosynthetic cluster	2243	
Hypothetical lipase related to Phosphatidate metabolism	1529	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	3219	
Inorganic sulfur assimilation	12436	
Invasion and intracellular resistance	245	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	7080	
Isoprenoids	21684	
Light-harvesting complexes	3	
Lipid-derived mediators	108	
Lipoic acid	2013	
Lysine Biosynthesis	504	
Lysine, threonine, methionine, and cysteine	82262	
Metabolism of central aromatic intermediates	17858	
Methylamine utilization	10702	
Molybdopterin oxidoreductase	2579	
Monosaccharides	54406	
NAD and NADP	13971	
Nucleotidyl-phosphate metabolic cluster	12103	
One-carbon Metabolism	66406	
Organic acids	30808	
Organic sulfur assimilation	11418	
Osmotic stress	11345	
Oxidative stress	31672	
Pathogenicity islands	9212	
Peripheral pathways for catabolism of aromatic compounds	31964	
Periplasmic Stress	2112	
Phages, Prophages	25020	
Phosphate metabolism	3856	
Phospholipids	20649	
Plant Alkaloids	513	
Plant Hormones	6915	
Plant Octadecanoids	16	
Plant-Prokaryote DOE project	220364	
Plasmid related functions	249	
Polysaccharides	14987	
Probably GTP or GMP signaling related	5850	
Probably Pyrimidine biosynthesis-related	1642	
Probably Ybbk-related hypothetical membrane proteins	1108	
Probably organic hydroperoxide resistance related hypothetical protein	716	
Programmed Cell Death and Toxin-antitoxin Systems	1465	
Proline and 4-hydroxyproline	10943	
Proteasome related clusters	61	
Protein and nucleoprotein secretion system, Type IV	4618	
Protein biosynthesis	129176	
Protein degradation	38289	
Protein export?	8259	
Protein folding	21632	
Protein processing and modification	33998	
Protein secretion system, Type I	452	
Protein secretion system, Type II	9318	
Protein secretion system, Type III	422	
Protein secretion system, Type V	103	
Protein secretion system, Type VI	7633	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	38	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	687	
Protein translocation across cytoplasmic membrane	12652	
Proteolytic pathway	25	
Purines	43630	
Putative GGDEF domain protein related to agglutinin secretion	176	
Putative Isoquinoline 1-oxidoreductase subunit	3891	
Putative asociate of RNA polymerase sigma-54 factor rpoN	8740	
Putrescine/GABA utilization cluster-temporal,to add to SSs	2973	
Pyridoxine	12503	
Pyrimidines	33622	
Pyruvate kinase associated cluster	2406	
Quinone cofactors	11530	
Quorum sensing and biofilm formation	2760	
RNA processing and modification	71532	
Recombination related cluster	936	
Regulation of virulence	7764	
Related to Menaquinone-cytochrome C reductase 	246	
Resistance to antibiotics and toxic compounds	54476	
Reverse electron transport	89	
Riboflavin, FMN, FAD	5613	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	5167	
Ribosome-related cluster	5212	
Sarcosine oxidase	1550	
Selenoproteins	11678	
Shiga toxin cluster	2580	
Siderophores	4249	
Signal transduction in Eukaryotes	4	
Social motility and nonflagellar swimming in bacteria	48	
Sodium Ion-Coupled Energetics	410	
Spore DNA protection	2	
Sugar Phosphotransferase Systems, PTS	1341	
Sugar alcohols	19266	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	4549	
Tetrapyrroles	18649	
Three hypotheticals linked to lipoprotein biosynthesis	1014	
TldD cluster	2587	
Toxins and superantigens	272	
Transcription	34058	
Translation	4506	
Transposable elements	3675	
Triacylglycerols	353	
Tricarboxylate transporter	5146	
Two related proteases	4848	
Uni- Sym- and Antiporters	2319	
alpha-proteobacterial cluster of hypotheticals	827	
proteosome related	3597	
recX and regulatory cluster	1297	
tRNA sulfuration	1902	

