Taxon	
mgm4637859.3	
ABC transporters	29214	
ATP synthases	8894	
Acid stress	1769	
Adhesion	1908	
Alanine, serine, and glycine	41833	
Aminosugars	10062	
Anaerobic degradation of aromatic compounds	11141	
Arginine; urea cycle, polyamines	45318	
Aromatic amino acids and derivatives	37413	
Bacterial cytostatics, differentiation factors and antibiotics	1243	
Bacteriocins, ribosomally synthesized antibacterial peptides	355	
Biologically active compounds in metazoan cell defence and differentiation	3616	
Biosynthesis of galactoglycans and related lipopolysacharides	23892	
Biosynthesis of phenylpropanoids	868	
Biotin	22460	
Branched-chain amino acids	81073	
CO2 fixation	46041	
CRISPRs and associated hypotheticals	149	
CRISPs	317	
Capsular and extracellular polysacchrides	49459	
Carbohydrates	3769	
Carotenoid biosynthesis	1991	
Catabolism of an unknown compound	1900	
Cell Division	17040	
Cell wall of Mycobacteria	16643	
Central carbohydrate metabolism	166126	
Chemotaxis, response regulators	401	
Choline bitartrate degradation, putative	2529	
Chromosome Replication	1742	
Clustering-based subsystems	18789	
Coenzyme A	9749	
Coenzyme B	18	
Coenzyme F420	2432	
Coenzyme M	471	
Cold shock	1158	
Cytochrome biogenesis	13766	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	2573	
DNA metabolism	354	
DNA polymerase III epsilon cluster	2772	
DNA recombination	4516	
DNA repair	83493	
DNA replication	76024	
DNA uptake, competence	4004	
Dessication stress	23	
Detection	12504	
Detoxification	8837	
Di- and oligosaccharides	58338	
Electron accepting reactions	32833	
Electron donating reactions	63780	
Electron transport and photophosphorylation	112	
Fatty acid metabolic cluster	35137	
Fatty acids	64134	
Fermentation	44484	
Flagella protein?	724	
Flagellar motility in Prokaryota	23496	
Folate and pterines	134761	
Gene Transfer Agent (GTA)	588	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	38231	
Glycoside hydrolases	1974	
Gram-Negative cell wall components	30422	
Gram-Positive cell wall components	5634	
Heat shock	20057	
Histidine Metabolism	16359	
Hypothetical Related to Dihydroorate Dehydrogenase	980	
Hypothetical associated with RecF	958	
Hypothetical in Lysine biosynthetic cluster	3433	
Hypothetical lipase related to Phosphatidate metabolism	2035	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	4210	
Inorganic sulfur assimilation	16209	
Invasion and intracellular resistance	313	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	9836	
Isoprenoids	28899	
Light-harvesting complexes	9	
Lipid-derived mediators	192	
Lipoic acid	2600	
Lysine Biosynthesis	895	
Lysine, threonine, methionine, and cysteine	106512	
Metabolism of central aromatic intermediates	23391	
Methylamine utilization	12191	
Molybdopterin oxidoreductase	3166	
Monosaccharides	73374	
NAD and NADP	18680	
Nucleotidyl-phosphate metabolic cluster	12309	
One-carbon Metabolism	80984	
Organic acids	36817	
Organic sulfur assimilation	14172	
Osmotic stress	12277	
Oxidative stress	41507	
Pathogenicity islands	10321	
Peripheral pathways for catabolism of aromatic compounds	39570	
Periplasmic Stress	2627	
Phages, Prophages	32301	
Phosphate metabolism	3795	
Phospholipids	26329	
Plant Alkaloids	777	
Plant Hormones	8887	
Plant Octadecanoids	20	
Plant-Prokaryote DOE project	285980	
Plasmid related functions	546	
Polysaccharides	18438	
Probably GTP or GMP signaling related	7694	
Probably Pyrimidine biosynthesis-related	1942	
Probably Ybbk-related hypothetical membrane proteins	1298	
Probably organic hydroperoxide resistance related hypothetical protein	1090	
Programmed Cell Death and Toxin-antitoxin Systems	1522	
Proline and 4-hydroxyproline	14458	
Proteasome related clusters	84	
Protein and nucleoprotein secretion system, Type IV	5845	
Protein biosynthesis	162699	
Protein degradation	47078	
Protein export?	9896	
Protein folding	25094	
Protein processing and modification	41759	
Protein secretion system, Type I	545	
Protein secretion system, Type II	11774	
Protein secretion system, Type III	450	
Protein secretion system, Type V	113	
Protein secretion system, Type VI	8992	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	44	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	694	
Protein translocation across cytoplasmic membrane	15393	
Proteolytic pathway	117	
Purines	52922	
Putative GGDEF domain protein related to agglutinin secretion	301	
Putative Isoquinoline 1-oxidoreductase subunit	4028	
Putative asociate of RNA polymerase sigma-54 factor rpoN	10394	
Putrescine/GABA utilization cluster-temporal,to add to SSs	3644	
Pyridoxine	15320	
Pyrimidines	40542	
Pyruvate kinase associated cluster	3160	
Quinone cofactors	14666	
Quorum sensing and biofilm formation	3049	
RNA processing and modification	95460	
Recombination related cluster	1071	
Regulation of virulence	10123	
Related to Menaquinone-cytochrome C reductase 	294	
Resistance to antibiotics and toxic compounds	69833	
Reverse electron transport	87	
Riboflavin, FMN, FAD	7428	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	6142	
Ribosome-related cluster	6866	
Sarcosine oxidase	1713	
Selenoproteins	14482	
Shiga toxin cluster	3933	
Siderophores	2740	
Signal transduction in Eukaryotes	2	
Social motility and nonflagellar swimming in bacteria	77	
Sodium Ion-Coupled Energetics	417	
Spore DNA protection	7	
Sugar Phosphotransferase Systems, PTS	1932	
Sugar alcohols	24006	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	4263	
Tetrapyrroles	25699	
Three hypotheticals linked to lipoprotein biosynthesis	1850	
TldD cluster	3691	
Toxins and superantigens	317	
Transcription	41887	
Translation	5523	
Transposable elements	4921	
Triacylglycerols	559	
Tricarboxylate transporter	3101	
Two related proteases	5562	
Uni- Sym- and Antiporters	3304	
alpha-proteobacterial cluster of hypotheticals	1031	
proteosome related	4442	
recX and regulatory cluster	1836	
tRNA sulfuration	2803	

