Taxon	
mgm4664910.3	
ABC transporters	24513	
ATP synthases	8127	
Acid stress	1945	
Adhesion	1883	
Alanine, serine, and glycine	33413	
Aminosugars	8105	
Anaerobic degradation of aromatic compounds	11283	
Arginine; urea cycle, polyamines	39408	
Aromatic amino acids and derivatives	35308	
Bacterial cytostatics, differentiation factors and antibiotics	1127	
Bacteriocins, ribosomally synthesized antibacterial peptides	356	
Biologically active compounds in metazoan cell defence and differentiation	5895	
Biosynthesis of galactoglycans and related lipopolysacharides	20656	
Biosynthesis of phenylpropanoids	997	
Biotin	20883	
Branched-chain amino acids	71527	
CO2 fixation	44414	
CRISPRs and associated hypotheticals	405	
CRISPs	884	
Capsular and extracellular polysacchrides	45644	
Carbohydrates	3670	
Carotenoid biosynthesis	3334	
Catabolism of an unknown compound	1166	
Cell Division	14216	
Cell wall of Mycobacteria	17868	
Central carbohydrate metabolism	163266	
Chemotaxis, response regulators	261	
Choline bitartrate degradation, putative	2668	
Chromosome Replication	2527	
Clustering-based subsystems	16020	
Coenzyme A	7836	
Coenzyme B	31	
Coenzyme F420	2751	
Coenzyme M	403	
Cold shock	1296	
Cytochrome biogenesis	12653	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	1626	
DNA metabolism	65	
DNA polymerase III epsilon cluster	2031	
DNA recombination	3473	
DNA repair	65915	
DNA replication	58738	
DNA uptake, competence	2973	
Dessication stress	11	
Detection	10607	
Detoxification	6558	
Di- and oligosaccharides	59089	
Electron accepting reactions	35103	
Electron donating reactions	72064	
Electron transport and photophosphorylation	25	
Fatty acid metabolic cluster	32197	
Fatty acids	62320	
Fermentation	50230	
Flagella protein?	1091	
Flagellar motility in Prokaryota	23150	
Folate and pterines	113486	
Gene Transfer Agent (GTA)	181	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	33863	
Glycoside hydrolases	1438	
Gram-Negative cell wall components	31122	
Gram-Positive cell wall components	5115	
Heat shock	17755	
Histidine Metabolism	13363	
Hypothetical Related to Dihydroorate Dehydrogenase	945	
Hypothetical associated with RecF	439	
Hypothetical in Lysine biosynthetic cluster	2740	
Hypothetical lipase related to Phosphatidate metabolism	1552	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	3483	
Inorganic sulfur assimilation	12641	
Invasion and intracellular resistance	156	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	8076	
Isoprenoids	25472	
Light-harvesting complexes	3	
Lipid-derived mediators	129	
Lipoic acid	2112	
Lysine Biosynthesis	664	
Lysine, threonine, methionine, and cysteine	99865	
Metabolism of central aromatic intermediates	26176	
Methylamine utilization	11745	
Molybdopterin oxidoreductase	4011	
Monosaccharides	62280	
NAD and NADP	14397	
Nucleotidyl-phosphate metabolic cluster	15180	
One-carbon Metabolism	75075	
Organic acids	35540	
Organic sulfur assimilation	15623	
Osmotic stress	9915	
Oxidative stress	38232	
Pathogenicity islands	8584	
Peripheral pathways for catabolism of aromatic compounds	40772	
Periplasmic Stress	2898	
Phages, Prophages	30596	
Phosphate metabolism	3974	
Phospholipids	23726	
Plant Alkaloids	567	
Plant Hormones	9577	
Plant Octadecanoids	23	
Plant-Prokaryote DOE project	252945	
Plasmid related functions	464	
Polysaccharides	24218	
Probably GTP or GMP signaling related	6348	
Probably Pyrimidine biosynthesis-related	1566	
Probably Ybbk-related hypothetical membrane proteins	1071	
Probably organic hydroperoxide resistance related hypothetical protein	837	
Programmed Cell Death and Toxin-antitoxin Systems	2994	
Proline and 4-hydroxyproline	11296	
Proteasome related clusters	63	
Protein and nucleoprotein secretion system, Type IV	5986	
Protein biosynthesis	132366	
Protein degradation	41948	
Protein export?	8338	
Protein folding	24958	
Protein processing and modification	41495	
Protein secretion system, Type I	95	
Protein secretion system, Type II	11498	
Protein secretion system, Type III	467	
Protein secretion system, Type V	117	
Protein secretion system, Type VI	9981	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	49	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	729	
Protein translocation across cytoplasmic membrane	13195	
Proteolytic pathway	443	
Purines	44568	
Putative GGDEF domain protein related to agglutinin secretion	93	
Putative Isoquinoline 1-oxidoreductase subunit	6874	
Putative asociate of RNA polymerase sigma-54 factor rpoN	9385	
Putrescine/GABA utilization cluster-temporal,to add to SSs	2780	
Pyridoxine	12489	
Pyrimidines	34664	
Pyruvate kinase associated cluster	2432	
Quinone cofactors	12758	
Quorum sensing and biofilm formation	2713	
RNA processing and modification	76421	
Recombination related cluster	1144	
Regulation of virulence	7665	
Related to Menaquinone-cytochrome C reductase 	222	
Resistance to antibiotics and toxic compounds	82500	
Reverse electron transport	108	
Riboflavin, FMN, FAD	5725	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	4908	
Ribosome-related cluster	5875	
Sarcosine oxidase	1457	
Selenoproteins	14107	
Shiga toxin cluster	2573	
Siderophores	1913	
Signal transduction in Eukaryotes	6	
Social motility and nonflagellar swimming in bacteria	84	
Sodium Ion-Coupled Energetics	683	
Spore DNA protection	4	
Sugar Phosphotransferase Systems, PTS	1525	
Sugar alcohols	20547	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	7534	
Tetrapyrroles	23781	
Three hypotheticals linked to lipoprotein biosynthesis	1297	
TldD cluster	3279	
Toxins and superantigens	344	
Transcription	36464	
Translation	4968	
Transposable elements	4426	
Triacylglycerols	373	
Tricarboxylate transporter	1144	
Two related proteases	4406	
Uni- Sym- and Antiporters	1863	
alpha-proteobacterial cluster of hypotheticals	1300	
proteosome related	3371	
recX and regulatory cluster	1546	
tRNA sulfuration	2405	

