Taxon	
mgm4637867.3	
ABC transporters	36934	
ATP synthases	7692	
Acid stress	1518	
Adhesion	1392	
Alanine, serine, and glycine	39137	
Aminosugars	9171	
Anaerobic degradation of aromatic compounds	10857	
Arginine; urea cycle, polyamines	43024	
Aromatic amino acids and derivatives	33908	
Bacterial cytostatics, differentiation factors and antibiotics	1130	
Bacteriocins, ribosomally synthesized antibacterial peptides	388	
Biologically active compounds in metazoan cell defence and differentiation	3971	
Biosynthesis of galactoglycans and related lipopolysacharides	20262	
Biosynthesis of phenylpropanoids	1084	
Biotin	21154	
Branched-chain amino acids	74135	
CO2 fixation	44571	
CRISPRs and associated hypotheticals	235	
CRISPs	500	
Capsular and extracellular polysacchrides	44787	
Carbohydrates	3900	
Carotenoid biosynthesis	1422	
Catabolism of an unknown compound	2159	
Cell Division	16010	
Cell wall of Mycobacteria	15273	
Central carbohydrate metabolism	157256	
Chemotaxis, response regulators	336	
Choline bitartrate degradation, putative	2324	
Chromosome Replication	1389	
Clustering-based subsystems	19918	
Coenzyme A	8810	
Coenzyme B	22	
Coenzyme F420	3041	
Coenzyme M	572	
Cold shock	1222	
Cytochrome biogenesis	13767	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	2485	
DNA metabolism	140	
DNA polymerase III epsilon cluster	2114	
DNA recombination	3879	
DNA repair	73716	
DNA replication	63930	
DNA uptake, competence	3411	
Dessication stress	8	
Detection	12468	
Detoxification	7312	
Di- and oligosaccharides	54038	
Electron accepting reactions	26462	
Electron donating reactions	61748	
Electron transport and photophosphorylation	44	
Fatty acid metabolic cluster	31702	
Fatty acids	58794	
Fermentation	41991	
Flagella protein?	413	
Flagellar motility in Prokaryota	16048	
Folate and pterines	124702	
Gene Transfer Agent (GTA)	175	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	35991	
Glycoside hydrolases	1598	
Gram-Negative cell wall components	25013	
Gram-Positive cell wall components	4763	
Heat shock	17711	
Histidine Metabolism	15423	
Hypothetical Related to Dihydroorate Dehydrogenase	680	
Hypothetical associated with RecF	656	
Hypothetical in Lysine biosynthetic cluster	2691	
Hypothetical lipase related to Phosphatidate metabolism	1461	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	3522	
Inorganic sulfur assimilation	14179	
Invasion and intracellular resistance	264	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	8296	
Isoprenoids	25015	
Light-harvesting complexes	1	
Lipid-derived mediators	127	
Lipoic acid	2214	
Lysine Biosynthesis	419	
Lysine, threonine, methionine, and cysteine	95340	
Metabolism of central aromatic intermediates	21664	
Methylamine utilization	11936	
Molybdopterin oxidoreductase	2537	
Monosaccharides	64740	
NAD and NADP	16067	
Nucleotidyl-phosphate metabolic cluster	15680	
One-carbon Metabolism	75569	
Organic acids	33919	
Organic sulfur assimilation	13595	
Osmotic stress	12616	
Oxidative stress	35721	
Pathogenicity islands	10186	
Peripheral pathways for catabolism of aromatic compounds	36693	
Periplasmic Stress	2238	
Phages, Prophages	30251	
Phosphate metabolism	4593	
Phospholipids	24405	
Plant Alkaloids	598	
Plant Hormones	7750	
Plant Octadecanoids	30	
Plant-Prokaryote DOE project	255986	
Plasmid related functions	226	
Polysaccharides	17130	
Probably GTP or GMP signaling related	6478	
Probably Pyrimidine biosynthesis-related	1752	
Probably Ybbk-related hypothetical membrane proteins	1023	
Probably organic hydroperoxide resistance related hypothetical protein	795	
Programmed Cell Death and Toxin-antitoxin Systems	1601	
Proline and 4-hydroxyproline	11911	
Proteasome related clusters	28	
Protein and nucleoprotein secretion system, Type IV	5030	
Protein biosynthesis	141067	
Protein degradation	43194	
Protein export?	9085	
Protein folding	23128	
Protein processing and modification	36971	
Protein secretion system, Type I	398	
Protein secretion system, Type II	10376	
Protein secretion system, Type III	412	
Protein secretion system, Type V	79	
Protein secretion system, Type VI	7769	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	46	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	760	
Protein translocation across cytoplasmic membrane	13636	
Proteolytic pathway	37	
Purines	50896	
Putative GGDEF domain protein related to agglutinin secretion	205	
Putative Isoquinoline 1-oxidoreductase subunit	4389	
Putative asociate of RNA polymerase sigma-54 factor rpoN	11791	
Putrescine/GABA utilization cluster-temporal,to add to SSs	3149	
Pyridoxine	14325	
Pyrimidines	38348	
Pyruvate kinase associated cluster	2648	
Quinone cofactors	13706	
Quorum sensing and biofilm formation	2987	
RNA processing and modification	80024	
Recombination related cluster	1226	
Regulation of virulence	8743	
Related to Menaquinone-cytochrome C reductase 	350	
Resistance to antibiotics and toxic compounds	64314	
Reverse electron transport	202	
Riboflavin, FMN, FAD	6933	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	5756	
Ribosome-related cluster	5974	
Sarcosine oxidase	1978	
Selenoproteins	14439	
Shiga toxin cluster	2994	
Siderophores	2999	
Signal transduction in Eukaryotes	2	
Social motility and nonflagellar swimming in bacteria	118	
Sodium Ion-Coupled Energetics	377	
Spore DNA protection	1	
Sugar Phosphotransferase Systems, PTS	1701	
Sugar alcohols	24783	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	5110	
Tetrapyrroles	21817	
Three hypotheticals linked to lipoprotein biosynthesis	1136	
TldD cluster	2794	
Toxins and superantigens	355	
Transcription	39312	
Translation	4840	
Transposable elements	4216	
Triacylglycerols	345	
Tricarboxylate transporter	4618	
Two related proteases	6136	
Uni- Sym- and Antiporters	2579	
alpha-proteobacterial cluster of hypotheticals	624	
proteosome related	4996	
recX and regulatory cluster	1507	
tRNA sulfuration	2004	

