Taxon	
mgm4664870.3	
ABC transporters	30813	
ATP synthases	9510	
Acid stress	2200	
Adhesion	2011	
Alanine, serine, and glycine	40507	
Aminosugars	10164	
Anaerobic degradation of aromatic compounds	11715	
Arginine; urea cycle, polyamines	48452	
Aromatic amino acids and derivatives	41876	
Bacterial cytostatics, differentiation factors and antibiotics	1533	
Bacteriocins, ribosomally synthesized antibacterial peptides	441	
Biologically active compounds in metazoan cell defence and differentiation	4977	
Biosynthesis of galactoglycans and related lipopolysacharides	21873	
Biosynthesis of phenylpropanoids	905	
Biotin	24446	
Branched-chain amino acids	83670	
CO2 fixation	49540	
CRISPRs and associated hypotheticals	273	
CRISPs	586	
Capsular and extracellular polysacchrides	50112	
Carbohydrates	3868	
Carotenoid biosynthesis	3767	
Catabolism of an unknown compound	1586	
Cell Division	17005	
Cell wall of Mycobacteria	19830	
Central carbohydrate metabolism	179336	
Chemotaxis, response regulators	384	
Choline bitartrate degradation, putative	3117	
Chromosome Replication	2162	
Clustering-based subsystems	18810	
Coenzyme A	10025	
Coenzyme B	29	
Coenzyme F420	3002	
Coenzyme M	434	
Cold shock	1197	
Cytochrome biogenesis	14113	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	1770	
DNA metabolism	106	
DNA polymerase III epsilon cluster	2278	
DNA recombination	4193	
DNA repair	79729	
DNA replication	72317	
DNA uptake, competence	3779	
Dessication stress	5	
Detection	12241	
Detoxification	8770	
Di- and oligosaccharides	64161	
Electron accepting reactions	37184	
Electron donating reactions	73896	
Electron transport and photophosphorylation	91	
Fatty acid metabolic cluster	37064	
Fatty acids	71067	
Fermentation	51845	
Flagella protein?	1234	
Flagellar motility in Prokaryota	29215	
Folate and pterines	134104	
Gene Transfer Agent (GTA)	408	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	38901	
Glycoside hydrolases	1636	
Gram-Negative cell wall components	34197	
Gram-Positive cell wall components	5682	
Heat shock	21224	
Histidine Metabolism	16289	
Hypothetical Related to Dihydroorate Dehydrogenase	1131	
Hypothetical associated with RecF	684	
Hypothetical in Lysine biosynthetic cluster	3380	
Hypothetical lipase related to Phosphatidate metabolism	1889	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	4277	
Inorganic sulfur assimilation	16771	
Invasion and intracellular resistance	221	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	9406	
Isoprenoids	30590	
Light-harvesting complexes	6	
Lipid-derived mediators	174	
Lipoic acid	2315	
Lysine Biosynthesis	910	
Lysine, threonine, methionine, and cysteine	114256	
