Taxon	
mgm4664850.3	
ABC transporters	44812	
ATP synthases	9129	
Acid stress	2122	
Adhesion	2040	
Alanine, serine, and glycine	43316	
Aminosugars	7629	
Anaerobic degradation of aromatic compounds	14606	
Arginine; urea cycle, polyamines	54252	
Aromatic amino acids and derivatives	42554	
Bacterial cytostatics, differentiation factors and antibiotics	1244	
Bacteriocins, ribosomally synthesized antibacterial peptides	420	
Biologically active compounds in metazoan cell defence and differentiation	3749	
Biosynthesis of galactoglycans and related lipopolysacharides	22078	
Biosynthesis of phenylpropanoids	1079	
Biotin	27695	
Branched-chain amino acids	94674	
CO2 fixation	54177	
CRISPRs and associated hypotheticals	609	
CRISPs	1247	
Capsular and extracellular polysacchrides	55014	
Carbohydrates	4171	
Carotenoid biosynthesis	3986	
Catabolism of an unknown compound	955	
Cell Division	18114	
Cell wall of Mycobacteria	21351	
Central carbohydrate metabolism	185702	
Chemotaxis, response regulators	408	
Choline bitartrate degradation, putative	3839	
Chromosome Replication	1970	
Clustering-based subsystems	20989	
Coenzyme A	10622	
Coenzyme B	49	
Coenzyme F420	3216	
Coenzyme M	575	
Cold shock	1111	
Cytochrome biogenesis	14534	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	1531	
DNA metabolism	97	
DNA polymerase III epsilon cluster	2252	
DNA recombination	4700	
DNA repair	79117	
DNA replication	72284	
DNA uptake, competence	3817	
Dessication stress	5	
Detection	13725	
Detoxification	8646	
Di- and oligosaccharides	54923	
Electron accepting reactions	36650	
Electron donating reactions	74312	
Electron transport and photophosphorylation	47	
Fatty acid metabolic cluster	40677	
Fatty acids	80986	
Fermentation	56832	
Flagella protein?	1005	
Flagellar motility in Prokaryota	26704	
Folate and pterines	145328	
Gene Transfer Agent (GTA)	385	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	44334	
Glycoside hydrolases	1810	
Gram-Negative cell wall components	39171	
Gram-Positive cell wall components	6431	
Heat shock	22704	
Histidine Metabolism	17620	
Hypothetical Related to Dihydroorate Dehydrogenase	987	
Hypothetical associated with RecF	617	
Hypothetical in Lysine biosynthetic cluster	3411	
Hypothetical lipase related to Phosphatidate metabolism	1732	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	4339	
Inorganic sulfur assimilation	16348	
Invasion and intracellular resistance	150	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	9466	
Isoprenoids	31604	
Light-harvesting complexes	3	
Lipid-derived mediators	193	
Lipoic acid	2839	
Lysine Biosynthesis	799	
Lysine, threonine, methionine, and cysteine	114756	
Metabolism of central aromatic intermediates	35851	
Methylamine utilization	16098	
