Taxon	
mgm4664915.3	
ABC transporters	35677	
ATP synthases	7928	
Acid stress	1956	
Adhesion	1933	
Alanine, serine, and glycine	38116	
Aminosugars	7357	
Anaerobic degradation of aromatic compounds	13024	
Arginine; urea cycle, polyamines	48129	
Aromatic amino acids and derivatives	38690	
Bacterial cytostatics, differentiation factors and antibiotics	1262	
Bacteriocins, ribosomally synthesized antibacterial peptides	401	
Biologically active compounds in metazoan cell defence and differentiation	3412	
Biosynthesis of galactoglycans and related lipopolysacharides	20264	
Biosynthesis of phenylpropanoids	974	
Biotin	25342	
Branched-chain amino acids	84108	
CO2 fixation	48760	
CRISPRs and associated hypotheticals	545	
CRISPs	1084	
Capsular and extracellular polysacchrides	48612	
Carbohydrates	3561	
Carotenoid biosynthesis	3827	
Catabolism of an unknown compound	929	
Cell Division	16037	
Cell wall of Mycobacteria	19580	
Central carbohydrate metabolism	165989	
Chemotaxis, response regulators	346	
Choline bitartrate degradation, putative	3524	
Chromosome Replication	1927	
Clustering-based subsystems	18101	
Coenzyme A	9717	
Coenzyme B	29	
Coenzyme F420	2821	
Coenzyme M	542	
Cold shock	1197	
Cytochrome biogenesis	12786	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	1483	
DNA metabolism	97	
DNA polymerase III epsilon cluster	2176	
DNA recombination	3909	
DNA repair	69632	
DNA replication	63171	
DNA uptake, competence	3252	
Dessication stress	6	
Detection	12172	
Detoxification	7801	
Di- and oligosaccharides	51938	
Electron accepting reactions	35356	
Electron donating reactions	67448	
Electron transport and photophosphorylation	30	
Fatty acid metabolic cluster	36836	
Fatty acids	74279	
Fermentation	51347	
Flagella protein?	1062	
Flagellar motility in Prokaryota	25286	
Folate and pterines	127598	
Gene Transfer Agent (GTA)	218	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	38959	
Glycoside hydrolases	1598	
Gram-Negative cell wall components	35162	
Gram-Positive cell wall components	5465	
Heat shock	19750	
Histidine Metabolism	15705	
Hypothetical Related to Dihydroorate Dehydrogenase	792	
Hypothetical associated with RecF	537	
Hypothetical in Lysine biosynthetic cluster	3073	
Hypothetical lipase related to Phosphatidate metabolism	1717	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	3576	
Inorganic sulfur assimilation	14488	
Invasion and intracellular resistance	133	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	8440	
Isoprenoids	28504	
Lipid-derived mediators	187	
Lipoic acid	2239	
Lysine Biosynthesis	762	
Lysine, threonine, methionine, and cysteine	102494	
Metabolism of central aromatic intermediates	34038	
Methylamine utilization	14244	
Molybdopterin oxidoreductase	3337	
Monosaccharides	61072	
NAD and NADP	16420	
Nucleotidyl-phosphate metabolic cluster	15816	
One-carbon Metabolism	84076	
Organic acids	41689	
Organic sulfur assimilation	17097	
Osmotic stress	13012	
Oxidative stress	43666	
Pathogenicity islands	10679	
Peripheral pathways for catabolism of aromatic compounds	48940	
Periplasmic Stress	3195	
Phages, Prophages	31061	
Phosphate metabolism	4481	
Phospholipids	26463	
Plant Alkaloids	649	
Plant Hormones	9079	
Plant Octadecanoids	20	
Plant-Prokaryote DOE project	281453	
Plasmid related functions	886	
Polysaccharides	20263	
Probably GTP or GMP signaling related	6816	
Probably Pyrimidine biosynthesis-related	1924	
Probably Ybbk-related hypothetical membrane proteins	1213	
Probably organic hydroperoxide resistance related hypothetical protein	1058	
Programmed Cell Death and Toxin-antitoxin Systems	3403	
Proline and 4-hydroxyproline	12813	
Proteasome related clusters	60	
Protein and nucleoprotein secretion system, Type IV	7427	
Protein biosynthesis	144599	
Protein degradation	44724	
Protein export?	9275	
Protein folding	28371	
Protein processing and modification	42820	
Protein secretion system, Type I	158	
Protein secretion system, Type II	14669	
Protein secretion system, Type III	544	
Protein secretion system, Type V	211	
Protein secretion system, Type VI	10493	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	71	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	826	
Protein translocation across cytoplasmic membrane	14483	
Proteolytic pathway	323	
Purines	49386	
Putative GGDEF domain protein related to agglutinin secretion	171	
Putative Isoquinoline 1-oxidoreductase subunit	12275	
Putative asociate of RNA polymerase sigma-54 factor rpoN	10045	
Putrescine/GABA utilization cluster-temporal,to add to SSs	3879	
Pyridoxine	14261	
Pyrimidines	39934	
Pyruvate kinase associated cluster	3031	
Quinone cofactors	14861	
Quorum sensing and biofilm formation	2910	
RNA processing and modification	84547	
Recombination related cluster	1071	
Regulation of virulence	8808	
Related to Menaquinone-cytochrome C reductase 	293	
