Taxon	
mgm4664873.3	
ABC transporters	31205	
ATP synthases	8223	
Acid stress	1916	
Adhesion	1747	
Alanine, serine, and glycine	38007	
Aminosugars	7693	
Anaerobic degradation of aromatic compounds	12748	
Arginine; urea cycle, polyamines	45907	
Aromatic amino acids and derivatives	36061	
Bacterial cytostatics, differentiation factors and antibiotics	961	
Bacteriocins, ribosomally synthesized antibacterial peptides	405	
Biologically active compounds in metazoan cell defence and differentiation	6946	
Biosynthesis of galactoglycans and related lipopolysacharides	19664	
Biosynthesis of phenylpropanoids	941	
Biotin	22737	
Branched-chain amino acids	79080	
CO2 fixation	46244	
CRISPRs and associated hypotheticals	257	
CRISPs	562	
Capsular and extracellular polysacchrides	46841	
Carbohydrates	4112	
Carotenoid biosynthesis	3033	
Catabolism of an unknown compound	888	
Cell Division	15899	
Cell wall of Mycobacteria	18175	
Central carbohydrate metabolism	165925	
Chemotaxis, response regulators	391	
Choline bitartrate degradation, putative	3360	
Chromosome Replication	2193	
Clustering-based subsystems	18141	
Coenzyme A	9252	
Coenzyme B	27	
Coenzyme F420	2477	
Coenzyme M	469	
Cold shock	1208	
Cytochrome biogenesis	12333	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	1350	
DNA metabolism	83	
DNA polymerase III epsilon cluster	1918	
DNA recombination	3788	
DNA repair	67432	
DNA replication	60063	
DNA uptake, competence	3277	
Dessication stress	10	
Detection	11958	
Detoxification	7065	
Di- and oligosaccharides	46152	
Electron accepting reactions	31778	
Electron donating reactions	64858	
Electron transport and photophosphorylation	16	
Fatty acid metabolic cluster	34989	
Fatty acids	69568	
Fermentation	51340	
Flagella protein?	806	
Flagellar motility in Prokaryota	21835	
Folate and pterines	121855	
Gene Transfer Agent (GTA)	235	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	37310	
Glycoside hydrolases	2089	
Gram-Negative cell wall components	33752	
Gram-Positive cell wall components	5614	
Heat shock	19248	
Histidine Metabolism	14511	
Hypothetical Related to Dihydroorate Dehydrogenase	709	
Hypothetical associated with RecF	433	
Hypothetical in Lysine biosynthetic cluster	2664	
Hypothetical lipase related to Phosphatidate metabolism	1745	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	3831	
Inorganic sulfur assimilation	13467	
Invasion and intracellular resistance	109	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	8140	
Isoprenoids	26581	
Light-harvesting complexes	1	
Lipid-derived mediators	135	
Lipoic acid	2388	
Lysine Biosynthesis	570	
Lysine, threonine, methionine, and cysteine	100326	
Metabolism of central aromatic intermediates	30374	
Methylamine utilization	13228	
Molybdopterin oxidoreductase	3366	
Monosaccharides	58236	
NAD and NADP	14875	
