Taxon	
mgm4637857.3	
ABC transporters	36640	
ATP synthases	8366	
Acid stress	2018	
Adhesion	1584	
Alanine, serine, and glycine	42353	
Aminosugars	9823	
Anaerobic degradation of aromatic compounds	12177	
Arginine; urea cycle, polyamines	47512	
Aromatic amino acids and derivatives	36616	
Bacterial cytostatics, differentiation factors and antibiotics	1162	
Bacteriocins, ribosomally synthesized antibacterial peptides	488	
Biologically active compounds in metazoan cell defence and differentiation	4637	
Biosynthesis of galactoglycans and related lipopolysacharides	22390	
Biosynthesis of phenylpropanoids	1057	
Biotin	22969	
Branched-chain amino acids	80827	
CO2 fixation	45983	
CRISPRs and associated hypotheticals	208	
CRISPs	419	
Capsular and extracellular polysacchrides	50105	
Carbohydrates	4019	
Carotenoid biosynthesis	1495	
Catabolism of an unknown compound	1973	
Cell Division	17964	
Cell wall of Mycobacteria	17007	
Central carbohydrate metabolism	164398	
Chemotaxis, response regulators	378	
Choline bitartrate degradation, putative	2754	
Chromosome Replication	1492	
Clustering-based subsystems	20238	
Coenzyme A	9615	
Coenzyme B	21	
Coenzyme F420	2900	
Coenzyme M	582	
Cold shock	1179	
Cytochrome biogenesis	14284	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	2529	
DNA metabolism	216	
DNA polymerase III epsilon cluster	2336	
DNA recombination	4329	
DNA repair	79472	
DNA replication	70547	
DNA uptake, competence	3659	
Dessication stress	1	
Detection	12895	
Detoxification	7899	
Di- and oligosaccharides	55581	
Electron accepting reactions	28502	
Electron donating reactions	65017	
Electron transport and photophosphorylation	39	
Fatty acid metabolic cluster	35322	
Fatty acids	65817	
Fermentation	44755	
Flagella protein?	471	
Flagellar motility in Prokaryota	18127	
Folate and pterines	134475	
Gene Transfer Agent (GTA)	305	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	39282	
Glycoside hydrolases	1706	
Gram-Negative cell wall components	29339	
Gram-Positive cell wall components	5670	
Heat shock	19760	
Histidine Metabolism	16034	
Hypothetical Related to Dihydroorate Dehydrogenase	772	
