Taxon	
mgm4637854.3	
ABC transporters	28083	
ATP synthases	6624	
Acid stress	1688	
Adhesion	1589	
Alanine, serine, and glycine	31188	
Aminosugars	6010	
Anaerobic degradation of aromatic compounds	10635	
Arginine; urea cycle, polyamines	39319	
Aromatic amino acids and derivatives	32589	
Bacterial cytostatics, differentiation factors and antibiotics	1039	
Bacteriocins, ribosomally synthesized antibacterial peptides	342	
Biologically active compounds in metazoan cell defence and differentiation	2833	
Biosynthesis of galactoglycans and related lipopolysacharides	17606	
Biosynthesis of phenylpropanoids	999	
Biotin	20926	
Branched-chain amino acids	67328	
CO2 fixation	39690	
CRISPRs and associated hypotheticals	401	
CRISPs	806	
Capsular and extracellular polysacchrides	40418	
Carbohydrates	2984	
Carotenoid biosynthesis	3352	
Catabolism of an unknown compound	640	
Cell Division	12906	
Cell wall of Mycobacteria	16319	
Central carbohydrate metabolism	135066	
Chemotaxis, response regulators	350	
Choline bitartrate degradation, putative	2807	
Chromosome Replication	1509	
Clustering-based subsystems	15732	
Coenzyme A	7903	
Coenzyme B	19	
Coenzyme F420	2405	
Coenzyme M	483	
Cold shock	926	
Cytochrome biogenesis	10342	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	1283	
DNA metabolism	88	
DNA polymerase III epsilon cluster	1877	
DNA recombination	3158	
DNA repair	58654	
DNA replication	52828	
DNA uptake, competence	2801	
Dessication stress	6	
Detection	9712	
Detoxification	6595	
Di- and oligosaccharides	43055	
Electron accepting reactions	29042	
Electron donating reactions	55300	
Electron transport and photophosphorylation	19	
Fatty acid metabolic cluster	30383	
Fatty acids	60986	
Fermentation	42789	
Flagella protein?	893	
Flagellar motility in Prokaryota	20876	
Folate and pterines	105281	
Gene Transfer Agent (GTA)	173	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	31857	
Glycoside hydrolases	1447	
Gram-Negative cell wall components	30480	
Gram-Positive cell wall components	4677	
Heat shock	15968	
Histidine Metabolism	12610	
Hypothetical Related to Dihydroorate Dehydrogenase	703	
Hypothetical associated with RecF	445	
Hypothetical in Lysine biosynthetic cluster	2646	
Hypothetical lipase related to Phosphatidate metabolism	1414	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	3141	
Inorganic sulfur assimilation	12702	
Invasion and intracellular resistance	102	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	7362	
Isoprenoids	24051	
Lipid-derived mediators	146	
Lipoic acid	1878	
Lysine Biosynthesis	608	
Lysine, threonine, methionine, and cysteine	85139	
Metabolism of central aromatic intermediates	28460	
Methylamine utilization	11349	
Molybdopterin oxidoreductase	2951	
Monosaccharides	52055	
NAD and NADP	13538	
Nucleotidyl-phosphate metabolic cluster	14011	
One-carbon Metabolism	68670	
Organic acids	33576	
Organic sulfur assimilation	14697	
Osmotic stress	10946	
Oxidative stress	36912	
Pathogenicity islands	8322	
Peripheral pathways for catabolism of aromatic compounds	40899	
Periplasmic Stress	2788	
Phages, Prophages	26760	
Phosphate metabolism	3714	
Phospholipids	22327	
Plant Alkaloids	556	
Plant Hormones	7710	
Plant Octadecanoids	7	
Plant-Prokaryote DOE project	236523	
Plasmid related functions	800	
Polysaccharides	16630	
Probably GTP or GMP signaling related	5470	
Probably Pyrimidine biosynthesis-related	1625	
Probably Ybbk-related hypothetical membrane proteins	1086	
Probably organic hydroperoxide resistance related hypothetical protein	862	
Programmed Cell Death and Toxin-antitoxin Systems	2834	
Proline and 4-hydroxyproline	10655	
Proteasome related clusters	18	
Protein and nucleoprotein secretion system, Type IV	6300	
Protein biosynthesis	118459	
Protein degradation	36217	
Protein export?	7522	
Protein folding	22457	
Protein processing and modification	35044	
Protein secretion system, Type I	107	
Protein secretion system, Type II	12389	
Protein secretion system, Type III	413	
Protein secretion system, Type V	173	
Protein secretion system, Type VI	8070	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	74	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	620	
Protein translocation across cytoplasmic membrane	11824	
Proteolytic pathway	277	
Purines	40887	
Putative GGDEF domain protein related to agglutinin secretion	127	
Putative Isoquinoline 1-oxidoreductase subunit	10099	
Putative asociate of RNA polymerase sigma-54 factor rpoN	8426	
Putrescine/GABA utilization cluster-temporal,to add to SSs	3308	
Pyridoxine	12170	
Pyrimidines	32615	
Pyruvate kinase associated cluster	2655	
Quinone cofactors	12667	
Quorum sensing and biofilm formation	2281	
RNA processing and modification	70072	
Recombination related cluster	1000	
Regulation of virulence	7181	
Related to Menaquinone-cytochrome C reductase 	249	
Resistance to antibiotics and toxic compounds	88661	
Reverse electron transport	31	
Riboflavin, FMN, FAD	5610	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	4105	
Ribosome-related cluster	5271	
Sarcosine oxidase	1958	
Selenoproteins	11891	
Shiga toxin cluster	2664	
Siderophores	2742	
Signal transduction in Eukaryotes	3	
Social motility and nonflagellar swimming in bacteria	59	
Sodium Ion-Coupled Energetics	240	
Spore DNA protection	1	
Sugar Phosphotransferase Systems, PTS	1291	
Sugar alcohols	17429	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	3299	
Tetrapyrroles	23376	
Three hypotheticals linked to lipoprotein biosynthesis	1416	
TldD cluster	2957	
Toxins and superantigens	276	
Transcription	33441	
Translation	5001	
Transposable elements	4013	
Triacylglycerols	495	
Tricarboxylate transporter	1875	
Two related proteases	3830	
Uni- Sym- and Antiporters	1556	
alpha-proteobacterial cluster of hypotheticals	1801	
proteosome related	2127	
recX and regulatory cluster	1366	
tRNA sulfuration	2169	

