Taxon	
mgm4664909.3	
ABC transporters	45198	
ATP synthases	9932	
Acid stress	2208	
Adhesion	2251	
Alanine, serine, and glycine	47769	
Aminosugars	8421	
Anaerobic degradation of aromatic compounds	16423	
Arginine; urea cycle, polyamines	59541	
Aromatic amino acids and derivatives	45731	
Bacterial cytostatics, differentiation factors and antibiotics	1247	
Bacteriocins, ribosomally synthesized antibacterial peptides	586	
Biologically active compounds in metazoan cell defence and differentiation	6213	
Biosynthesis of galactoglycans and related lipopolysacharides	25416	
Biosynthesis of phenylpropanoids	1397	
Biotin	30663	
Branched-chain amino acids	104111	
CO2 fixation	59232	
CRISPRs and associated hypotheticals	346	
CRISPs	823	
Capsular and extracellular polysacchrides	60711	
Carbohydrates	4749	
Carotenoid biosynthesis	4161	
Catabolism of an unknown compound	1432	
Cell Division	19483	
Cell wall of Mycobacteria	24868	
Central carbohydrate metabolism	203540	
Chemotaxis, response regulators	531	
Choline bitartrate degradation, putative	4216	
Chromosome Replication	2395	
Clustering-based subsystems	23391	
Coenzyme A	11919	
Coenzyme B	57	
Coenzyme F420	3453	
Coenzyme M	605	
Cold shock	1348	
Cytochrome biogenesis	15135	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	1689	
DNA metabolism	124	
DNA polymerase III epsilon cluster	2481	
DNA recombination	4858	
DNA repair	85481	
DNA replication	76871	
DNA uptake, competence	4103	
Dessication stress	12	
Detection	15145	
Detoxification	9729	
Di- and oligosaccharides	60389	
Electron accepting reactions	40880	
Electron donating reactions	79597	
Electron transport and photophosphorylation	31	
Fatty acid metabolic cluster	45743	
Fatty acids	93079	
Fermentation	65071	
Flagella protein?	997	
Flagellar motility in Prokaryota	27296	
Folate and pterines	155348	
Gene Transfer Agent (GTA)	245	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	48149	
Glycoside hydrolases	2573	
Gram-Negative cell wall components	42848	
Gram-Positive cell wall components	7041	
Heat shock	24018	
Histidine Metabolism	18681	
Hypothetical Related to Dihydroorate Dehydrogenase	961	
Hypothetical associated with RecF	536	
Hypothetical in Lysine biosynthetic cluster	3444	
Hypothetical lipase related to Phosphatidate metabolism	2222	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	4484	
Inorganic sulfur assimilation	17294	
Invasion and intracellular resistance	138	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	10751	
Isoprenoids	34477	
Light-harvesting complexes	3	
Lipid-derived mediators	277	
Lipoic acid	3029	
Lysine Biosynthesis	798	
Lysine, threonine, methionine, and cysteine	124697	
Metabolism of central aromatic intermediates	38351	
Methylamine utilization	17681	
Molybdopterin oxidoreductase	3795	
Monosaccharides	73485	
NAD and NADP	19161	
Nucleotidyl-phosphate metabolic cluster	22158	
One-carbon Metabolism	101816	
Organic acids	50360	
Organic sulfur assimilation	22061	
Osmotic stress	17859	
Oxidative stress	51721	
Pathogenicity islands	12880	
Peripheral pathways for catabolism of aromatic compounds	59857	
Periplasmic Stress	3868	
Phages, Prophages	39682	
Phosphate metabolism	5903	
Phospholipids	33641	
Plant Alkaloids	893	
Plant Hormones	10647	
Plant Octadecanoids	20	
Plant-Prokaryote DOE project	340310	
Plasmid related functions	1132	
Polysaccharides	24387	
Probably GTP or GMP signaling related	7857	
Probably Pyrimidine biosynthesis-related	2349	
Probably Ybbk-related hypothetical membrane proteins	1367	
Probably organic hydroperoxide resistance related hypothetical protein	1278	
Programmed Cell Death and Toxin-antitoxin Systems	4551	
Proline and 4-hydroxyproline	14767	
Proteasome related clusters	75	
Protein and nucleoprotein secretion system, Type IV	9761	
Protein biosynthesis	177546	
Protein degradation	55706	
Protein export?	11523	
Protein folding	34355	
Protein processing and modification	51452	
Protein secretion system, Type I	138	
Protein secretion system, Type II	17839	
Protein secretion system, Type III	711	
Protein secretion system, Type V	251	
Protein secretion system, Type VI	12656	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	76	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	1111	
Protein translocation across cytoplasmic membrane	17360	
Proteolytic pathway	475	
Purines	61520	
Putative GGDEF domain protein related to agglutinin secretion	184	
Putative Isoquinoline 1-oxidoreductase subunit	13946	
Putative asociate of RNA polymerase sigma-54 factor rpoN	12349	
Putrescine/GABA utilization cluster-temporal,to add to SSs	4551	
Pyridoxine	18107	
Pyrimidines	49445	
Pyruvate kinase associated cluster	3496	
Quinone cofactors	17301	
Quorum sensing and biofilm formation	3713	
RNA processing and modification	101916	
Recombination related cluster	1465	
Regulation of virulence	10782	
Related to Menaquinone-cytochrome C reductase 	460	
Resistance to antibiotics and toxic compounds	126116	
Reverse electron transport	97	
Riboflavin, FMN, FAD	7963	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	6384	
Ribosome-related cluster	7374	
Sarcosine oxidase	2849	
Selenoproteins	18038	
Shiga toxin cluster	3689	
Siderophores	2834	
Signal transduction in Eukaryotes	4	
Social motility and nonflagellar swimming in bacteria	132	
Sodium Ion-Coupled Energetics	531	
Spore DNA protection	2	
Sugar Phosphotransferase Systems, PTS	1897	
Sugar alcohols	25793	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	7393	
Tetrapyrroles	31075	
Three hypotheticals linked to lipoprotein biosynthesis	1864	
TldD cluster	4165	
Toxins and superantigens	394	
Transcription	49081	
Translation	7500	
Transposable elements	5179	
Triacylglycerols	741	
Tricarboxylate transporter	2851	
Two related proteases	6189	
Uni- Sym- and Antiporters	1794	
alpha-proteobacterial cluster of hypotheticals	2085	
proteosome related	2782	
recX and regulatory cluster	1791	
tRNA sulfuration	2955	

