Taxon	
mgm4637863.3	
ABC transporters	22289	
ATP synthases	6507	
Acid stress	1535	
Adhesion	1415	
Alanine, serine, and glycine	31174	
Aminosugars	7716	
Anaerobic degradation of aromatic compounds	8364	
Arginine; urea cycle, polyamines	34557	
Aromatic amino acids and derivatives	28096	
Bacterial cytostatics, differentiation factors and antibiotics	909	
Bacteriocins, ribosomally synthesized antibacterial peptides	303	
Biologically active compounds in metazoan cell defence and differentiation	2771	
Biosynthesis of galactoglycans and related lipopolysacharides	17976	
Biosynthesis of phenylpropanoids	622	
Biotin	16889	
Branched-chain amino acids	60267	
CO2 fixation	34932	
CRISPRs and associated hypotheticals	117	
CRISPs	260	
Capsular and extracellular polysacchrides	38371	
Carbohydrates	2872	
Carotenoid biosynthesis	1518	
Catabolism of an unknown compound	1278	
Cell Division	13073	
Cell wall of Mycobacteria	12456	
Central carbohydrate metabolism	123810	
Chemotaxis, response regulators	332	
Choline bitartrate degradation, putative	1941	
Chromosome Replication	1332	
Clustering-based subsystems	14096	
Coenzyme A	7237	
Coenzyme B	14	
Coenzyme F420	1675	
Coenzyme M	314	
Cold shock	906	
Cytochrome biogenesis	10034	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	1972	
DNA metabolism	213	
DNA polymerase III epsilon cluster	1989	
DNA recombination	3305	
DNA repair	62636	
DNA replication	57302	
DNA uptake, competence	3062	
Dessication stress	9	
Detection	9302	
Detoxification	6797	
Di- and oligosaccharides	44490	
Electron accepting reactions	23901	
Electron donating reactions	47749	
Electron transport and photophosphorylation	51	
Fatty acid metabolic cluster	26280	
Fatty acids	48501	
Fermentation	33166	
Flagella protein?	621	
Flagellar motility in Prokaryota	18054	
Folate and pterines	101366	
Gene Transfer Agent (GTA)	447	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	29147	
Glycoside hydrolases	1710	
Gram-Negative cell wall components	23894	
Gram-Positive cell wall components	4375	
Heat shock	15275	
Histidine Metabolism	12198	
Hypothetical Related to Dihydroorate Dehydrogenase	683	
Hypothetical associated with RecF	584	
Hypothetical in Lysine biosynthetic cluster	2480	
Hypothetical lipase related to Phosphatidate metabolism	1546	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	3001	
Inorganic sulfur assimilation	11711	
Invasion and intracellular resistance	303	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	7124	
Isoprenoids	21418	
Lipid-derived mediators	128	
Lipoic acid	1846	
Lysine Biosynthesis	647	
Lysine, threonine, methionine, and cysteine	79174	
Metabolism of central aromatic intermediates	17850	
Methylamine utilization	8932	
Molybdopterin oxidoreductase	2954	
Monosaccharides	55924	
NAD and NADP	13415	
Nucleotidyl-phosphate metabolic cluster	9199	
One-carbon Metabolism	61433	
Organic acids	27623	
Organic sulfur assimilation	11091	
Osmotic stress	9426	
Oxidative stress	31022	
Pathogenicity islands	7696	
Peripheral pathways for catabolism of aromatic compounds	30065	
Periplasmic Stress	1962	
Phages, Prophages	23206	
Phosphate metabolism	2917	
Phospholipids	19567	
Plant Alkaloids	591	
Plant Hormones	6706	
Plant Octadecanoids	15	
Plant-Prokaryote DOE project	214229	
Plasmid related functions	383	
Polysaccharides	14268	
Probably GTP or GMP signaling related	5537	
Probably Pyrimidine biosynthesis-related	1439	
Probably Ybbk-related hypothetical membrane proteins	922	
Probably organic hydroperoxide resistance related hypothetical protein	739	
Programmed Cell Death and Toxin-antitoxin Systems	1156	
Proline and 4-hydroxyproline	10695	
Proteasome related clusters	46	
Protein and nucleoprotein secretion system, Type IV	4476	
Protein biosynthesis	118998	
Protein degradation	35002	
Protein export?	7496	
Protein folding	19524	
Protein processing and modification	31118	
Protein secretion system, Type I	418	
Protein secretion system, Type II	9230	
Protein secretion system, Type III	422	
Protein secretion system, Type V	111	
Protein secretion system, Type VI	7145	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	39	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	645	
Protein translocation across cytoplasmic membrane	11486	
Proteolytic pathway	73	
Purines	39457	
Putative GGDEF domain protein related to agglutinin secretion	203	
Putative Isoquinoline 1-oxidoreductase subunit	3331	
Putative asociate of RNA polymerase sigma-54 factor rpoN	8030	
Putrescine/GABA utilization cluster-temporal,to add to SSs	2690	
Pyridoxine	11492	
Pyrimidines	30754	
Pyruvate kinase associated cluster	2424	
Quinone cofactors	11081	
Quorum sensing and biofilm formation	2346	
RNA processing and modification	71790	
Recombination related cluster	812	
Regulation of virulence	7445	
Related to Menaquinone-cytochrome C reductase 	205	
Resistance to antibiotics and toxic compounds	55508	
Reverse electron transport	82	
Riboflavin, FMN, FAD	5485	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	4595	
Ribosome-related cluster	4936	
Sarcosine oxidase	1252	
Selenoproteins	10948	
Shiga toxin cluster	3026	
Siderophores	2534	
