Taxon	
mgm4664920.3	
ABC transporters	41160	
ATP synthases	9035	
Acid stress	2300	
Adhesion	2351	
Alanine, serine, and glycine	42812	
Aminosugars	8028	
Anaerobic degradation of aromatic compounds	14745	
Arginine; urea cycle, polyamines	55271	
Aromatic amino acids and derivatives	43924	
Bacterial cytostatics, differentiation factors and antibiotics	1242	
Bacteriocins, ribosomally synthesized antibacterial peptides	498	
Biologically active compounds in metazoan cell defence and differentiation	4129	
Biosynthesis of galactoglycans and related lipopolysacharides	23328	
Biosynthesis of phenylpropanoids	1303	
Biotin	28688	
Branched-chain amino acids	94615	
CO2 fixation	55557	
CRISPRs and associated hypotheticals	510	
CRISPs	1148	
Capsular and extracellular polysacchrides	57177	
Carbohydrates	4169	
Carotenoid biosynthesis	4429	
Catabolism of an unknown compound	903	
Cell Division	17894	
Cell wall of Mycobacteria	21906	
Central carbohydrate metabolism	188227	
Chemotaxis, response regulators	469	
Choline bitartrate degradation, putative	3843	
Chromosome Replication	2123	
Clustering-based subsystems	20885	
Coenzyme A	10771	
Coenzyme B	42	
Coenzyme F420	3187	
Coenzyme M	616	
Cold shock	1413	
Cytochrome biogenesis	13938	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	1744	
DNA metabolism	118	
DNA polymerase III epsilon cluster	2498	
DNA recombination	4421	
DNA repair	80127	
DNA replication	73195	
DNA uptake, competence	3761	
Dessication stress	6	
Detection	13848	
Detoxification	9511	
Di- and oligosaccharides	59824	
Electron accepting reactions	40332	
Electron donating reactions	76140	
Electron transport and photophosphorylation	50	
Fatty acid metabolic cluster	41164	
Fatty acids	83785	
Fermentation	58394	
Flagella protein?	1231	
Flagellar motility in Prokaryota	29584	
Folate and pterines	145752	
Gene Transfer Agent (GTA)	488	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	44110	
Glycoside hydrolases	1850	
Gram-Negative cell wall components	41135	
Gram-Positive cell wall components	6388	
Heat shock	22468	
Histidine Metabolism	17053	
Hypothetical Related to Dihydroorate Dehydrogenase	999	
Hypothetical associated with RecF	559	
Hypothetical in Lysine biosynthetic cluster	3681	
Hypothetical lipase related to Phosphatidate metabolism	1910	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	4025	
Inorganic sulfur assimilation	17002	
Invasion and intracellular resistance	188	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	9763	
Isoprenoids	32271	
Light-harvesting complexes	8	
Lipid-derived mediators	223	
Lipoic acid	2688	
Lysine Biosynthesis	845	
Lysine, threonine, methionine, and cysteine	116856	
Metabolism of central aromatic intermediates	38706	
Methylamine utilization	15795	
Molybdopterin oxidoreductase	4081	
Monosaccharides	70368	
NAD and NADP	18391	
Nucleotidyl-phosphate metabolic cluster	18848	
One-carbon Metabolism	95734	
Organic acids	47358	
Organic sulfur assimilation	20462	
Osmotic stress	14275	
Oxidative stress	50796	
Pathogenicity islands	11846	
Peripheral pathways for catabolism of aromatic compounds	56691	
Periplasmic Stress	3753	
Phages, Prophages	35573	
Phosphate metabolism	5143	
Phospholipids	29688	
Plant Alkaloids	708	
Plant Hormones	10099	
Plant Octadecanoids	11	
Plant-Prokaryote DOE project	323021	
Plasmid related functions	1044	
Polysaccharides	24027	
Probably GTP or GMP signaling related	7795	
Probably Pyrimidine biosynthesis-related	2306	
Probably Ybbk-related hypothetical membrane proteins	1414	
Probably organic hydroperoxide resistance related hypothetical protein	1161	
Programmed Cell Death and Toxin-antitoxin Systems	3767	
Proline and 4-hydroxyproline	14377	
Proteasome related clusters	44	
Protein and nucleoprotein secretion system, Type IV	8637	
Protein biosynthesis	166554	
Protein degradation	50649	
Protein export?	10685	
Protein folding	31753	
Protein processing and modification	48634	
Protein secretion system, Type I	209	
Protein secretion system, Type II	16915	
Protein secretion system, Type III	671	
Protein secretion system, Type V	264	
Protein secretion system, Type VI	11532	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	66	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	970	
Protein translocation across cytoplasmic membrane	16843	
Proteolytic pathway	311	
Purines	56517	
Putative GGDEF domain protein related to agglutinin secretion	161	
Putative Isoquinoline 1-oxidoreductase subunit	13196	
Putative asociate of RNA polymerase sigma-54 factor rpoN	11036	
Putrescine/GABA utilization cluster-temporal,to add to SSs	4522	
Pyridoxine	16671	
Pyrimidines	45879	
Pyruvate kinase associated cluster	3484	
Quinone cofactors	16943	
Quorum sensing and biofilm formation	3328	
RNA processing and modification	97585	
Recombination related cluster	1239	
Regulation of virulence	10120	
Related to Menaquinone-cytochrome C reductase 	328	
Resistance to antibiotics and toxic compounds	119795	
Reverse electron transport	58	
Riboflavin, FMN, FAD	7377	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	5710	
Ribosome-related cluster	6960	
Sarcosine oxidase	2511	
Selenoproteins	16456	
Shiga toxin cluster	3518	
Siderophores	3215	
Signal transduction in Eukaryotes	7	
Social motility and nonflagellar swimming in bacteria	94	
Sodium Ion-Coupled Energetics	392	
Spore DNA protection	6	
Sugar Phosphotransferase Systems, PTS	1854	
Sugar alcohols	24015	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	4729	
Tetrapyrroles	30912	
Three hypotheticals linked to lipoprotein biosynthesis	1931	
TldD cluster	4092	
Toxins and superantigens	267	
Transcription	46702	
Translation	6644	
Transposable elements	5196	
Triacylglycerols	762	
Tricarboxylate transporter	3250	
Two related proteases	5366	
Uni- Sym- and Antiporters	1967	
alpha-proteobacterial cluster of hypotheticals	2426	
proteosome related	3051	
recX and regulatory cluster	1890	
tRNA sulfuration	2905	

