Taxon	
mgm4637834.3	
ABC transporters	24989	
ATP synthases	9275	
Acid stress	2078	
Adhesion	1975	
Alanine, serine, and glycine	37666	
Aminosugars	9365	
Anaerobic degradation of aromatic compounds	12058	
Arginine; urea cycle, polyamines	43063	
Aromatic amino acids and derivatives	39418	
Bacterial cytostatics, differentiation factors and antibiotics	1443	
Bacteriocins, ribosomally synthesized antibacterial peptides	284	
Biologically active compounds in metazoan cell defence and differentiation	5937	
Biosynthesis of galactoglycans and related lipopolysacharides	21807	
Biosynthesis of phenylpropanoids	1099	
Biotin	23070	
Branched-chain amino acids	78424	
CO2 fixation	46023	
CRISPRs and associated hypotheticals	366	
CRISPs	770	
Capsular and extracellular polysacchrides	50564	
Carbohydrates	3811	
Carotenoid biosynthesis	3683	
Catabolism of an unknown compound	952	
Cell Division	16169	
Cell wall of Mycobacteria	19451	
Central carbohydrate metabolism	171660	
Chemotaxis, response regulators	370	
Choline bitartrate degradation, putative	2926	
Chromosome Replication	2626	
Clustering-based subsystems	17779	
Coenzyme A	9670	
Coenzyme B	16	
Coenzyme F420	2697	
Coenzyme M	356	
Cold shock	1223	
Cytochrome biogenesis	13319	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	1520	
DNA metabolism	129	
DNA polymerase III epsilon cluster	2370	
DNA recombination	3943	
DNA repair	73530	
DNA replication	65189	
DNA uptake, competence	3642	
Dessication stress	6	
Detection	12278	
Detoxification	7320	
Di- and oligosaccharides	66737	
Electron accepting reactions	39081	
Electron donating reactions	74067	
Electron transport and photophosphorylation	119	
Fatty acid metabolic cluster	35816	
Fatty acids	68981	
Fermentation	54896	
Flagella protein?	1381	
Flagellar motility in Prokaryota	30019	
Folate and pterines	126771	
Gene Transfer Agent (GTA)	234	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	36064	
Glycoside hydrolases	1564	
Gram-Negative cell wall components	35487	
Gram-Positive cell wall components	5523	
Heat shock	19683	
Histidine Metabolism	15761	
Hypothetical Related to Dihydroorate Dehydrogenase	1042	
Hypothetical associated with RecF	573	
Hypothetical in Lysine biosynthetic cluster	3014	
Hypothetical lipase related to Phosphatidate metabolism	1866	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	3950	
Inorganic sulfur assimilation	14870	
Invasion and intracellular resistance	183	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	9519	
Isoprenoids	28999	
Light-harvesting complexes	13	
Lipid-derived mediators	171	
Lipoic acid	2238	
Lysine Biosynthesis	795	
Lysine, threonine, methionine, and cysteine	110215	
Metabolism of central aromatic intermediates	26998	
Methylamine utilization	13194	
Molybdopterin oxidoreductase	4397	
Monosaccharides	80485	
NAD and NADP	16770	
Nucleotidyl-phosphate metabolic cluster	11887	
One-carbon Metabolism	79948	
Organic acids	37832	
Organic sulfur assimilation	16532	
Osmotic stress	11517	
Oxidative stress	42294	
Pathogenicity islands	9135	
Peripheral pathways for catabolism of aromatic compounds	44790	
Periplasmic Stress	2979	
Phages, Prophages	32955	
Phosphate metabolism	4525	
Phospholipids	27849	
Plant Alkaloids	851	
Plant Hormones	9944	
Plant Octadecanoids	13	
Plant-Prokaryote DOE project	281129	
Plasmid related functions	820	
Polysaccharides	24601	
Probably GTP or GMP signaling related	6976	
Probably Pyrimidine biosynthesis-related	1820	
Probably Ybbk-related hypothetical membrane proteins	1064	
Probably organic hydroperoxide resistance related hypothetical protein	1015	
Programmed Cell Death and Toxin-antitoxin Systems	3414	
Proline and 4-hydroxyproline	12796	
Proteasome related clusters	26	
Protein and nucleoprotein secretion system, Type IV	7338	
Protein biosynthesis	147165	
Protein degradation	45437	
Protein export?	8895	
Protein folding	27232	
Protein processing and modification	44496	
Protein secretion system, Type I	103	
Protein secretion system, Type II	12182	
Protein secretion system, Type III	413	
Protein secretion system, Type V	198	
Protein secretion system, Type VI	11182	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	159	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	738	
Protein translocation across cytoplasmic membrane	14344	
Proteolytic pathway	410	
Purines	49153	
Putative GGDEF domain protein related to agglutinin secretion	139	
Putative Isoquinoline 1-oxidoreductase subunit	6038	
Putative asociate of RNA polymerase sigma-54 factor rpoN	9904	
Putrescine/GABA utilization cluster-temporal,to add to SSs	2963	
Pyridoxine	13832	
Pyrimidines	40012	
Pyruvate kinase associated cluster	2908	
Quinone cofactors	14245	
Quorum sensing and biofilm formation	2949	
RNA processing and modification	88420	
Recombination related cluster	1328	
Regulation of virulence	8443	
Related to Menaquinone-cytochrome C reductase 	214	
Resistance to antibiotics and toxic compounds	94138	
Reverse electron transport	126	
Riboflavin, FMN, FAD	6533	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	4930	
Ribosome-related cluster	6630	
Sarcosine oxidase	1867	
Selenoproteins	14274	
Shiga toxin cluster	2921	
Siderophores	1725	
Signal transduction in Eukaryotes	12	
Social motility and nonflagellar swimming in bacteria	90	
Sodium Ion-Coupled Energetics	679	
Spore DNA protection	2	
Sugar Phosphotransferase Systems, PTS	1760	
Sugar alcohols	22728	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	7643	
Tetrapyrroles	27243	
Three hypotheticals linked to lipoprotein biosynthesis	1618	
TldD cluster	3899	
Toxins and superantigens	381	
Transcription	40258	
Translation	5490	
Transposable elements	5106	
Triacylglycerols	474	
Tricarboxylate transporter	1004	
Two related proteases	4997	
Uni- Sym- and Antiporters	2054	
alpha-proteobacterial cluster of hypotheticals	1402	
proteosome related	3294	
recX and regulatory cluster	1808	
tRNA sulfuration	2716	

