Taxon	
mgm4664893.3	
ABC transporters	23573	
ATP synthases	5814	
Acid stress	1422	
Adhesion	1449	
Alanine, serine, and glycine	27197	
Aminosugars	4935	
Anaerobic degradation of aromatic compounds	9733	
Arginine; urea cycle, polyamines	34372	
Aromatic amino acids and derivatives	27449	
Bacterial cytostatics, differentiation factors and antibiotics	772	
Bacteriocins, ribosomally synthesized antibacterial peptides	302	
Biologically active compounds in metazoan cell defence and differentiation	4010	
Biosynthesis of galactoglycans and related lipopolysacharides	14449	
Biosynthesis of phenylpropanoids	865	
Biotin	18508	
Branched-chain amino acids	60576	
CO2 fixation	34643	
CRISPRs and associated hypotheticals	209	
CRISPs	468	
Capsular and extracellular polysacchrides	34839	
Carbohydrates	2870	
Carotenoid biosynthesis	2692	
Catabolism of an unknown compound	681	
Cell Division	11512	
Cell wall of Mycobacteria	14686	
Central carbohydrate metabolism	120838	
Chemotaxis, response regulators	324	
Choline bitartrate degradation, putative	2471	
Chromosome Replication	1607	
Clustering-based subsystems	13516	
Coenzyme A	7143	
Coenzyme B	13	
Coenzyme F420	2009	
Coenzyme M	267	
Cold shock	797	
Cytochrome biogenesis	8535	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	1016	
DNA metabolism	97	
DNA polymerase III epsilon cluster	1569	
DNA recombination	2825	
DNA repair	50091	
DNA replication	45382	
DNA uptake, competence	2461	
Dessication stress	5	
Detection	9121	
Detoxification	5753	
Di- and oligosaccharides	36187	
Electron accepting reactions	24199	
Electron donating reactions	46339	
Electron transport and photophosphorylation	16	
Fatty acid metabolic cluster	26923	
Fatty acids	55103	
Fermentation	39678	
Flagella protein?	703	
Flagellar motility in Prokaryota	17824	
Folate and pterines	90569	
Gene Transfer Agent (GTA)	166	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	27419	
Glycoside hydrolases	1410	
Gram-Negative cell wall components	26145	
Gram-Positive cell wall components	3984	
Heat shock	13890	
Histidine Metabolism	10785	
Hypothetical Related to Dihydroorate Dehydrogenase	583	
Hypothetical associated with RecF	312	
Hypothetical in Lysine biosynthetic cluster	2242	
Hypothetical lipase related to Phosphatidate metabolism	1217	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	2650	
Inorganic sulfur assimilation	10491	
Invasion and intracellular resistance	98	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	6200	
Isoprenoids	20703	
Light-harvesting complexes	5	
Lipid-derived mediators	164	
Lipoic acid	1624	
Lysine Biosynthesis	533	
Lysine, threonine, methionine, and cysteine	74486	
Metabolism of central aromatic intermediates	23590	
Methylamine utilization	10151	
Molybdopterin oxidoreductase	2258	
Monosaccharides	44945	
NAD and NADP	11145	
Nucleotidyl-phosphate metabolic cluster	14101	
One-carbon Metabolism	60419	
Organic acids	29954	
Organic sulfur assimilation	13569	
Osmotic stress	11511	
Oxidative stress	31240	
Pathogenicity islands	7332	
Peripheral pathways for catabolism of aromatic compounds	36596	
Periplasmic Stress	2203	
Phages, Prophages	23641	
Phosphate metabolism	3296	
Phospholipids	20803	
Plant Alkaloids	523	
Plant Hormones	6601	
Plant Octadecanoids	17	
Plant-Prokaryote DOE project	201980	
Plasmid related functions	766	
Polysaccharides	14754	
Probably GTP or GMP signaling related	4659	
Probably Pyrimidine biosynthesis-related	1373	
Probably Ybbk-related hypothetical membrane proteins	878	
Probably organic hydroperoxide resistance related hypothetical protein	751	
Programmed Cell Death and Toxin-antitoxin Systems	2613	
Proline and 4-hydroxyproline	9089	
Proteasome related clusters	21	
Protein and nucleoprotein secretion system, Type IV	5844	
Protein biosynthesis	103137	
Protein degradation	32257	
Protein export?	6758	
Protein folding	19802	
Protein processing and modification	29890	
Protein secretion system, Type I	80	
Protein secretion system, Type II	10465	
Protein secretion system, Type III	392	
Protein secretion system, Type V	169	
Protein secretion system, Type VI	7444	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	56	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	667	
Protein translocation across cytoplasmic membrane	10404	
Proteolytic pathway	263	
Purines	36027	
Putative GGDEF domain protein related to agglutinin secretion	115	
Putative Isoquinoline 1-oxidoreductase subunit	8396	
Putative asociate of RNA polymerase sigma-54 factor rpoN	7255	
Putrescine/GABA utilization cluster-temporal,to add to SSs	2936	
Pyridoxine	10576	
Pyrimidines	28775	
Pyruvate kinase associated cluster	2193	
Quinone cofactors	9959	
Quorum sensing and biofilm formation	1972	
RNA processing and modification	60419	
Recombination related cluster	805	
Regulation of virulence	6383	
Related to Menaquinone-cytochrome C reductase 	224	
Resistance to antibiotics and toxic compounds	78947	
Reverse electron transport	47	
Riboflavin, FMN, FAD	4661	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	3694	
Ribosome-related cluster	4422	
Sarcosine oxidase	1817	
Selenoproteins	10220	
Shiga toxin cluster	2291	
Siderophores	1831	
Signal transduction in Eukaryotes	4	
Social motility and nonflagellar swimming in bacteria	54	
Sodium Ion-Coupled Energetics	282	
Sugar Phosphotransferase Systems, PTS	1091	
Sugar alcohols	15416	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	4980	
Tetrapyrroles	18805	
Three hypotheticals linked to lipoprotein biosynthesis	1136	
TldD cluster	2545	
Toxins and superantigens	226	
Transcription	28622	
Translation	4209	
Transposable elements	3389	
Triacylglycerols	439	
Tricarboxylate transporter	1558	
Two related proteases	3445	
Uni- Sym- and Antiporters	1107	
alpha-proteobacterial cluster of hypotheticals	1272	
proteosome related	1532	
recX and regulatory cluster	1088	
tRNA sulfuration	1820	

