Taxon	
mgm4637861.3	
ABC transporters	54763	
ATP synthases	12904	
Acid stress	3014	
Adhesion	2478	
Alanine, serine, and glycine	63400	
Aminosugars	14885	
Anaerobic degradation of aromatic compounds	17764	
Arginine; urea cycle, polyamines	69517	
Aromatic amino acids and derivatives	54720	
Bacterial cytostatics, differentiation factors and antibiotics	1589	
Bacteriocins, ribosomally synthesized antibacterial peptides	634	
Biologically active compounds in metazoan cell defence and differentiation	6931	
Biosynthesis of galactoglycans and related lipopolysacharides	33633	
Biosynthesis of phenylpropanoids	1383	
Biotin	33953	
Branched-chain amino acids	121238	
CO2 fixation	69671	
CRISPRs and associated hypotheticals	384	
CRISPs	780	
Capsular and extracellular polysacchrides	77648	
Carbohydrates	6043	
Carotenoid biosynthesis	2465	
Catabolism of an unknown compound	2370	
Cell Division	26843	
Cell wall of Mycobacteria	25358	
Central carbohydrate metabolism	251422	
Chemotaxis, response regulators	598	
Choline bitartrate degradation, putative	4117	
Chromosome Replication	2294	
Clustering-based subsystems	30233	
Coenzyme A	14514	
Coenzyme B	47	
Coenzyme F420	3769	
Coenzyme M	907	
Cold shock	1795	
Cytochrome biogenesis	20976	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	3808	
DNA metabolism	278	
DNA polymerase III epsilon cluster	3606	
DNA recombination	6501	
DNA repair	118566	
DNA replication	107677	
DNA uptake, competence	5947	
Dessication stress	24	
Detection	18729	
Detoxification	12085	
Di- and oligosaccharides	84358	
Electron accepting reactions	45468	
Electron donating reactions	98701	
Electron transport and photophosphorylation	89	
Fatty acid metabolic cluster	52445	
Fatty acids	98161	
Fermentation	67443	
Flagella protein?	871	
Flagellar motility in Prokaryota	29868	
Folate and pterines	201438	
Gene Transfer Agent (GTA)	438	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	59449	
Glycoside hydrolases	3006	
Gram-Negative cell wall components	45872	
Gram-Positive cell wall components	8495	
Heat shock	30843	
Histidine Metabolism	24277	
Hypothetical Related to Dihydroorate Dehydrogenase	1192	
Hypothetical associated with RecF	930	
Hypothetical in Lysine biosynthetic cluster	4595	
Hypothetical lipase related to Phosphatidate metabolism	2621	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	6078	
Inorganic sulfur assimilation	23146	
Invasion and intracellular resistance	440	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	13893	
Isoprenoids	40657	
Light-harvesting complexes	2	
Lipid-derived mediators	246	
Lipoic acid	3809	
Lysine Biosynthesis	964	
Lysine, threonine, methionine, and cysteine	156650	
Metabolism of central aromatic intermediates	34173	
Methylamine utilization	18596	
Molybdopterin oxidoreductase	5554	
Monosaccharides	104045	
NAD and NADP	26744	
Nucleotidyl-phosphate metabolic cluster	23481	
One-carbon Metabolism	122578	
Organic acids	55965	
Organic sulfur assimilation	22767	
Osmotic stress	19641	
Oxidative stress	58898	
Pathogenicity islands	16502	
Peripheral pathways for catabolism of aromatic compounds	59049	
Periplasmic Stress	4254	
Phages, Prophages	46654	
Phosphate metabolism	6838	
Phospholipids	38323	
Plant Alkaloids	1244	
Plant Hormones	12890	
Plant Octadecanoids	28	
Plant-Prokaryote DOE project	420349	
Plasmid related functions	567	
Polysaccharides	28728	
Probably GTP or GMP signaling related	10503	
Probably Pyrimidine biosynthesis-related	3104	
Probably Ybbk-related hypothetical membrane proteins	1774	
Probably organic hydroperoxide resistance related hypothetical protein	1320	
Programmed Cell Death and Toxin-antitoxin Systems	2515	
Proline and 4-hydroxyproline	20313	
Proteasome related clusters	72	
Protein and nucleoprotein secretion system, Type IV	8649	
Protein biosynthesis	238729	
Protein degradation	72326	
Protein export?	15014	
Protein folding	40623	
Protein processing and modification	62048	
Protein secretion system, Type I	753	
Protein secretion system, Type II	18546	
Protein secretion system, Type III	722	
Protein secretion system, Type V	171	
Protein secretion system, Type VI	14001	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	68	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	1425	
Protein translocation across cytoplasmic membrane	22983	
Proteolytic pathway	111	
Purines	80859	
Putative GGDEF domain protein related to agglutinin secretion	345	
Putative Isoquinoline 1-oxidoreductase subunit	7940	
Putative asociate of RNA polymerase sigma-54 factor rpoN	15941	
Putrescine/GABA utilization cluster-temporal,to add to SSs	4875	
Pyridoxine	22846	
Pyrimidines	62202	
Pyruvate kinase associated cluster	4571	
Quinone cofactors	22390	
Quorum sensing and biofilm formation	4729	
RNA processing and modification	138156	
Recombination related cluster	2029	
Regulation of virulence	14351	
Related to Menaquinone-cytochrome C reductase 	510	
Resistance to antibiotics and toxic compounds	110328	
Reverse electron transport	186	
Riboflavin, FMN, FAD	10611	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	9191	
Ribosome-related cluster	10043	
Sarcosine oxidase	2459	
Selenoproteins	22528	
Shiga toxin cluster	5338	
Siderophores	4742	
Signal transduction in Eukaryotes	5	
Social motility and nonflagellar swimming in bacteria	116	
Sodium Ion-Coupled Energetics	718	
Sugar Phosphotransferase Systems, PTS	2611	
Sugar alcohols	35636	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	8596	
Tetrapyrroles	35617	
Three hypotheticals linked to lipoprotein biosynthesis	2175	
TldD cluster	5025	
Toxins and superantigens	605	
Transcription	62660	
Translation	8358	
Transposable elements	7408	
Triacylglycerols	678	
Tricarboxylate transporter	8209	
Two related proteases	9038	
Uni- Sym- and Antiporters	4241	
alpha-proteobacterial cluster of hypotheticals	1246	
proteosome related	6073	
recX and regulatory cluster	2558	
tRNA sulfuration	3678	

