Taxon	
mgm4664922.3	
ABC transporters	32741	
ATP synthases	7296	
Acid stress	1790	
Adhesion	1849	
Alanine, serine, and glycine	34643	
Aminosugars	6605	
Anaerobic degradation of aromatic compounds	11919	
Arginine; urea cycle, polyamines	43768	
Aromatic amino acids and derivatives	35305	
Bacterial cytostatics, differentiation factors and antibiotics	1142	
Bacteriocins, ribosomally synthesized antibacterial peptides	405	
Biologically active compounds in metazoan cell defence and differentiation	3145	
Biosynthesis of galactoglycans and related lipopolysacharides	18867	
Biosynthesis of phenylpropanoids	968	
Biotin	23288	
Branched-chain amino acids	76463	
CO2 fixation	44118	
CRISPRs and associated hypotheticals	442	
CRISPs	919	
Capsular and extracellular polysacchrides	44628	
Carbohydrates	3243	
Carotenoid biosynthesis	3529	
Catabolism of an unknown compound	792	
Cell Division	14420	
Cell wall of Mycobacteria	17963	
Central carbohydrate metabolism	151314	
Chemotaxis, response regulators	331	
Choline bitartrate degradation, putative	3208	
Chromosome Replication	1668	
Clustering-based subsystems	16905	
Coenzyme A	8530	
Coenzyme B	34	
Coenzyme F420	2561	
Coenzyme M	532	
Cold shock	1037	
Cytochrome biogenesis	11299	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	1352	
DNA metabolism	97	
DNA polymerase III epsilon cluster	2086	
DNA recombination	3645	
DNA repair	64001	
DNA replication	58077	
DNA uptake, competence	3154	
Dessication stress	11	
Detection	11321	
Detoxification	7381	
Di- and oligosaccharides	46937	
Electron accepting reactions	31469	
Electron donating reactions	61139	
Electron transport and photophosphorylation	62	
Fatty acid metabolic cluster	33861	
Fatty acids	68250	
Fermentation	47231	
Flagella protein?	859	
Flagellar motility in Prokaryota	23095	
Folate and pterines	117349	
Gene Transfer Agent (GTA)	231	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	35605	
Glycoside hydrolases	1528	
Gram-Negative cell wall components	33231	
Gram-Positive cell wall components	5271	
Heat shock	18021	
Histidine Metabolism	14102	
Hypothetical Related to Dihydroorate Dehydrogenase	771	
Hypothetical associated with RecF	444	
Hypothetical in Lysine biosynthetic cluster	2895	
Hypothetical lipase related to Phosphatidate metabolism	1517	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	3400	
Inorganic sulfur assimilation	13400	
Invasion and intracellular resistance	132	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	7883	
Isoprenoids	26591	
Light-harvesting complexes	1	
Lipid-derived mediators	186	
Lipoic acid	2129	
Lysine Biosynthesis	688	
Lysine, threonine, methionine, and cysteine	94252	
Metabolism of central aromatic intermediates	31146	
Methylamine utilization	12819	
Molybdopterin oxidoreductase	3255	
Monosaccharides	56362	
NAD and NADP	15198	
Nucleotidyl-phosphate metabolic cluster	14591	
One-carbon Metabolism	77346	
Organic acids	38015	
Organic sulfur assimilation	15795	
Osmotic stress	11745	
Oxidative stress	40070	
Pathogenicity islands	9198	
Peripheral pathways for catabolism of aromatic compounds	45358	
Periplasmic Stress	3010	
Phages, Prophages	28722	
Phosphate metabolism	4088	
Phospholipids	23872	
Plant Alkaloids	609	
Plant Hormones	8003	
Plant Octadecanoids	23	
Plant-Prokaryote DOE project	258550	
Plasmid related functions	844	
Polysaccharides	18324	
Probably GTP or GMP signaling related	6175	
Probably Pyrimidine biosynthesis-related	1856	
Probably Ybbk-related hypothetical membrane proteins	1103	
Probably organic hydroperoxide resistance related hypothetical protein	930	
Programmed Cell Death and Toxin-antitoxin Systems	3143	
Proline and 4-hydroxyproline	11517	
Proteasome related clusters	45	
Protein and nucleoprotein secretion system, Type IV	6953	
Protein biosynthesis	131453	
Protein degradation	40296	
Protein export?	8264	
Protein folding	25128	
Protein processing and modification	39187	
Protein secretion system, Type I	148	
Protein secretion system, Type II	13009	
Protein secretion system, Type III	511	
Protein secretion system, Type V	204	
Protein secretion system, Type VI	9286	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	62	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	751	
Protein translocation across cytoplasmic membrane	13160	
Proteolytic pathway	349	
Purines	44929	
Putative GGDEF domain protein related to agglutinin secretion	139	
Putative Isoquinoline 1-oxidoreductase subunit	10974	
Putative asociate of RNA polymerase sigma-54 factor rpoN	9126	
Putrescine/GABA utilization cluster-temporal,to add to SSs	3669	
Pyridoxine	13351	
Pyrimidines	36576	
Pyruvate kinase associated cluster	2818	
Quinone cofactors	13663	
Quorum sensing and biofilm formation	2566	
RNA processing and modification	77739	
Recombination related cluster	1067	
Regulation of virulence	7911	
Related to Menaquinone-cytochrome C reductase 	367	
Resistance to antibiotics and toxic compounds	95584	
Reverse electron transport	45	
Riboflavin, FMN, FAD	5803	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	4765	
Ribosome-related cluster	5601	
Sarcosine oxidase	2078	
Selenoproteins	13491	
Shiga toxin cluster	2768	
Siderophores	3090	
Signal transduction in Eukaryotes	9	
Social motility and nonflagellar swimming in bacteria	87	
Sodium Ion-Coupled Energetics	330	
Spore DNA protection	1	
Sugar Phosphotransferase Systems, PTS	1460	
Sugar alcohols	19212	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	3471	
Tetrapyrroles	25666	
Three hypotheticals linked to lipoprotein biosynthesis	1543	
TldD cluster	3150	
Toxins and superantigens	249	
Transcription	36727	
Translation	5383	
Transposable elements	4065	
Triacylglycerols	544	
Tricarboxylate transporter	2469	
Two related proteases	4220	
Uni- Sym- and Antiporters	1613	
alpha-proteobacterial cluster of hypotheticals	1857	
proteosome related	2449	
recX and regulatory cluster	1503	
tRNA sulfuration	2342	

