Taxon	
mgm4664863.3	
ABC transporters	13064	
ATP synthases	3153	
Acid stress	862	
Adhesion	862	
Alanine, serine, and glycine	15587	
Aminosugars	3444	
Anaerobic degradation of aromatic compounds	5218	
Arginine; urea cycle, polyamines	18760	
Aromatic amino acids and derivatives	14631	
Bacterial cytostatics, differentiation factors and antibiotics	426	
Bacteriocins, ribosomally synthesized antibacterial peptides	219	
Biologically active compounds in metazoan cell defence and differentiation	2558	
Biosynthesis of galactoglycans and related lipopolysacharides	8767	
Biosynthesis of phenylpropanoids	383	
Biotin	9576	
Branched-chain amino acids	32622	
CO2 fixation	18735	
CRISPRs and associated hypotheticals	150	
CRISPs	328	
Capsular and extracellular polysacchrides	20034	
Carbohydrates	1592	
Carotenoid biosynthesis	1241	
Catabolism of an unknown compound	467	
Cell Division	6523	
Cell wall of Mycobacteria	7656	
Central carbohydrate metabolism	67824	
Chemotaxis, response regulators	158	
Choline bitartrate degradation, putative	1313	
Chromosome Replication	897	
Clustering-based subsystems	7528	
Coenzyme A	3575	
Coenzyme B	23	
Coenzyme F420	1049	
Coenzyme M	201	
Cold shock	452	
Cytochrome biogenesis	5181	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	526	
DNA metabolism	37	
DNA polymerase III epsilon cluster	791	
DNA recombination	1481	
DNA repair	28328	
DNA replication	25165	
DNA uptake, competence	1329	
Dessication stress	1	
Detection	4798	
Detoxification	2697	
Di- and oligosaccharides	19988	
Electron accepting reactions	13017	
Electron donating reactions	27093	
Electron transport and photophosphorylation	8	
Fatty acid metabolic cluster	14525	
Fatty acids	28583	
Fermentation	20815	
Flagella protein?	333	
Flagellar motility in Prokaryota	9245	
Folate and pterines	49784	
Gene Transfer Agent (GTA)	102	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	15950	
Glycoside hydrolases	930	
Gram-Negative cell wall components	13918	
Gram-Positive cell wall components	2269	
Heat shock	7719	
Histidine Metabolism	5775	
Hypothetical Related to Dihydroorate Dehydrogenase	323	
Hypothetical associated with RecF	165	
Hypothetical in Lysine biosynthetic cluster	1136	
Hypothetical lipase related to Phosphatidate metabolism	736	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	1546	
Inorganic sulfur assimilation	5371	
Invasion and intracellular resistance	69	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	3355	
Isoprenoids	10963	
Lipid-derived mediators	69	
Lipoic acid	918	
Lysine Biosynthesis	217	
Lysine, threonine, methionine, and cysteine	41686	
Metabolism of central aromatic intermediates	12435	
Methylamine utilization	5302	
Molybdopterin oxidoreductase	1536	
Monosaccharides	25738	
NAD and NADP	6211	
Nucleotidyl-phosphate metabolic cluster	7478	
One-carbon Metabolism	33322	
Organic acids	15975	
Organic sulfur assimilation	7204	
Osmotic stress	5589	
Oxidative stress	16319	
Pathogenicity islands	4206	
Peripheral pathways for catabolism of aromatic compounds	18103	
Periplasmic Stress	1152	
Phages, Prophages	13822	
Phosphate metabolism	1982	
Phospholipids	10603	
Plant Alkaloids	276	
Plant Hormones	3748	
Plant Octadecanoids	7	
Plant-Prokaryote DOE project	109947	
Plasmid related functions	281	
Polysaccharides	8284	
Probably GTP or GMP signaling related	2656	
Probably Pyrimidine biosynthesis-related	739	
Probably Ybbk-related hypothetical membrane proteins	517	
Probably organic hydroperoxide resistance related hypothetical protein	425	
Programmed Cell Death and Toxin-antitoxin Systems	1513	
Proline and 4-hydroxyproline	4786	
Proteasome related clusters	31	
Protein and nucleoprotein secretion system, Type IV	3000	
Protein biosynthesis	57233	
Protein degradation	19397	
Protein export?	3758	
Protein folding	11611	
Protein processing and modification	16618	
Protein secretion system, Type I	53	
Protein secretion system, Type II	5645	
Protein secretion system, Type III	242	
Protein secretion system, Type V	76	
Protein secretion system, Type VI	4816	
