Taxon	
mgm4664868.3	
ABC transporters	23767	
ATP synthases	6092	
Acid stress	1475	
Adhesion	1376	
Alanine, serine, and glycine	29686	
Aminosugars	5608	
Anaerobic degradation of aromatic compounds	10369	
Arginine; urea cycle, polyamines	36399	
Aromatic amino acids and derivatives	28591	
Bacterial cytostatics, differentiation factors and antibiotics	839	
Bacteriocins, ribosomally synthesized antibacterial peptides	295	
Biologically active compounds in metazoan cell defence and differentiation	4474	
Biosynthesis of galactoglycans and related lipopolysacharides	16186	
Biosynthesis of phenylpropanoids	884	
Biotin	19351	
Branched-chain amino acids	64386	
CO2 fixation	37072	
CRISPRs and associated hypotheticals	285	
CRISPs	590	
Capsular and extracellular polysacchrides	37983	
Carbohydrates	2936	
Carotenoid biosynthesis	2640	
Catabolism of an unknown compound	792	
Cell Division	12261	
Cell wall of Mycobacteria	15943	
Central carbohydrate metabolism	129116	
Chemotaxis, response regulators	329	
Choline bitartrate degradation, putative	2625	
Chromosome Replication	1723	
Clustering-based subsystems	14276	
Coenzyme A	7613	
Coenzyme B	21	
Coenzyme F420	2329	
Coenzyme M	317	
Cold shock	886	
Cytochrome biogenesis	9177	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	1071	
DNA metabolism	77	
DNA polymerase III epsilon cluster	1579	
DNA recombination	3064	
DNA repair	53129	
DNA replication	47716	
DNA uptake, competence	2546	
Dessication stress	5	
Detection	9637	
Detoxification	5679	
Di- and oligosaccharides	39289	
Electron accepting reactions	26169	
Electron donating reactions	50272	
Electron transport and photophosphorylation	7	
Fatty acid metabolic cluster	29061	
Fatty acids	58345	
Fermentation	42259	
Flagella protein?	628	
Flagellar motility in Prokaryota	17348	
Folate and pterines	96695	
Gene Transfer Agent (GTA)	210	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	29341	
Glycoside hydrolases	1743	
Gram-Negative cell wall components	27236	
Gram-Positive cell wall components	4448	
Heat shock	14928	
Histidine Metabolism	11598	
Hypothetical Related to Dihydroorate Dehydrogenase	568	
Hypothetical associated with RecF	297	
Hypothetical in Lysine biosynthetic cluster	2313	
Hypothetical lipase related to Phosphatidate metabolism	1459	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	2703	
Inorganic sulfur assimilation	10745	
