Taxon	
mgm4637866.3	
ABC transporters	33775	
ATP synthases	10400	
Acid stress	2436	
Adhesion	2240	
Alanine, serine, and glycine	46687	
Aminosugars	11852	
Anaerobic degradation of aromatic compounds	12724	
Arginine; urea cycle, polyamines	52590	
Aromatic amino acids and derivatives	40676	
Bacterial cytostatics, differentiation factors and antibiotics	1279	
Bacteriocins, ribosomally synthesized antibacterial peptides	492	
Biologically active compounds in metazoan cell defence and differentiation	4601	
Biosynthesis of galactoglycans and related lipopolysacharides	26153	
Biosynthesis of phenylpropanoids	952	
Biotin	24875	
Branched-chain amino acids	89894	
CO2 fixation	52617	
CRISPRs and associated hypotheticals	157	
CRISPs	406	
Capsular and extracellular polysacchrides	59029	
Carbohydrates	4571	
Carotenoid biosynthesis	1991	
Catabolism of an unknown compound	1754	
Cell Division	19958	
Cell wall of Mycobacteria	18485	
Central carbohydrate metabolism	188154	
Chemotaxis, response regulators	534	
Choline bitartrate degradation, putative	3102	
Chromosome Replication	2047	
Clustering-based subsystems	21000	
Coenzyme A	11019	
Coenzyme B	37	
Coenzyme F420	2290	
Coenzyme M	546	
Cold shock	1491	
Cytochrome biogenesis	15261	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	3058	
DNA metabolism	333	
DNA polymerase III epsilon cluster	2878	
DNA recombination	5028	
DNA repair	92117	
DNA replication	85483	
DNA uptake, competence	4515	
Dessication stress	13	
Detection	14013	
Detoxification	9741	
Di- and oligosaccharides	65802	
Electron accepting reactions	36147	
Electron donating reactions	72018	
Electron transport and photophosphorylation	99	
Fatty acid metabolic cluster	39010	
Fatty acids	72265	
Fermentation	49286	
Flagella protein?	888	
Flagellar motility in Prokaryota	25815	
Folate and pterines	151589	
Gene Transfer Agent (GTA)	538	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	44736	
Glycoside hydrolases	2376	
Gram-Negative cell wall components	36805	
Gram-Positive cell wall components	6513	
Heat shock	23470	
Histidine Metabolism	17976	
Hypothetical Related to Dihydroorate Dehydrogenase	1028	
Hypothetical associated with RecF	801	
Hypothetical in Lysine biosynthetic cluster	3450	
Hypothetical lipase related to Phosphatidate metabolism	2139	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	4644	
Inorganic sulfur assimilation	17859	
Invasion and intracellular resistance	487	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	10477	
Isoprenoids	31523	
Light-harvesting complexes	13	
Lipid-derived mediators	194	
Lipoic acid	2728	
Lysine Biosynthesis	882	
Lysine, threonine, methionine, and cysteine	119516	
Metabolism of central aromatic intermediates	26161	
Methylamine utilization	13371	
Molybdopterin oxidoreductase	4371	
Monosaccharides	84702	
NAD and NADP	20138	
Nucleotidyl-phosphate metabolic cluster	14002	
One-carbon Metabolism	91937	
Organic acids	41778	
Organic sulfur assimilation	16231	
Osmotic stress	14101	
Oxidative stress	46188	
Pathogenicity islands	12409	
Peripheral pathways for catabolism of aromatic compounds	43869	
Periplasmic Stress	3291	
Phages, Prophages	34724	
Phosphate metabolism	4419	
Phospholipids	28823	
Plant Alkaloids	1057	
Plant Hormones	9373	
Plant Octadecanoids	18	
Plant-Prokaryote DOE project	318494	
Plasmid related functions	541	
Polysaccharides	21699	
Probably GTP or GMP signaling related	8476	
Probably Pyrimidine biosynthesis-related	2322	
Probably Ybbk-related hypothetical membrane proteins	1469	
Probably organic hydroperoxide resistance related hypothetical protein	1158	
Programmed Cell Death and Toxin-antitoxin Systems	1807	
Proline and 4-hydroxyproline	15377	
Proteasome related clusters	116	
Protein and nucleoprotein secretion system, Type IV	6852	
Protein biosynthesis	184394	
Protein degradation	54395	
Protein export?	11641	
Protein folding	31227	
Protein processing and modification	47146	
Protein secretion system, Type I	721	
Protein secretion system, Type II	13650	
Protein secretion system, Type III	663	
Protein secretion system, Type V	154	
Protein secretion system, Type VI	11200	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	41	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	1035	
Protein translocation across cytoplasmic membrane	18390	
Proteolytic pathway	106	
Purines	59232	
Putative GGDEF domain protein related to agglutinin secretion	311	
Putative Isoquinoline 1-oxidoreductase subunit	5138	
Putative asociate of RNA polymerase sigma-54 factor rpoN	10894	
Putrescine/GABA utilization cluster-temporal,to add to SSs	3831	
Pyridoxine	17549	
Pyrimidines	46991	
Pyruvate kinase associated cluster	3624	
Quinone cofactors	16589	
Quorum sensing and biofilm formation	3575	
RNA processing and modification	107874	
Recombination related cluster	1453	
Regulation of virulence	11311	
Related to Menaquinone-cytochrome C reductase 	357	
Resistance to antibiotics and toxic compounds	83711	
Reverse electron transport	94	
Riboflavin, FMN, FAD	7889	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	6828	
Ribosome-related cluster	7373	
Sarcosine oxidase	1685	
Selenoproteins	15989	
Shiga toxin cluster	4354	
Siderophores	4599	
Signal transduction in Eukaryotes	4	
Social motility and nonflagellar swimming in bacteria	89	
Sodium Ion-Coupled Energetics	462	
Spore DNA protection	10	
Sugar Phosphotransferase Systems, PTS	2059	
Sugar alcohols	26267	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	5583	
Tetrapyrroles	26753	
Three hypotheticals linked to lipoprotein biosynthesis	1865	
TldD cluster	3933	
Toxins and superantigens	409	
Transcription	47040	
Translation	6274	
Transposable elements	5681	
Triacylglycerols	609	
Tricarboxylate transporter	5040	
Two related proteases	6209	
Uni- Sym- and Antiporters	4289	
alpha-proteobacterial cluster of hypotheticals	1158	
proteosome related	4306	
recX and regulatory cluster	1970	
tRNA sulfuration	2989	

