Taxon	
mgm4637865.3	
ABC transporters	46696	
ATP synthases	11733	
Acid stress	2698	
Adhesion	2353	
Alanine, serine, and glycine	55274	
Aminosugars	13138	
Anaerobic degradation of aromatic compounds	15248	
Arginine; urea cycle, polyamines	62019	
Aromatic amino acids and derivatives	48290	
Bacterial cytostatics, differentiation factors and antibiotics	1421	
Bacteriocins, ribosomally synthesized antibacterial peptides	571	
Biologically active compounds in metazoan cell defence and differentiation	6543	
Biosynthesis of galactoglycans and related lipopolysacharides	29599	
Biosynthesis of phenylpropanoids	1246	
Biotin	29279	
Branched-chain amino acids	105106	
CO2 fixation	62094	
CRISPRs and associated hypotheticals	318	
CRISPs	665	
Capsular and extracellular polysacchrides	68395	
Carbohydrates	5610	
Carotenoid biosynthesis	2231	
Catabolism of an unknown compound	2209	
Cell Division	23168	
Cell wall of Mycobacteria	22373	
Central carbohydrate metabolism	223371	
Chemotaxis, response regulators	491	
Choline bitartrate degradation, putative	3500	
Chromosome Replication	2071	
Clustering-based subsystems	25893	
Coenzyme A	12743	
Coenzyme B	49	
Coenzyme F420	3291	
Coenzyme M	847	
Cold shock	1638	
Cytochrome biogenesis	18943	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	3577	
DNA metabolism	257	
DNA polymerase III epsilon cluster	3116	
DNA recombination	5683	
DNA repair	103865	
DNA replication	95993	
DNA uptake, competence	4989	
Dessication stress	17	
Detection	16094	
Detoxification	10690	
Di- and oligosaccharides	75517	
Electron accepting reactions	41059	
Electron donating reactions	87951	
Electron transport and photophosphorylation	69	
Fatty acid metabolic cluster	45142	
Fatty acids	84994	
Fermentation	58463	
Flagella protein?	770	
Flagellar motility in Prokaryota	26105	
Folate and pterines	178138	
Gene Transfer Agent (GTA)	464	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	52988	
Glycoside hydrolases	2751	
Gram-Negative cell wall components	40366	
Gram-Positive cell wall components	7555	
Heat shock	26594	
Histidine Metabolism	20864	
Hypothetical Related to Dihydroorate Dehydrogenase	1048	
Hypothetical associated with RecF	818	
Hypothetical in Lysine biosynthetic cluster	3927	
Hypothetical lipase related to Phosphatidate metabolism	2378	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	5332	
Inorganic sulfur assimilation	21014	
Invasion and intracellular resistance	421	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	12354	
Isoprenoids	35622	
Light-harvesting complexes	7	
Lipid-derived mediators	193	
Lipoic acid	3307	
Lysine Biosynthesis	836	
Lysine, threonine, methionine, and cysteine	137759	
Metabolism of central aromatic intermediates	30671	
Methylamine utilization	16570	
Molybdopterin oxidoreductase	4932	
Monosaccharides	92007	
NAD and NADP	23424	
Nucleotidyl-phosphate metabolic cluster	20453	
One-carbon Metabolism	109515	
Organic acids	49043	
Organic sulfur assimilation	20217	
Osmotic stress	17562	
Oxidative stress	51865	
Pathogenicity islands	14781	
Peripheral pathways for catabolism of aromatic compounds	51247	
Periplasmic Stress	3572	
Phages, Prophages	41621	
Phosphate metabolism	5818	
Phospholipids	33456	
Plant Alkaloids	1085	
Plant Hormones	11397	
Plant Octadecanoids	19	
Plant-Prokaryote DOE project	372012	
