Taxon	
mgm4664894.3	
ABC transporters	42396	
ATP synthases	10071	
Acid stress	2444	
Adhesion	2512	
Alanine, serine, and glycine	47252	
Aminosugars	9115	
Anaerobic degradation of aromatic compounds	17001	
Arginine; urea cycle, polyamines	59000	
Aromatic amino acids and derivatives	47253	
Bacterial cytostatics, differentiation factors and antibiotics	1315	
Bacteriocins, ribosomally synthesized antibacterial peptides	518	
Biologically active compounds in metazoan cell defence and differentiation	5748	
Biosynthesis of galactoglycans and related lipopolysacharides	25859	
Biosynthesis of phenylpropanoids	1597	
Biotin	32192	
Branched-chain amino acids	104941	
CO2 fixation	61780	
CRISPRs and associated hypotheticals	563	
CRISPs	1211	
Capsular and extracellular polysacchrides	60377	
Carbohydrates	5045	
Carotenoid biosynthesis	4512	
Catabolism of an unknown compound	1062	
Cell Division	19082	
Cell wall of Mycobacteria	26193	
Central carbohydrate metabolism	212344	
Chemotaxis, response regulators	482	
Choline bitartrate degradation, putative	4427	
Chromosome Replication	2783	
Clustering-based subsystems	23004	
Coenzyme A	11603	
Coenzyme B	47	
Coenzyme F420	3585	
Coenzyme M	680	
Cold shock	1632	
Cytochrome biogenesis	15102	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	1753	
DNA metabolism	125	
DNA polymerase III epsilon cluster	2530	
DNA recombination	4604	
DNA repair	85884	
DNA replication	75860	
DNA uptake, competence	3968	
Dessication stress	14	
Detection	15552	
Detoxification	10048	
Di- and oligosaccharides	65956	
Electron accepting reactions	47995	
Electron donating reactions	85090	
Electron transport and photophosphorylation	55	
Fatty acid metabolic cluster	46815	
Fatty acids	96190	
Fermentation	70009	
Flagella protein?	1165	
Flagellar motility in Prokaryota	28956	
Folate and pterines	159547	
Gene Transfer Agent (GTA)	468	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	47414	
Glycoside hydrolases	2256	
Gram-Negative cell wall components	43868	
Gram-Positive cell wall components	6955	
Heat shock	24088	
Histidine Metabolism	18634	
Hypothetical Related to Dihydroorate Dehydrogenase	1083	
Hypothetical associated with RecF	570	
Hypothetical in Lysine biosynthetic cluster	3848	
Hypothetical lipase related to Phosphatidate metabolism	2173	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	4456	
Inorganic sulfur assimilation	19232	
Invasion and intracellular resistance	153	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	10154	
Isoprenoids	35118	
Light-harvesting complexes	6	
Lipid-derived mediators	300	
Lipoic acid	2801	
Lysine Biosynthesis	817	
Lysine, threonine, methionine, and cysteine	127675	
Metabolism of central aromatic intermediates	43044	
Methylamine utilization	17491	
Molybdopterin oxidoreductase	3942	
Monosaccharides	75774	
NAD and NADP	19936	
Nucleotidyl-phosphate metabolic cluster	28320	
One-carbon Metabolism	105465	
Organic acids	53442	
Organic sulfur assimilation	22328	
Osmotic stress	17452	
Oxidative stress	56465	
Pathogenicity islands	13297	
Peripheral pathways for catabolism of aromatic compounds	65052	
Periplasmic Stress	3876	
Phages, Prophages	43763	
Phosphate metabolism	5731	
Phospholipids	34996	
Plant Alkaloids	854	
Plant Hormones	10980	
Plant Octadecanoids	25	
Plant-Prokaryote DOE project	355842	
Plasmid related functions	1134	
Polysaccharides	27064	
Probably GTP or GMP signaling related	8086	
Probably Pyrimidine biosynthesis-related	2301	
Probably Ybbk-related hypothetical membrane proteins	1471	
Probably organic hydroperoxide resistance related hypothetical protein	1382	
Programmed Cell Death and Toxin-antitoxin Systems	4405	
Proline and 4-hydroxyproline	15103	
Proteasome related clusters	99	
Protein and nucleoprotein secretion system, Type IV	9666	
Protein biosynthesis	175484	
Protein degradation	54932	
Protein export?	11012	
Protein folding	35518	
Protein processing and modification	52126	
Protein secretion system, Type I	177	
Protein secretion system, Type II	17624	
Protein secretion system, Type III	668	
Protein secretion system, Type V	233	
Protein secretion system, Type VI	12952	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	84	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	1071	
Protein translocation across cytoplasmic membrane	17495	
Proteolytic pathway	483	
Purines	60162	
Putative GGDEF domain protein related to agglutinin secretion	188	
Putative Isoquinoline 1-oxidoreductase subunit	15356	
Putative asociate of RNA polymerase sigma-54 factor rpoN	13027	
Putrescine/GABA utilization cluster-temporal,to add to SSs	4943	
Pyridoxine	17997	
Pyrimidines	48528	
Pyruvate kinase associated cluster	3646	
Quinone cofactors	18036	
Quorum sensing and biofilm formation	3466	
RNA processing and modification	103029	
Recombination related cluster	1420	
Regulation of virulence	10490	
Related to Menaquinone-cytochrome C reductase 	352	
Resistance to antibiotics and toxic compounds	138839	
Reverse electron transport	68	
Riboflavin, FMN, FAD	8367	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	6451	
Ribosome-related cluster	7557	
Sarcosine oxidase	2711	
Selenoproteins	18407	
Shiga toxin cluster	3829	
Siderophores	3070	
Signal transduction in Eukaryotes	14	
Social motility and nonflagellar swimming in bacteria	113	
Sodium Ion-Coupled Energetics	422	
Sugar Phosphotransferase Systems, PTS	2101	
Sugar alcohols	26827	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	6772	
Tetrapyrroles	34105	
Three hypotheticals linked to lipoprotein biosynthesis	1974	
TldD cluster	4170	
Toxins and superantigens	349	
Transcription	50205	
Translation	7754	
Transposable elements	5549	
Triacylglycerols	759	
Tricarboxylate transporter	3036	
Two related proteases	5640	
Uni- Sym- and Antiporters	1887	
alpha-proteobacterial cluster of hypotheticals	2307	
proteosome related	2963	
recX and regulatory cluster	1846	
tRNA sulfuration	3093	

